   1.9600000e+02	   2.3600000e+02	   2.5500000e+02	   2.9000000e+02	
   3.0100000e+02	   3.4200000e+02	   3.5400000e+02	   3.9300000e+02	
   4.0500000e+02	   4.4500000e+02	   4.5800000e+02	   4.9400000e+02	
   5.0900000e+02	   5.4900000e+02	   5.6200000e+02	   6.0500000e+02	
   6.1500000e+02	   6.5800000e+02	   6.6800000e+02	   7.1000000e+02	
   7.2000000e+02	   7.6000000e+02	   7.7200000e+02	   8.1200000e+02	
   8.2400000e+02	   8.6500000e+02	   8.8100000e+02	   9.1700000e+02	
   9.2900000e+02	   9.6900000e+02	   9.8900000e+02	   1.0240000e+03	
   1.0350000e+03	   1.0760000e+03	   1.0870000e+03	   1.1270000e+03	
   1.1400000e+03	   1.1800000e+03	   1.1920000e+03	   1.2310000e+03	
   1.2440000e+03	   1.2850000e+03	   1.2970000e+03	   1.3350000e+03	
   1.3480000e+03	   1.3890000e+03	   1.4010000e+03	   1.4390000e+03	
   1.4590000e+03	   1.4950000e+03	   1.5060000e+03	   1.5490000e+03	
   1.5580000e+03	   1.6000000e+03	   1.6110000e+03	   1.6520000e+03	
   1.6640000e+03	   1.7000000e+03	   1.7240000e+03	   1.7520000e+03	
   1.7690000e+03	   1.8120000e+03	   1.8220000e+03	   1.8630000e+03	
   1.8750000e+03	   1.9160000e+03	   1.9310000e+03	   1.9720000e+03	
   1.9810000e+03	   2.0190000e+03	   2.0340000e+03	   2.0740000e+03	
   2.0860000e+03	   2.1270000e+03	   2.1390000e+03	   2.1800000e+03	
   2.1910000e+03	   2.2320000e+03	   2.2450000e+03	   2.2860000e+03	
   2.2970000e+03	   2.3360000e+03	   2.3500000e+03	   2.3910000e+03	
   2.4030000e+03	   2.4480000e+03	   2.4630000e+03	   2.4980000e+03	
   2.5080000e+03	   2.5480000e+03	   2.5610000e+03	   2.6030000e+03	
   2.6140000e+03	   2.6560000e+03	   2.6680000e+03	   2.7080000e+03	
   2.7200000e+03	   2.7590000e+03	   2.7730000e+03	   2.8140000e+03	
   2.8250000e+03	   2.8660000e+03	   2.8840000e+03	   2.9170000e+03	
   2.9310000e+03	   2.9720000e+03	   2.9840000e+03	   3.0230000e+03	
   3.0360000e+03	   3.0770000e+03	   3.0940000e+03	   3.1290000e+03	
   3.1420000e+03	   3.1820000e+03	   3.2000000e+03	   3.2300000e+03	
   3.2460000e+03	   3.2880000e+03	   3.2980000e+03	   3.3380000e+03	
   3.3500000e+03	   3.3940000e+03	   3.4030000e+03	   3.4420000e+03	
   3.4550000e+03	   3.5000000e+03	   3.5080000e+03	   3.5480000e+03	
   3.5610000e+03	   3.6020000e+03	   3.6130000e+03	   3.6540000e+03	
   3.6640000e+03	   3.7060000e+03	   3.7230000e+03	   3.7600000e+03	
   3.7710000e+03	   3.8100000e+03	   3.8240000e+03	   3.8660000e+03	
   3.8760000e+03	   3.9150000e+03	   3.9370000e+03	   3.9690000e+03	
   3.9830000e+03	   4.0250000e+03	   4.0360000e+03	   4.0780000e+03	
   4.0870000e+03	   4.1290000e+03	   4.1400000e+03	   4.1790000e+03	
   4.1920000e+03	   4.2310000e+03	   4.2450000e+03	   4.2820000e+03	
