Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Thigh.Top.LateralX	R.Thigh.Top.LateralY	R.Thigh.Top.LateralZ	R.Thigh.Bottom.LateralX	R.Thigh.Bottom.LateralY	R.Thigh.Bottom.LateralZ	R.Thigh.Top.MedialX	R.Thigh.Top.MedialY	R.Thigh.Top.MedialZ	R.Thigh.Bottom.MedialX	R.Thigh.Bottom.MedialY	R.Thigh.Bottom.MedialZ	R.Shank.Top.LateralX	R.Shank.Top.LateralY	R.Shank.Top.LateralZ	R.Shank.Bottom.LateralX	R.Shank.Bottom.LateralY	R.Shank.Bottom.LateralZ	R.Shank.Top.MedialX	R.Shank.Top.MedialY	R.Shank.Top.MedialZ	R.Shank.Bottom.MedialX	R.Shank.Bottom.MedialY	R.Shank.Bottom.MedialZ	R.Heel.TopX	R.Heel.TopY	R.Heel.TopZ	R.Heel.BottomX	R.Heel.BottomY	R.Heel.BottomZ	R.Heel.LateralX	R.Heel.LateralY	R.Heel.LateralZ	L.Thigh.Top.LateralX	L.Thigh.Top.LateralY	L.Thigh.Top.LateralZ	L.Thigh.Bottom.LateralX	L.Thigh.Bottom.LateralY	L.Thigh.Bottom.LateralZ	L.Thigh.Top.MedialX	L.Thigh.Top.MedialY	L.Thigh.Top.MedialZ	L.Thigh.Bottom.MedialX	L.Thigh.Bottom.MedialY	L.Thigh.Bottom.MedialZ	L.Shank.Top.LateralX	L.Shank.Top.LateralY	L.Shank.Top.LateralZ	L.Shank.Bottom.LateralX	L.Shank.Bottom.LateralY	L.Shank.Bottom.LateralZ	L.Shank.Top.MedialX	L.Shank.Top.MedialY	L.Shank.Top.MedialZ	L.Shank.Bottom.MedialX	L.Shank.Bottom.MedialY	L.Shank.Bottom.MedialZ	L.Heel.TopX	L.Heel.TopY	L.Heel.TopZ	L.Heel.BottomX	L.Heel.BottomY	L.Heel.BottomZ	L.Heel.LateralX	L.Heel.LateralY	L.Heel.LateralZ	R.KneeX	R.KneeY	R.KneeZ	R.Knee.MedialX	R.Knee.MedialY	R.Knee.MedialZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.Ankle.MedialX	R.Ankle.MedialY	R.Ankle.MedialZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	R.MT2X	R.MT2Y	R.MT2Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.Knee.MedialX	L.Knee.MedialY	L.Knee.MedialZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.Ankle.MedialX	L.Ankle.MedialY	L.Ankle.MedialZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z	L.MT2X	L.MT2Y	L.MT2Z	R.ASYX	R.ASYY	R.ASYZ
0.0	2201.928	1014.006	1547.091	2216.17	993.765	1321.688	2025.349	1052.521	1468.626	2037.171	1049.881	1372.835	2127.034	1074.444	1591.286	2163.146	1074.007	1271.115	2179.778	723.48	1597.178	2224.001	625.004	1582.411	2124.476	707.11	1561.295	2165.787	606.537	1542.188	2138.158	249.823	1542.198	2110.592	175.384	1521.81	2098.065	272.009	1513.839	2069.131	199.731	1494.468	2004.63	82.987	1454.461	1992.751	38.875	1454.059	2019.783	54.884	1506.054	2179.056	739.781	1243.118	2222.429	638.974	1235.858	2129.988	717.669	1284.517	2167.664	614.512	1273.905	2014.001	500.818	1271.216	1934.164	488.799	1281.388	2016.513	530.501	1315.111	1933.304	519.215	1322.535	1843.306	534.757	1347.836	1804.245	556.495	1358.33	1804.349	528.039	1309.587																			2222.705	51.803	1440.052	2176.972	49.021	1546.476																									1751.564	336.367	1381.853	1738.967	384.188	1283.876				2177.471	85.719	1480.132
0.007	2200.776	1014.104	1547.226	2215.083	995.565	1321.602	2024.575	1054.358	1469.58	2036.127	1051.567	1373.425	2126.484	1074.849	1591.966	2160.818	1074.804	1271.542	2172.315	723.222	1597.817	2213.667	623.253	1583.245	2116.786	707.526	1562.301	2154.329	605.932	1544.219	2118.762	248.992	1542.464	2089.563	175.145	1521.935	2078.906	272.037	1514.795	2048.338	200.505	1495.244	1980.684	83.495	1454.456	1968.796	39.599	1454.18	1996.574	55.183	1505.803	2186.057	743.801	1242.597	2233.134	644.38	1235.257	2136.493	719.19	1281.988	2178.398	617.614	1271.435	2029.889	497.237	1270.653	1949.693	482.548	1280.065	2030.823	527.999	1313.783	1947.876	513.896	1320.955	1856.639	526.491	1345.796	1816.669	546.843	1355.861	1817.782	517.671	1307.596																			2198.623	51.691	1440.721	2152.894	48.894	1546.592																									1773.19	325.23	1383.611	1758.482	370.636	1284.747				2153.835	85.732	1480.404
0.013	2200.272	1014.858	1546.806	2214.273	998.176	1321.416	2024.092	1056.505	1470.321	2035.307	1053.773	1373.841	2126.711	1076.224	1592.513	2159.675	1076.426	1271.279	2164.946	723.609	1598.172	2203.532	622.359	1583.86	2108.476	708.906	1563.807	2142.35	606.111	1547.234	2098.788	247.782	1541.708	2067.835	175.402	1521.742	2058.814	272.484	1514.636	2026.909	201.524	1495.125	1956.964	84.297	1454.434	1945.114	40.232	1454.104	1972.844	55.933	1505.792	2192.864	748.465	1242.177	2244.492	650.856	1235.616	2143.149	721.803	1279.587	2188.996	621.847	1269.302	2044.588	493.766	1269.878	1965.495	475.416	1279.522	2044.434	525.37	1312.505	1962.096	507.912	1319.467	1869.452	517.073	1343.83	1828.782	535.721	1353.811	1830.945	505.837	1305.742																			2175.052	51.763	1440.715	2129.035	48.765	1546.826																									1795.47	313.034	1385.746	1778.567	355.725	1285.914				2130.304	85.783	1480.679
0.02	2199.899	1016.146	1546.422	2213.889	1001.502	1321.114	2023.851	1059.057	1470.777	2034.762	1056.673	1374.127	2127.757	1078.365	1592.799	2159.209	1078.817	1271.05	2157.407	724.651	1598.285	2192.859	622.012	1584.499	2099.171	711.954	1565.397	2130.158	607.087	1550.093	2077.629	248.375	1541.615	2045.567	176.362	1521.877	2038.239	273.542	1514.307	2005.317	202.899	1494.929	1933.404	85.116	1454.489	1921.464	41.087	1454.092	1949.191	56.802	1505.848	2200.305	754.16	1242.048	2254.632	658.237	1235.336	2149.825	725.318	1277.643	2199.328	627.126	1267.446	2058.901	489.715	1269.164	1980.952	467.781	1279.287	2057.319	522.293	1311.113	1975.862	501.022	1318.148	1882.063	506.501	1342.116	1840.233	523.188	1351.547	1843.86	492.592	1304.235																			2151.27	51.726	1440.945	2105.266	48.838	1546.734																									1818.266	300.038	1388.02	1799.408	339.783	1287.263				2106.886	86.036	1480.826
0.027	2199.955	1018.043	1545.931	2213.814	1005.375	1320.879	2024.048	1061.951	1470.945	2034.581	1060.066	1374.204	2129.645	1081.068	1592.903	2158.963	1081.95	1270.943	2149.771	726.603	1598.454	2181.337	622.451	1585.326	2090.405	715.379	1566.758	2117.277	609.182	1552.749	2056.565	249.438	1541.703	2023.48	177.935	1522.294	2017.477	275.044	1514.317	1983.557	205.072	1494.913	1909.953	86.449	1454.907	1897.982	42.289	1454.295	1925.708	57.757	1506.096	2206.804	760.346	1241.551	2264.393	666.39	1235.092	2156.602	729.586	1275.791	2209.575	633.13	1265.98	2073.0	485.517	1268.589	1995.862	459.624	1278.975	2069.548	518.896	1309.824	1989.356	493.564	1317.228	1894.443	494.796	1340.77	1851.796	509.312	1349.848	1856.985	478.242	1303.086																			2127.587	51.798	1441.309	2081.651	49.023	1546.919																									1841.927	286.118	1390.212	1821.043	322.896	1288.717				2083.6	86.278	1481.229
0.033	2200.499	1020.599	1545.405	2214.149	1009.664	1320.776	2024.597	1065.161	1470.981	2034.857	1063.999	1374.074	2132.466	1084.44	1592.704	2158.964	1086.044	1270.904	2141.906	728.731	1598.017	2169.04	623.474	1585.663	2081.481	719.759	1567.613	2103.765	612.303	1554.759	2035.034	251.129	1541.96	2001.413	179.853	1522.598	1996.376	277.042	1514.413	1961.794	207.41	1495.102	1886.608	87.862	1455.438	1874.469	43.876	1454.672	1902.321	59.075	1506.502	2213.116	767.093	1241.019	2273.77	675.09	1235.0	2163.189	734.544	1273.96	2219.544	639.945	1264.885	2086.219	481.48	1268.061	2011.822	451.756	1278.961	2081.14	515.037	1308.763	2002.576	485.472	1316.412	1906.94	481.975	1339.832	1863.469	494.114	1348.597	1870.171	462.925	1302.015																			2103.932	51.786	1441.686	2058.086	48.822	1547.078																									1866.492	271.447	1392.338	1843.643	305.301	1290.322				2060.335	86.719	1481.891
0.04	2201.48	1023.794	1544.758	2214.877	1014.503	1320.481	2025.541	1068.704	1470.856	2035.396	1068.572	1373.852	2136.086	1088.675	1592.286	2159.153	1091.027	1270.923	2133.523	731.771	1597.704	2156.172	625.329	1585.85	2072.447	724.984	1567.851	2089.854	616.51	1556.099	2013.301	253.515	1542.254	1978.921	182.374	1523.131	1974.974	279.146	1514.325	1939.679	210.117	1495.165	1863.404	89.757	1456.016	1851.166	45.884	1455.086	1879.068	60.784	1506.988	2218.997	774.486	1240.285	2282.508	684.212	1235.163	2169.409	740.103	1272.261	2228.465	647.372	1263.619	2100.021	476.43	1268.114	2027.178	442.992	1279.331	2092.715	510.68	1307.971	2015.834	476.591	1316.061	1919.635	468.132	1339.232	1875.535	477.678	1347.85	1883.9	446.615	1301.609																			2080.769	52.576	1441.836	2034.259	48.867	1547.111																									1892.29	256.087	1394.028	1867.197	287.348	1291.864				2037.139	87.395	1482.459
0.047	2202.953	1027.31	1544.014	2215.772	1019.748	1320.313	2026.921	1072.517	1470.61	2036.462	1073.493	1373.542	2140.224	1093.759	1591.704	2159.546	1096.684	1270.902	2124.999	735.093	1597.079	2142.883	627.676	1585.305	2063.563	730.799	1567.555	2075.875	621.739	1556.483	1991.315	256.448	1542.764	1956.712	185.439	1523.565	1953.384	282.223	1514.536	1917.878	213.367	1495.495	1840.612	92.829	1456.979	1827.839	49.1	1455.898	1856.155	63.351	1507.676	2224.643	781.777	1239.724	2290.659	693.743	1235.172	2175.592	746.059	1270.728	2238.103	655.302	1263.742	2113.817	471.26	1268.422	2042.717	433.623	1279.989	2103.775	505.808	1307.545	2028.92	467.447	1316.126	1932.807	453.433	1339.121	1888.254	460.197	1347.698	1900.427	429.188	1301.97																			2057.298	52.239	1441.824	2010.859	49.4	1547.276																									1919.18	240.399	1395.865	1891.921	269.177	1293.524				2014.427	88.025	1482.877
0.053	2204.805	1030.865	1543.219	2216.948	1025.356	1320.03	2028.587	1076.776	1470.42	2037.895	1078.809	1373.246	2144.603	1099.357	1590.851	2160.05	1102.978	1270.93	2116.193	738.704	1596.191	2129.419	630.727	1584.225	2054.596	737.262	1566.98	2061.995	627.763	1555.832	1969.412	260.035	1543.225	1934.743	189.117	1524.043	1931.726	285.852	1514.761	1896.067	216.975	1495.85	1818.446	97.633	1458.22	1804.901	54.228	1456.553	1833.41	67.408	1508.599	2229.702	789.449	1239.173	2298.195	703.103	1235.513	2181.411	752.601	1269.61	2246.341	663.358	1263.574	2127.202	465.805	1268.94	2058.466	424.078	1280.735	2114.724	500.453	1307.555	2042.059	457.782	1316.44	1946.58	437.885	1339.376	1901.686	441.762	1348.059	1915.467	412.055	1301.864																			2033.414	52.315	1441.188	1987.293	49.344	1547.12																									1947.318	225.025	1397.33	1917.634	251.115	1294.972				1991.836	89.287	1483.78
0.06	2206.872	1034.448	1542.289	2218.533	1031.302	1319.615	2030.676	1081.373	1470.424	2039.54	1084.395	1373.016	2149.007	1104.984	1589.626	2160.632	1109.702	1270.843	2107.177	743.304	1595.332	2115.831	634.752	1582.636	2045.664	744.55	1565.752	2047.94	634.88	1554.349	1947.67	264.65	1543.772	1913.025	193.709	1524.742	1910.016	290.475	1515.111	1873.979	221.642	1496.353	1796.73	103.704	1459.475	1782.288	60.69	1457.07	1811.11	72.263	1509.377	2234.624	797.315	1238.592	2304.881	712.458	1235.929	2186.653	759.156	1268.43	2253.87	671.582	1263.79	2140.701	460.123	1269.658	2074.38	414.54	1281.67	2125.491	494.486	1307.879	2055.474	447.784	1315.848	1960.97	421.698	1340.247	1915.996	422.568	1349.084	1931.633	393.543	1303.088																			2009.473	51.548	1440.905	1964.188	49.057	1546.827																									1975.992	209.661	1398.923	1944.537	233.136	1296.241				1969.67	90.465	1484.65
