Time	Hip_Z	Hip_X	Hip_Y	Knee_Z	Knee_X	Knee_Y	Ankle_Z	Ankle_X	Ankle_Y
0	-26.070531	-4.883381	-0.696452	15.318111	4.368585	19.374363	-6.015047	-2.362867	-8.36144
1	-25.924775	-4.974988	-2.08985	17.050285	4.934772	19.694929	-5.27523	-1.009599	-7.803621
2	-25.785497	-5.054211	-3.610581	19.015262	5.536496	20.095857	-4.909416	0.178574	-7.162712
3	-25.655966	-5.170747	-5.092108	21.195543	6.067719	20.33456	-5.054813	1.134443	-6.351471
4	-25.55098	-5.369684	-6.389103	23.594015	6.446975	20.222651	-5.752731	1.847624	-5.335778
5	-25.495589	-5.672403	-7.440696	26.192522	6.648596	19.704948	-6.898875	2.358497	-4.116674
6	-25.51115	-6.069621	-8.271778	28.899914	6.715198	18.908716	-8.290872	2.738908	-2.780339
7	-25.594387	-6.532822	-8.924583	31.548479	6.748979	18.080035	-9.745579	3.059233	-1.523539
8	-25.697319	-7.036388	-9.40662	33.949453	6.859773	17.411729	-11.167621	3.355482	-0.542104
9	-25.730076	-7.567486	-9.718188	35.94804	7.092791	16.952494	-12.524433	3.626788	0.098898
10	-25.610751	-8.114983	-9.893444	37.459279	7.419538	16.668723	-13.793484	3.857194	0.466559
11	-25.318353	-8.654964	-9.98699	38.497437	7.777154	16.511135	-14.958324	4.025557	0.682826
12	-24.880844	-9.153	-10.039051	39.15903	8.095864	16.427289	-16.026875	4.115711	0.855757
13	-24.325176	-9.57972	-10.063456	39.558135	8.326526	16.371828	-17.028621	4.130559	1.037466
14	-23.652049	-9.918725	-10.051333	39.774529	8.445976	16.309363	-17.995722	4.092969	1.232467
15	-22.841062	-10.161125	-9.985654	39.835388	8.438356	16.217467	-18.932168	4.035457	1.434089
16	-21.870185	-10.302394	-9.866214	39.726322	8.298971	16.098244	-19.808349	3.986282	1.653168
17	-20.734564	-10.3472	-9.719418	39.422216	8.040911	15.966513	-20.594673	3.963105	1.938258
18	-19.449664	-10.312782	-9.579026	38.906014	7.700109	15.839373	-21.272766	3.979819	2.322661
19	-18.04036	-10.225103	-9.461987	38.169282	7.34109	15.741945	-21.811149	4.047905	2.746316
20	-16.530123	-10.108194	-9.368695	37.215426	7.028904	15.697355	-22.154786	4.14968	3.098648
21	-14.939134	-9.974466	-9.29247	36.066491	6.792575	15.71018	-22.253036	4.223328	3.304463
22	-13.287503	-9.822432	-9.216468	34.762837	6.621054	15.766029	-22.095363	4.205353	3.341416
23	-11.595763	-9.641236	-9.120781	33.351198	6.489067	15.853612	-21.705689	4.071989	3.223361
24	-9.882494	-9.419556	-8.997349	31.871617	6.372747	15.97469	-21.107239	3.831908	2.989452
25	-8.164084	-9.152509	-8.839991	30.360319	6.241528	16.115117	-20.305434	3.50753	2.702952
26	-6.457644	-8.841087	-8.626327	28.858616	6.075623	16.242943	-19.292709	3.125662	2.41999
27	-4.781708	-8.484309	-8.325846	27.408822	5.888348	16.350651	-18.059437	2.711466	2.145972
28	-3.152192	-8.074369	-7.922219	26.043363	5.707129	16.470465	-16.605518	2.286902	1.839255
29	-1.579201	-7.602127	-7.415175	24.781711	5.551477	16.64667	-14.946569	1.871963	1.442246
30	-0.068834	-7.061509	-6.810463	23.636874	5.425721	16.898903	-13.113366	1.489669	0.919094
31	1.371306	-6.449682	-6.126951	22.624374	5.316203	17.207833	-11.141956	1.17248	0.285146
32	2.727384	-5.773639	-5.403892	21.764213	5.205753	17.531594	-9.0604	0.951019	-0.410103
33	3.97902	-5.059459	-4.690454	21.072428	5.093721	17.833432	-6.891027	0.828054	-1.127644
34	5.102091	-4.352124	-4.031381	20.555021	4.996065	18.089412	-4.662318	0.779308	-1.846108
35	6.072044	-3.705804	-3.458015	20.213187	4.935832	18.277258	-2.414658	0.782452	-2.52722
36	6.867666	-3.171729	-2.9849	20.051108	4.938173	18.373166	-0.200213	0.820634	-3.093729
37	7.47466	-2.78611	-2.608392	20.081006	5.021692	18.35052	1.930411	0.864391	-3.449753
38	7.888929	-2.558811	-2.304698	20.32615	5.189577	18.179267	3.944728	0.885828	-3.532366
39	8.117941	-2.472001	-2.037005	20.818958	5.429797	17.837316	5.817914	0.886003	-3.339779
40	8.174434	-2.497485	-1.781015	21.594133	5.730535	17.338025	7.51135	0.881597	-2.919908
41	8.068555	-2.61651	-1.555119	22.680243	6.104377	16.76525	8.981885	0.868528	-2.362746
42	7.809655	-2.816172	-1.417626	24.093378	6.581203	16.25629	10.217148	0.821563	-1.77674
43	7.411588	-3.070721	-1.420529	25.835964	7.170203	15.923344	11.241647	0.72466	-1.237363
44	6.893234	-3.338439	-1.570533	27.899688	7.853557	15.804555	12.077313	0.577897	-0.771174
45	6.275975	-3.577822	-1.834329	30.270354	8.615631	15.87087	12.716826	0.387914	-0.376502
46	5.580177	-3.762714	-2.166994	32.933973	9.451139	16.04187	13.122444	0.165753	-0.033359
47	4.822566	-3.883673	-2.534248	35.876716	10.346825	16.214951	13.225878	-0.084298	0.271782
48	4.0187	-3.935644	-2.904123	39.07102	11.272955	16.307174	12.974513	-0.368968	0.494154
49	3.190883	-3.904367	-3.20921	42.464373	12.188779	16.254392	12.40845	-0.676093	0.548095
50	2.366625	-3.773322	-3.352741	45.991669	13.052758	15.992237	11.646375	-0.96685	0.403849
51	1.558343	-3.545342	-3.273801	49.597125	13.83465	15.476345	10.806852	-1.217832	0.113309
52	0.749589	-3.247497	-2.985079	53.235991	14.520171	14.717087	9.991833	-1.424504	-0.248158
53	-0.086674	-2.897078	-2.520747	56.86553	15.094099	13.752483	9.291005	-1.550893	-0.623184
54	-0.969149	-2.492337	-1.932923	60.429163	15.545591	12.655939	8.760509	-1.535189	-0.961192
55	-1.913689	-2.026312	-1.303182	63.867931	15.885379	11.531505	8.37132	-1.357161	-1.228459
56	-2.949507	-1.499817	-0.718699	67.146458	16.136223	10.469044	7.991707	-1.076675	-1.417129
57	-4.117121	-0.920025	-0.235622	70.259614	16.298819	9.505112	7.502207	-0.765913	-1.543896
58	-5.453462	-0.292158	0.129164	73.217698	16.353707	8.633307	6.907016	-0.432026	-1.634171
59	-6.9805	0.380981	0.380402	76.026264	16.292146	7.843843	6.261902	-0.050014	-1.690532
60	-8.696454	1.089063	0.523323	78.672281	16.118391	7.150053	5.579798	0.382583	-1.68646
61	-10.570265	1.809584	0.55004	81.121283	15.836275	6.590404	4.845362	0.851292	-1.591611
62	-12.545714	2.517061	0.443066	83.323405	15.453359	6.212734	4.046391	1.341468	-1.399925
63	-14.558432	3.1945	0.204122	85.22955	14.986723	6.039591	3.178918	1.834735	-1.138818
64	-16.553819	3.83582	-0.127882	86.805049	14.453944	6.04826	2.23821	2.293586	-0.85544
65	-18.493587	4.437767	-0.498249	88.029585	13.863489	6.192307	1.210011	2.654553	-0.595091
66	-20.356996	4.987426	-0.860658	88.894831	13.227307	6.424882	0.110024	2.86519	-0.382441
67	-22.13855	5.459112	-1.182341	89.402466	12.585098	6.699799	-0.965678	2.94478	-0.215437
68	-23.839023	5.825896	-1.444506	89.558376	11.997536	6.973566	-1.899698	2.969166	-0.085378
69	-25.458191	6.072259	-1.63848	89.369822	11.508617	7.21547	-2.652433	2.970756	-0.000396
70	-26.994329	6.193101	-1.758301	88.846548	11.129584	7.408401	-3.247856	2.90262	0.025565
71	-28.443035	6.185285	-1.799614	88.000324	10.856542	7.540582	-3.718698	2.731836	-0.011157
72	-29.794099	6.046719	-1.764459	86.843668	10.683582	7.606745	-4.105971	2.498094	-0.11268
73	-31.032182	5.781123	-1.667545	85.386937	10.602978	7.618996	-4.466226	2.238442	-0.28014
74	-32.138868	5.401886	-1.540135	83.630304	10.60351	7.614386	-4.847356	1.934839	-0.493283
75	-33.094512	4.932794	-1.423797	81.561833	10.667574	7.648441	-5.251515	1.568399	-0.702488
76	-33.882445	4.403861	-1.355551	79.171345	10.781705	7.776272	-5.631813	1.161124	-0.874554
77	-34.493301	3.847753	-1.356584	76.463243	10.951434	8.043826	-5.950847	0.738151	-1.04814
78	-34.927094	3.294171	-1.429995	73.453344	11.190701	8.48961	-6.234862	0.281509	-1.275357
