Time	Hip_Z	Hip_X	Hip_Y	Knee_Z	Knee_X	Knee_Y	Ankle_Z	Ankle_X	Ankle_Y
0	-25.58377	2.131777	-11.746094	6.345094	1.450941	30.0733	-11.547856	-5.330381	-19.227818
1	-25.649281	1.920316	-11.274832	8.244335	2.04301	29.331386	-10.227521	-3.762047	-18.321966
2	-25.889463	1.654092	-10.860442	10.559641	2.773727	28.504135	-8.78358	-2.018325	-17.481315
3	-26.35088	1.334735	-10.625812	13.29242	3.644333	27.634265	-7.434658	-0.230235	-16.698218
4	-27.008663	0.980525	-10.623218	16.346966	4.612951	26.784705	-6.395003	1.455905	-15.939393
5	-27.851358	0.602267	-10.873139	19.702762	5.652708	25.989585	-5.861116	2.932817	-15.182378
6	-28.82267	0.210809	-11.286377	23.3067	6.704989	25.224112	-5.943348	4.148942	-14.401103
7	-29.843992	-0.196522	-11.707312	27.088508	7.692341	24.408373	-6.651207	5.110922	-13.578056
8	-30.801432	-0.639462	-11.92332	30.933506	8.502659	23.414984	-7.946833	5.851551	-12.690589
9	-31.599957	-1.128746	-11.818322	34.694792	9.075774	22.19138	-9.646968	6.451766	-11.727008
10	-32.111063	-1.668283	-11.28698	38.163488	9.326756	20.717659	-11.62976	6.957533	-10.663603
11	-32.332822	-2.22772	-10.444045	41.247154	9.314444	19.122495	-13.717646	7.42443	-9.518072
12	-32.210257	-2.771384	-9.36502	43.775139	9.047396	17.53628	-15.815348	7.875937	-8.293416
13	-31.821487	-3.269486	-8.219996	45.789006	8.633125	16.093132	-17.853016	8.323425	-7.033705
14	-31.186051	-3.69557	-7.124343	47.243504	8.137834	14.917025	-19.776833	8.756623	-5.791996
15	-30.370881	-4.043764	-6.164595	48.211681	7.64433	14.059548	-21.550369	9.152505	-4.659812
16	-29.41654	-4.31356	-5.383771	48.732637	7.204978	13.543078	-23.131697	9.487885	-3.74144
17	-28.362715	-4.515884	-4.78162	48.858266	6.849478	13.33668	-24.487144	9.747501	-3.11734
18	-27.239388	-4.671446	-4.316403	48.661824	6.575363	13.352659	-25.619	9.931185	-2.784879
19	-26.046428	-4.795599	-3.956203	48.154266	6.387945	13.519891	-26.493983	10.022689	-2.758142
20	-24.782411	-4.904221	-3.652484	47.40242	6.272578	13.753175	-27.138956	10.023158	-2.970441
21	-23.41242	-4.999543	-3.381993	46.379244	6.231227	14.006624	-27.490063	9.903453	-3.433628
22	-21.946486	-5.082417	-3.121113	45.150194	6.229645	14.248123	-27.577051	9.683273	-4.070563
23	-20.372346	-5.145754	-2.867951	43.70576	6.24547	14.470965	-27.335747	9.349421	-4.867407
24	-18.708217	-5.185554	-2.634609	42.088487	6.255984	14.699873	-26.787723	8.919681	-5.763733
25	-16.957756	-5.195769	-2.451416	40.30254	6.251271	14.980011	-25.913888	8.401607	-6.721826
26	-15.136512	-5.174811	-2.358643	38.364911	6.228251	15.36614	-24.72206	7.817568	-7.702229
27	-13.260503	-5.126986	-2.380281	36.291755	6.1892	15.893121	-23.219541	7.181974	-8.685035
28	-11.348261	-5.065922	-2.519632	34.098164	6.139856	16.578145	-21.394279	6.498012	-9.660132
29	-9.424883	-5.010002	-2.732891	31.824586	6.085187	17.378679	-19.287683	5.77855	-10.618953
30	-7.511306	-4.975785	-2.96203	29.50147	6.025333	18.244623	-16.87457	5.029711	-11.545347
31	-5.621073	-4.964846	-3.136892	27.174841	5.962583	19.093897	-14.229366	4.258627	-12.433336
32	-3.775562	-4.978205	-3.184574	24.885597	5.900052	19.844034	-11.351136	3.456375	-13.263342
33	-1.981993	-5.004271	-3.098635	22.657709	5.838561	20.463087	-8.313161	2.620326	-14.032965
34	-0.258766	-5.033053	-2.872377	20.522945	5.771892	20.918692	-5.14905	1.74172	-14.719244
35	1.386964	-5.054325	-2.538992	18.501692	5.688591	21.221244	-1.929599	0.820776	-15.299672
36	2.946021	-5.064309	-2.122226	16.624111	5.577785	21.378877	1.279527	-0.141894	-15.737828
37	4.411901	-5.066573	-1.638	14.934651	5.433521	21.406809	4.397782	-1.141863	-15.991106
38	5.788306	-5.068758	-1.087804	13.466839	5.262359	21.334812	7.365268	-2.173524	-16.045102
39	7.062818	-5.080916	-0.450248	12.307228	5.079216	21.201187	10.09682	-3.241764	-15.865889
40	8.246257	-5.110106	0.277861	11.464377	4.906733	21.065445	12.583247	-4.346806	-15.491768
41	9.312666	-5.17115	1.133727	11.066164	4.781026	20.992845	14.741496	-5.502667	-14.922493
42	10.268799	-5.267806	2.093808	11.086392	4.731269	21.010359	16.614165	-6.700511	-14.252648
43	11.065042	-5.412546	3.118799	11.64215	4.826643	21.130485	18.15301	-7.937835	-13.553161
44	11.663839	-5.605003	4.07514	12.720188	5.123215	21.305311	19.393587	-9.195338	-12.912017
45	11.996306	-5.847125	4.835596	14.365035	5.691555	21.483073	20.317499	-10.454301	-12.405327
46	12.038512	-6.123495	5.366516	16.542386	6.548576	21.582886	20.925722	-11.685502	-12.095253
47	11.807475	-6.408021	5.718701	19.201675	7.668922	21.511316	21.222898	-12.853507	-12.014391
48	11.324038	-6.665577	5.97302	22.311426	9.010444	21.154247	21.208466	-13.903442	-12.192204
49	10.653356	-6.872463	6.21061	25.76539	10.485951	20.494594	20.949551	-14.807286	-12.591183
50	9.820602	-6.992699	6.50243	29.533382	12.027174	19.476001	20.471608	-15.506576	-13.19674
51	8.888337	-7.021209	6.879192	33.498865	13.554516	18.176549	19.864878	-16.0219	-13.913595
52	7.862148	-6.925922	7.367829	37.622248	14.997654	16.602771	19.156664	-16.327121	-14.668616
53	6.762302	-6.713101	7.945304	41.822588	16.322597	14.851557	18.37933	-16.471607	-15.359886
54	5.58894	-6.362608	8.597238	46.055221	17.484248	12.965958	17.525777	-16.467342	-15.874974
55	4.357523	-5.884471	9.273072	50.269081	18.470728	11.018344	16.60567	-16.347993	-16.148492
56	3.067967	-5.294693	9.908296	54.423996	19.270996	9.066563	15.638403	-16.124152	-16.167699
57	1.705899	-4.633684	10.411083	58.478045	19.887811	7.183264	14.654843	-15.796694	-15.969627
58	0.257284	-3.955667	10.712298	62.406421	20.349825	5.428937	13.674022	-15.365119	-15.619875
59	-1.312089	-3.32762	10.712467	66.166303	20.679315	3.885516	12.694976	-14.806833	-15.172045
60	-2.999641	-2.790901	10.415159	69.76602	20.933274	2.556735	11.702305	-14.134975	-14.690064
61	-4.8316	-2.394837	9.749674	73.161095	21.136833	1.495245	10.668689	-13.326159	-14.213786
62	-6.780678	-2.109767	8.785257	76.376259	21.318404	0.654084	9.584705	-12.401182	-13.769983
63	-8.859026	-1.913186	7.484439	79.361791	21.481989	0.078967	8.432915	-11.335931	-13.393752
64	-11.030433	-1.734904	5.903488	82.104233	21.626513	-0.234852	7.218312	-10.136294	-13.112261
65	-13.257976	-1.509726	4.082221	84.541192	21.740856	-0.254473	5.9398	-8.784685	-12.95589
66	-15.471271	-1.167583	2.164583	86.618452	21.804948	0.007993	4.603525	-7.284398	-12.918054
67	-17.607511	-0.664999	0.333841	88.288315	21.79734	0.514041	3.217832	-5.660866	-12.961177
68	-19.620429	0.008436	-1.218876	89.477713	21.699433	1.218875	1.79716	-3.964303	-13.032781
69	-21.514625	0.792596	-2.441367	90.218134	21.518704	2.048792	0.37004	-2.272265	-13.086454
70	-23.284984	1.621165	-3.263667	90.445222	21.243485	2.959794	-1.024321	-0.694366	-13.077201
71	-24.976658	2.41771	-3.771285	90.259827	20.890834	3.892888	-2.358574	0.703874	-12.994368
72	-26.604233	3.105221	-3.958498	89.624008	20.455856	4.803552	-3.5896	1.820603	-12.812632
73	-28.184959	3.644128	-3.928037	88.632157	19.968106	5.658669	-4.711087	2.663416	-12.544486
74	-29.707694	3.9786	-3.727288	87.274801	19.452185	6.42716	-5.698718	3.203268	-12.1985
75	-31.158324	4.108078	-3.439936	85.596395	18.944301	7.107505	-6.55144	3.486143	-11.812698
76	-32.514203	4.044397	-3.125944	83.602436	18.471914	7.712473	-7.262725	3.550165	-11.417702
77	-33.752742	3.822706	-2.846974	81.292646	18.05833	8.276679	-7.837721	3.447738	-11.043313
78	-34.859647	3.495213	-2.640249	78.682941	17.707677	8.846259	-8.304769	3.234635	-10.709908
79	-35.790205	3.109003	-2.548791	75.725844	17.416068	9.4897	-8.689376	2.94597	-10.447838
80	-36.54863	2.721092	-2.586711	72.451098	17.150919	10.258554	-9.025709	2.622362	-10.269299
81	-37.073012	2.393302	-2.827495	68.763081	16.865148	11.260287	-9.315357	2.281091	-10.202336
82	-37.378962	2.163017	-3.278032	64.704685	16.507825	12.516994	-9.563327	1.933507	-10.221065
83	-37.409897	2.084258	-4.011263	60.192465	16.009657	14.113973	-9.747468	1.581559	-10.332772
84	-37.182308	2.156715	-5.01995	55.263514	15.341295	16.024849	-9.855301	1.229905	-10.539904
85	-36.684705	2.376826	-6.312172	49.915934	14.470988	18.230557	-9.866304	0.886984	-10.882431
86	-35.948123	2.698349	-7.829081	44.239285	13.402513	20.624102	-9.776306	0.562404	-11.410987
87	-35.01817	3.060129	-9.476869	38.370075	12.154649	23.060591	-9.60495	0.255083	-12.167203
88	-33.949564	3.385872	-11.12569	32.50865	10.751705	25.342948	-9.405732	-0.05584	-13.181762
89	-32.820069	3.626367	-12.661548	26.850475	9.253986	27.334233	-9.252654	-0.402029	-14.392167
90	-31.70094	3.739027	-13.956393	21.65916	7.720344	28.861728	-9.244349	-0.841755	-15.7281
91	-30.648177	3.750562	-14.997147	17.012789	6.219822	29.958439	-9.41116	-1.403945	-17.065929
92	-29.723482	3.677108	-15.728136	13.125575	4.824432	30.575125	-9.800113	-2.136192	-18.29045
93	-28.936414	3.567777	-16.218095	9.94852	3.571851	30.854245	-10.350494	-2.995484	-19.346218
94	-28.311207	3.449203	-16.49869	7.570204	2.52839	30.877553	-11.008645	-3.929464	-20.183359
95	-27.8339	3.338217	-16.651684	5.921736	1.726646	30.793126	-11.662392	-4.828552	-20.80018
96	-27.49991	3.233231	-16.712593	4.986864	1.197101	30.689678	-12.19399	-5.570303	-21.170552
97	-27.304455	3.113161	-16.670903	4.743219	0.949387	30.593797	-12.463528	-6.018121	-21.268186
98	-27.233911	2.950803	-16.493347	5.118475	0.948653	30.455646	-12.387669	-6.103673	-21.110678
99	-27.298496	2.709149	-16.120382	6.141332	1.187194	30.166539	-11.837737	-5.711434	-20.68906
100	-27.479656	2.383797	-15.57703	7.686173	1.604025	29.676598	-10.847665	-4.871885	-20.060771
