Time	Hip_Z	Hip_X	Hip_Y	Knee_Z	Knee_X	Knee_Y	Ankle_Z	Ankle_X	Ankle_Y
0	-26.775913	2.745363	-12.405513	8.141209	4.5746	18.466912	-4.807302	-6.080658	-9.936706
1	-26.448036	2.662001	-14.183339	9.460497	4.732398	19.532276	-3.406323	-4.59892	-9.31666
2	-26.229154	2.441809	-15.787113	11.190599	4.837882	20.020564	-1.926172	-2.766018	-8.335108
3	-26.142711	2.027313	-17.119343	13.360326	4.845368	19.75311	-0.689767	-0.705492	-6.921399
4	-26.193389	1.378706	-18.111655	15.925427	4.723744	18.747892	0.003697	1.368364	-5.110659
5	-26.360981	0.484623	-18.725999	18.807046	4.475283	17.151929	0.044848	3.282503	-3.010039
6	-26.598231	-0.691722	-18.857102	21.917274	4.125004	15.121696	-0.66227	4.846836	-0.789542
7	-26.807957	-2.091809	-18.549933	25.062865	3.765762	12.947158	-1.913771	6.034492	1.294887
8	-26.877777	-3.675122	-17.790759	28.031856	3.492513	10.844229	-3.584123	6.807573	2.992117
9	-26.725042	-5.304181	-16.736789	30.623753	3.347581	8.98988	-5.439087	7.26125	4.217724
10	-26.323923	-6.830933	-15.586076	32.720691	3.302401	7.486019	-7.330102	7.479978	5.02667
11	-25.686335	-8.065506	-14.610978	34.221341	3.282698	6.455563	-9.142645	7.532056	5.535207
12	-24.895319	-8.938727	-13.97804	35.201343	3.231789	5.892766	-10.828594	7.493193	5.884215
13	-23.982838	-9.372258	-13.827575	35.623471	3.150875	5.875834	-12.328761	7.392053	6.081768
14	-22.974985	-9.469756	-14.080803	35.576663	3.101527	6.304254	-13.633273	7.254752	6.114028
15	-21.85179	-9.331055	-14.639268	35.078583	3.137083	7.072787	-14.719379	7.087696	5.965426
16	-20.580757	-9.089634	-15.342974	34.148452	3.278149	7.986798	-15.559111	6.888475	5.672243
17	-19.164107	-8.855828	-16.038105	32.864056	3.494469	8.848849	-16.157968	6.654894	5.318086
18	-17.577524	-8.708736	-16.586788	31.213958	3.760584	9.477876	-16.44837	6.375341	4.972801
19	-15.854617	-8.6576	-16.930526	29.288279	4.043933	9.838638	-16.439131	6.054117	4.656095
20	-14.007883	-8.688291	-17.022001	27.111293	4.326645	9.935777	-16.075859	5.686372	4.334809
21	-12.071194	-8.750169	-16.866062	24.732631	4.587861	9.866947	-15.322289	5.2683	3.930287
22	-10.080516	-8.790923	-16.507359	22.206939	4.812597	9.759332	-14.183634	4.807297	3.365966
23	-8.058336	-8.746343	-15.958328	19.556821	4.971814	9.764969	-12.578812	4.312131	2.508197
24	-6.031504	-8.59028	-15.283803	16.839678	5.046185	9.961477	-10.576373	3.798723	1.345224
25	-4.020131	-8.292394	-14.498164	14.097232	4.993215	10.383418	-8.169348	3.25715	-0.137146
26	-2.040783	-7.859891	-13.61823	11.385513	4.797656	10.962358	-5.438973	2.653766	-1.843116
27	-0.102555	-7.311973	-12.647764	8.745656	4.471467	11.604397	-2.466451	1.950347	-3.664031
28	1.775637	-6.657877	-11.572986	6.235621	4.028088	12.184869	0.677898	1.091763	-5.451534
29	3.581298	-5.932785	-10.402684	3.886916	3.514096	12.599855	3.882978	0.082687	-7.043545
30	5.268388	-5.158903	-9.123647	1.794472	2.966753	12.731669	7.050053	-1.077577	-8.224168
31	6.793659	-4.378072	-7.752406	0.043827	2.443766	12.565041	10.07953	-2.325166	-8.898005
32	8.107938	-3.630883	-6.306919	-1.253901	1.995491	12.137949	12.886858	-3.592692	-9.06627
33	9.150937	-2.977378	-4.826547	-1.938043	1.681219	11.560069	15.351403	-4.788073	-8.819105
34	9.933737	-2.458144	-3.373109	-1.99624	1.52144	10.992353	17.429507	-5.842677	-8.35315
35	10.42608	-2.1449	-2.023188	-1.295517	1.570009	10.596857	18.993964	-6.646148	-7.821896
36	10.698063	-2.038928	-0.813053	0.059015	1.823613	10.44961	20.068382	-7.148148	-7.377171
37	10.798302	-2.141453	0.231004	2.020046	2.298401	10.59185	20.635583	-7.287965	-7.107674
38	10.800709	-2.423926	1.093074	4.467536	2.997433	11.015593	20.735235	-7.057352	-7.030332
39	10.775205	-2.828398	1.787818	7.228965	3.88739	11.644322	20.492813	-6.548708	-7.057514
40	10.778369	-3.311924	2.297288	10.203969	4.965602	12.410043	19.988776	-5.853914	-7.047584
41	10.833498	-3.808621	2.672562	13.263803	6.160189	13.189888	19.380965	-5.145051	-6.869366
42	10.944165	-4.274139	2.940978	16.367072	7.427106	13.883544	18.750172	-4.548359	-6.421102
43	11.087486	-4.669396	3.153657	19.505682	8.699761	14.399357	18.154132	-4.149503	-5.685052
44	11.237917	-4.977845	3.344057	22.692902	9.931422	14.714704	17.609476	-3.952652	-4.732584
45	11.374513	-5.177697	3.524052	25.958397	11.081444	14.821851	17.125664	-3.944423	-3.672981
46	11.487637	-5.284703	3.704596	29.305062	12.151973	14.786593	16.68816	-4.03633	-2.657914
47	11.563299	-5.291694	3.907929	32.748788	13.140828	14.621757	16.294672	-4.17262	-1.819922
48	11.590715	-5.205745	4.161769	36.285903	14.068214	14.342538	15.937004	-4.299958	-1.239399
49	11.558863	-5.030841	4.480357	39.911206	14.948274	13.947488	15.609653	-4.399873	-0.937847
50	11.444972	-4.763373	4.873302	43.622828	15.784032	13.417787	15.305944	-4.479286	-0.91516
