Time	Hip_Z	Hip_X	Hip_Y	Knee_Z	Knee_X	Knee_Y	Ankle_Z	Ankle_X	Ankle_Y
0	-25.565736	-4.101358	-7.796896	15.917776	1.131417	19.152	-7.888218	1.952698	-7.267592
1	-25.948002	-4.326757	-8.283194	18.104216	1.018452	18.57313	-6.606256	3.420361	-6.136486
2	-26.520223	-4.665807	-8.722966	20.731078	0.991138	17.878513	-5.670093	4.820799	-5.035305
3	-27.283711	-5.153878	-9.073365	23.787517	1.096377	17.069127	-5.324999	6.00285	-4.013465
4	-28.159405	-5.782435	-9.295391	27.136514	1.345898	16.148564	-5.622381	6.882156	-3.091387
5	-29.057263	-6.536822	-9.337107	30.656695	1.727997	15.0976	-6.567048	7.417261	-2.284406
6	-29.849241	-7.372276	-9.157471	34.156055	2.175808	13.919348	-8.043602	7.644241	-1.599809
7	-30.435441	-8.230702	-8.772739	37.450275	2.608456	12.670813	-9.859433	7.664225	-1.034032
8	-30.692862	-9.039969	-8.221393	40.307641	2.953245	11.465849	-11.852971	7.568616	-0.61208
9	-30.631306	-9.74594	-7.617319	42.678282	3.195855	10.416813	-13.864067	7.449753	-0.3169
10	-30.203119	-10.275796	-7.069469	44.429292	3.311377	9.662279	-15.784274	7.357945	-0.153812
11	-29.494779	-10.638005	-6.647424	45.6631	3.324917	9.204182	-17.568671	7.312786	-0.078096
12	-28.523621	-10.832945	-6.395383	46.375933	3.240266	9.055198	-19.175619	7.322931	-0.072753
13	-27.34648	-10.912225	-6.290762	46.653084	3.077804	9.12993	-20.599923	7.370427	-0.111196
14	-25.993254	-10.924369	-6.288494	46.542123	2.850337	9.336568	-21.833067	7.429603	-0.177136
15	-24.489397	-10.909922	-6.333371	46.068187	2.57612	9.579137	-22.854917	7.468781	-0.263619
16	-22.881674	-10.887892	-6.391208	45.29419	2.290241	9.799725	-23.676605	7.463275	-0.37347
17	-21.190509	-10.860127	-6.461622	44.199396	2.040971	9.970077	-24.25431	7.368191	-0.524349
18	-19.448546	-10.825561	-6.557533	42.850149	1.858512	10.102088	-24.609572	7.168449	-0.721385
19	-17.660166	-10.781198	-6.704838	41.226689	1.780481	10.212559	-24.680303	6.824497	-0.984708
20	-15.838987	-10.725903	-6.914579	39.382994	1.809963	10.340119	-24.470018	6.341601	-1.319611
21	-13.992253	-10.655097	-7.195843	37.333202	1.957887	10.532777	-23.933699	5.716834	-1.739668
22	-12.131038	-10.564435	-7.540853	35.119309	2.215098	10.846754	-23.052153	4.979915	-2.248083
23	-10.262762	-10.453271	-7.929161	32.786524	2.562409	11.317207	-21.828239	4.167233	-2.843664
24	-8.390986	-10.317671	-8.313352	30.381327	2.973619	11.968035	-20.2456	3.312171	-3.534249
25	-6.51577	-10.154261	-8.628531	27.964315	3.398371	12.745193	-18.375283	2.452729	-4.305206
26	-4.631003	-9.946385	-8.768458	25.60178	3.776936	13.587664	-16.213134	1.625839	-5.162405
27	-2.735256	-9.693107	-8.706854	23.333769	4.080712	14.404817	-13.860095	0.840311	-6.080043
28	-0.827783	-9.381523	-8.393427	21.209605	4.286505	15.123037	-11.34468	0.095772	-7.049455
29	1.085716	-9.01481	-7.86258	19.239247	4.407596	15.698472	-8.733207	-0.628733	-8.038481
30	2.997224	-8.598985	-7.145503	17.438099	4.457197	16.087986	-6.074357	-1.349202	-9.007319
31	4.894275	-8.150364	-6.276518	15.820371	4.457474	16.23229	-3.433802	-2.074374	-9.894225
32	6.761918	-7.686805	-5.284419	14.388746	4.433595	16.093673	-0.868408	-2.797146	-10.647183
33	8.564929	-7.232374	-4.199078	13.189063	4.418878	15.617442	1.544507	-3.492363	-11.191865
34	10.280572	-6.816396	-3.094891	12.215152	4.447292	14.891071	3.771145	-4.138535	-11.535292
35	11.852105	-6.491014	-2.05461	11.551527	4.567342	13.976165	5.713358	-4.700834	-11.654674
36	13.262475	-6.283555	-1.140811	11.203501	4.793207	13.018715	7.35988	-5.182676	-11.619265
37	14.462195	-6.236945	-0.42369	11.254868	5.146917	12.13682	8.645827	-5.585212	-11.464146
38	15.434196	-6.356758	0.069789	11.736452	5.618692	11.430159	9.572904	-5.924725	-11.254681
39	16.161272	-6.631529	0.335174	12.686265	6.196686	10.945065	10.137453	-6.201133	-11.044189
40	16.62198	-7.025743	0.398475	14.162211	6.867293	10.671861	10.326145	-6.399614	-10.879719
41	16.843654	-7.472981	0.346654	16.131833	7.604161	10.512257	10.194742	-6.521108	-10.773917
42	16.798755	-7.901099	0.274925	18.673717	8.391922	10.340055	9.748102	-6.560172	-10.729678
43	16.541363	-8.255423	0.275264	21.676828	9.200806	10.044191	9.101233	-6.546585	-10.720707
44	16.059489	-8.488236	0.423111	25.157943	10.013414	9.524762	8.311059	-6.498385	-10.734692
45	15.400604	-8.611974	0.712094	28.986471	10.815917	8.790617	7.478367	-6.442281	-10.761308
46	14.575311	-8.64331	1.115703	33.090932	11.600598	7.868663	6.677066	-6.391968	-10.802921
47	13.608398	-8.616265	1.564019	37.356586	12.362387	6.847311	5.97708	-6.353757	-10.862354
48	12.517977	-8.554774	1.988511	41.690827	13.101554	5.815806	5.416177	-6.332174	-10.937972
49	11.304838	-8.464766	2.323451	46.016523	13.818199	4.854061	5.028489	-6.34028	-11.020231
50	9.990823	-8.336244	2.56091	50.294356	14.50352	3.976835	4.788873	-6.380578	-11.084023
51	8.563068	-8.118791	2.70472	54.496129	15.097437	3.175927	4.691633	-6.443758	-11.069816
52	7.050174	-7.787807	2.813558	58.631313	15.547016	2.399239	4.662176	-6.489512	-10.933804
53	5.459527	-7.305488	2.925417	62.684306	15.761056	1.62492	4.641096	-6.456503	-10.600028
54	3.8203	-6.696777	3.053543	66.64355	15.71554	0.868178	4.554429	-6.281937	-10.040402
55	2.144451	-6.001787	3.173966	70.47995	15.408549	0.183618	4.334972	-5.906886	-9.242637
56	0.43311	-5.293325	3.228314	74.160177	14.901135	-0.349883	3.918305	-5.304711	-8.248729
57	-1.321538	-4.637175	3.163986	77.673534	14.29719	-0.691032	3.287858	-4.508416	-7.146059
58	-3.146633	-4.093983	2.90891	80.983921	13.708053	-0.789986	2.423455	-3.555091	-6.036897
59	-5.049514	-3.65916	2.467014	84.109843	13.212147	-0.6897	1.39211	-2.533211	-5.012378
60	-7.059469	-3.325195	1.817965	87.005235	12.879791	-0.396913	0.229425	-1.51734	-4.171596
61	-9.166734	-3.031036	1.033848	89.686214	12.694283	0.012305	-0.982319	-0.570565	-3.53203
62	-11.37701	-2.72563	0.164924	92.110328	12.641413	0.503495	-2.189823	0.266417	-3.121644
63	-13.672119	-2.364851	-0.712	94.263978	12.668243	1.033464	-3.34897	0.997906	-2.907112
64	-16.036784	-1.93235	-1.536488	96.121566	12.735183	1.573308	-4.441441	1.639293	-2.852686
65	-18.45148	-1.435965	-2.248757	97.63631	12.815421	2.093279	-5.458897	2.196163	-2.921831
66	-20.885314	-0.913769	-2.823258	98.814535	12.904209	2.568564	-6.404473	2.674236	-3.074417
67	-23.307301	-0.417873	-3.213092	99.577915	13.01533	2.961252	-7.258432	3.050113	-3.298322
68	-25.695941	0.013468	-3.45632	99.979597	13.155479	3.281101	-8.031763	3.32889	-3.55736
69	-28.023925	0.339945	-3.573414	99.964594	13.33688	3.545295	-8.715964	3.487407	-3.819876
70	-30.281022	0.563942	-3.630938	99.591619	13.563647	3.802238	-9.328668	3.537424	-4.05341
71	-32.446856	0.687334	-3.669011	98.854157	13.843921	4.096724	-9.875033	3.48044	-4.231963
72	-34.50199	0.737484	-3.725426	97.777916	14.173644	4.48127	-10.369034	3.340636	-4.336627
73	-36.426939	0.749368	-3.82418	96.388463	14.542727	4.999187	-10.822629	3.145512	-4.36092
74	-38.17613	0.764137	-3.990317	94.670269	14.936202	5.712067	-11.242143	2.92058	-4.296327
75	-39.741514	0.813829	-4.226957	92.667133	15.329278	6.625897	-11.636733	2.691567	-4.158879
76	-41.045365	0.937582	-4.563442	90.317741	15.693097	7.806177	-12.000292	2.479782	-3.956348
77	-42.095772	1.139461	-4.999468	87.667892	16.012529	9.218763	-12.330618	2.290852	-3.729623
78	-42.824943	1.432049	-5.563063	84.658335	16.264912	10.887146	-12.615134	2.121835	-3.512928
79	-43.235375	1.788993	-6.242731	81.301527	16.438713	12.752763	-12.85186	1.957446	-3.339098
80	-43.312419	2.167916	-7.009655	77.582122	16.507735	14.744854	-13.035678	1.789671	-3.227303
81	-43.071833	2.494885	-7.789455	73.51143	16.434651	16.733291	-13.166006	1.62081	-3.193176
82	-42.565348	2.715909	-8.515907	69.138168	16.205808	18.605305	-13.248386	1.453558	-3.254275
83	-41.803432	2.777049	-9.129579	64.462912	15.790716	20.239758	-13.27737	1.282167	-3.45356
84	-40.855223	2.69074	-9.621746	59.561554	15.214599	21.610876	-13.258406	1.098279	-3.783687
85	-39.727501	2.445048	-9.950719	54.44849	14.457973	22.629376	-13.182702	0.889983	-4.26078
86	-38.481017	2.090117	-10.120103	49.224114	13.554938	23.320704	-13.067843	0.655716	-4.839022
87	-37.139576	1.653616	-10.101902	43.971315	12.503669	23.650447	-12.930336	0.389125	-5.490755
88	-35.740935	1.187815	-9.913828	38.800501	11.340547	23.673696	-12.798748	0.090898	-6.165679
89	-34.308425	0.73274	-9.583086	33.807526	10.106651	23.454732	-12.695322	-0.231134	-6.817642
90	-32.869989	0.323131	-9.155721	29.106171	8.858732	23.082376	-12.629041	-0.56209	-7.400804
91	-31.457337	-0.028114	-8.699477	24.74985	7.647874	22.665004	-12.586712	-0.885622	-7.896142
92	-30.122873	-0.299731	-8.29627	20.897088	6.532591	22.31257	-12.548326	-1.175872	-8.269677
93	-28.89728	-0.499929	-8.007847	17.556554	5.53167	22.093353	-12.485508	-1.413018	-8.530748
94	-27.838601	-0.617846	-7.917488	14.893734	4.68888	22.080912	-12.351907	-1.557415	-8.652642
95	-26.953007	-0.662553	-8.043041	12.888379	3.997563	22.267072	-12.103275	-1.596011	-8.642052
96	-26.261021	-0.633024	-8.39545	11.604684	3.461631	22.636135	-11.666272	-1.509217	-8.489612
97	-25.757326	-0.551512	-8.900679	11.023995	3.056043	23.097025	-10.956198	-1.28365	-8.217701
98	-25.429935	-0.45571	-9.445112	11.102433	2.751619	23.529626	-9.909818	-0.896902	-7.861717
99	-25.292135	-0.39818	-9.894279	11.862261	2.532086	23.776719	-8.47015	-0.295885	-7.449565
100	-25.327911	-0.41749	-10.183897	13.189905	2.377592	23.762507	-6.767963	0.50254	-7.005728
