Time	Hip_Z	Hip_X	Hip_Y	Knee_Z	Knee_X	Knee_Y	Ankle_Z	Ankle_X	Ankle_Y
0	-19.07154	6.014321	-4.501644	14.632291	3.565124	24.086575	-9.113606	-3.666794	-11.330102
1	-18.553256	5.722564	-4.307262	15.434483	3.6905	23.787208	-8.063516	-2.441231	-10.835849
2	-18.174324	5.350188	-4.19	16.489945	3.89541	23.480421	-7.028103	-1.126798	-10.24117
3	-17.976178	4.891294	-4.180725	17.830462	4.16619	23.145637	-6.15599	0.202969	-9.5219
4	-17.97899	4.352164	-4.304194	19.481646	4.482935	22.769571	-5.606286	1.453633	-8.672141
5	-18.154504	3.754463	-4.555619	21.423443	4.824461	22.354284	-5.458338	2.550878	-7.711348
6	-18.502694	3.105784	-4.946272	23.699049	5.182576	21.900386	-5.863856	3.379317	-6.643205
7	-18.954828	2.42476	-5.419019	26.208072	5.548203	21.421507	-6.733747	3.934512	-5.528335
8	-19.45716	1.710915	-5.911416	28.856523	5.915052	20.912386	-8.001687	4.208585	-4.428731
9	-19.944487	0.949683	-6.334229	31.506292	6.27531	20.344332	-9.56522	4.222364	-3.416106
10	-20.360068	0.131612	-6.625072	34.02495	6.624518	19.69016	-11.265418	4.067609	-2.523193
11	-20.62459	-0.761531	-6.710831	36.260356	6.956308	18.90188	-13.003543	3.789995	-1.793512
12	-20.697768	-1.709266	-6.596824	38.155898	7.264972	17.986392	-14.693818	3.460626	-1.212488
13	-20.547459	-2.672232	-6.298705	39.680928	7.535109	16.969983	-16.290153	3.126357	-0.761713
14	-20.123097	-3.585511	-5.820032	40.784321	7.733104	15.894352	-17.756893	2.827563	-0.432738
15	-19.467258	-4.39996	-5.222524	41.550308	7.848685	14.828377	-19.111489	2.581566	-0.190335
16	-18.575393	-5.058747	-4.54982	41.972882	7.860263	13.840939	-20.347727	2.404668	-0.028902
17	-17.503291	-5.549444	-3.877015	42.118329	7.772092	12.98106	-21.483204	2.289602	0.082241
18	-16.311211	-5.884926	-3.269303	42.055341	7.59691	12.271079	-22.529509	2.223918	0.175539
19	-15.030889	-6.056211	-2.807351	41.798311	7.332997	11.759	-23.458668	2.209083	0.275307
20	-13.710009	-6.118202	-2.499842	41.411793	7.01543	11.412903	-24.271682	2.229391	0.388801
21	-12.360811	-6.090259	-2.371517	40.897048	6.6669	11.242996	-24.931417	2.275254	0.507123
22	-10.988566	-6.001086	-2.415633	40.25695	6.320101	11.24181	-25.413245	2.325173	0.601613
23	-9.59567	-5.876861	-2.601486	39.502078	6.000903	11.387598	-25.717171	2.356644	0.640375
24	-8.176865	-5.728033	-2.936983	38.60618	5.735423	11.702491	-25.789438	2.338514	0.575483
25	-6.736013	-5.568419	-3.378671	37.592363	5.518761	12.145776	-25.657375	2.258902	0.410227
26	-5.272821	-5.40354	-3.907071	36.461764	5.344985	12.699529	-25.308354	2.100707	0.145009
27	-3.787017	-5.236261	-4.48784	35.22295	5.201819	13.333738	-24.737134	1.85086	-0.210186
28	-2.281267	-5.066702	-5.072131	33.905093	5.073109	14.00372	-23.980377	1.518038	-0.62966
29	-0.749744	-4.891884	-5.608297	32.514494	4.950763	14.675963	-23.014879	1.093356	-1.110738
30	0.809503	-4.709948	-6.060838	31.077406	4.82866	15.320117	-21.868846	0.600469	-1.638076
31	2.401701	-4.519129	-6.396621	29.611736	4.704656	15.912632	-20.546044	0.058117	-2.204521
32	4.032278	-4.31646	-6.571003	28.137151	4.578697	16.426361	-19.034388	-0.513038	-2.805909
33	5.690861	-4.101869	-6.587438	26.677132	4.452584	16.858753	-17.369921	-1.084829	-3.430641
34	7.365575	-3.870953	-6.412077	25.264098	4.328587	17.186936	-15.54224	-1.63168	-4.074897
35	9.032133	-3.622498	-6.059068	23.928712	4.209983	17.412708	-13.575379	-2.135152	-4.730219
36	10.662981	-3.357964	-5.550331	22.702353	4.102672	17.542824	-11.491143	-2.584279	-5.389476
37	12.211538	-3.079103	-4.886286	21.652486	4.021044	17.567166	-9.293123	-2.960931	-6.045379
38	13.656439	-2.793503	-4.118359	20.794945	3.973804	17.506569	-7.025024	-3.276435	-6.690241
39	14.949565	-2.508558	-3.265315	20.203007	3.981986	17.35468	-4.7085	-3.531771	-7.311822
40	16.058539	-2.237749	-2.365014	19.923639	4.066637	17.121792	-2.371525	-3.741229	-7.900676
41	16.971398	-1.997803	-1.459359	19.969836	4.243764	16.828606	-0.035338	-3.922962	-8.453258
42	17.611974	-1.826848	-0.601396	20.455168	4.564578	16.481263	2.282717	-4.091145	-8.950873
43	18.004058	-1.741591	0.172282	21.327441	5.026532	16.101537	4.582423	-4.26472	-9.389089
44	18.117643	-1.773076	0.81614	22.622637	5.6541	15.695755	6.874899	-4.460572	-9.749856
45	17.94512	-1.942147	1.29349	24.340463	6.455789	15.267698	9.18627	-4.69804	-10.02756
46	17.531125	-2.23342	1.610029	26.405139	7.401578	14.814673	11.541295	-4.989434	-10.24119
47	16.867905	-2.637221	1.755415	28.833584	8.483951	14.309175	13.973575	-5.365398	-10.40076
48	16.032063	-3.09113	1.791722	31.532748	9.64247	13.731497	16.477909	-5.831205	-10.535977
49	15.060369	-3.54636	1.760855	34.465172	10.832027	13.057032	19.030238	-6.401753	-10.66876
50	13.976297	-3.95347	1.699012	37.605871	12.002276	12.26427	21.557849	-7.093505	-10.820968
51	12.816245	-4.284637	1.633414	40.893251	13.114079	11.374097	23.952088	-7.884837	-11.003443
52	11.585451	-4.494504	1.578097	44.319937	14.115092	10.392148	26.013216	-8.761998	-11.224518
53	10.302731	-4.563386	1.543991	47.849397	14.975234	9.349852	27.595981	-9.663021	-11.470256
54	8.977994	-4.467764	1.543015	51.453626	15.660824	8.271846	28.593638	-10.508927	-11.725157
55	7.607771	-4.155253	1.596715	55.104532	16.10918	7.183659	28.869843	-11.186147	-11.981887
56	6.192954	-3.645858	1.707801	58.756201	16.339223	6.113328	28.565238	-11.649357	-12.231639
57	4.709116	-2.919045	1.88403	62.366439	16.323076	5.089675	27.688924	-11.832537	-12.452546
58	3.131705	-2.01054	2.104823	65.89755	16.095034	4.138113	26.36314	-11.745823	-12.623156
59	1.443633	-0.979573	2.3316	69.323298	15.720136	3.280043	24.710592	-11.437758	-12.734862
60	-0.390511	0.125159	2.507771	72.581168	15.258353	2.571668	22.751833	-10.921352	-12.777878
61	-2.331465	1.229092	2.597552	75.66796	14.801571	2.013246	20.587695	-10.287937	-12.775912
62	-4.355338	2.275916	2.55643	78.537414	14.409197	1.63718	18.222748	-9.579905	-12.733328
63	-6.423384	3.218569	2.358299	81.162975	14.116279	1.45452	15.673257	-8.84726	-12.649764
64	-8.506456	4.04267	2.010294	83.557058	13.919184	1.44579	12.984511	-8.130275	-12.52288
65	-10.593589	4.716331	1.490291	85.662212	13.821702	1.639165	10.194975	-7.464133	-12.336719
66	-12.677707	5.274518	0.850148	87.507779	13.785249	1.99363	7.408337	-6.850973	-12.101946
67	-14.751577	5.744428	0.13475	89.062017	13.783777	2.49657	4.732979	-6.284915	-11.822604
68	-16.80413	6.164963	-0.586617	90.278934	13.789851	3.124998	2.286174	-5.751598	-11.499577
69	-18.82647	6.574544	-1.2511	91.178726	13.786069	3.831824	0.103541	-5.234682	-11.139909
70	-20.798124	6.990785	-1.797878	91.688125	13.76523	4.599747	-1.742103	-4.730263	-10.738885
71	-22.713163	7.41211	-2.2139	91.838445	13.734116	5.400049	-3.293074	-4.235888	-10.303568
