Time	Hip_Z	Hip_X	Hip_Y	Knee_Z	Knee_X	Knee_Y	Ankle_Z	Ankle_X	Ankle_Y
0	-25.268065	-1.2828	-13.714993	16.774205	2.825286	23.873993	-5.664068	1.45742	-7.124326
1	-25.883044	-1.542017	-13.684221	19.482745	2.822987	23.276148	-4.579816	2.923672	-6.217211
2	-26.719362	-2.034501	-13.419672	22.654064	2.887581	22.207224	-4.038075	4.304945	-5.28277
3	-27.744933	-2.818006	-12.890172	26.239303	3.017724	20.608342	-4.231885	5.455888	-4.307998
4	-28.831172	-3.859525	-12.138007	30.045817	3.178739	18.578297	-5.115827	6.306709	-3.288636
5	-29.844117	-5.09223	-11.221243	33.870601	3.332329	16.263272	-6.57823	6.843547	-2.250961
6	-30.628811	-6.390418	-10.232278	37.447165	3.446555	13.917165	-8.438231	7.099284	-1.279094
7	-31.122719	-7.62104	-9.265686	40.618256	3.513606	11.769134	-10.478529	7.174463	-0.442375
8	-31.232853	-8.62453	-8.449099	43.171329	3.519457	10.088307	-12.549685	7.132238	0.177619
9	-31.03483	-9.358084	-7.846502	45.17228	3.470315	8.908897	-14.547236	7.056547	0.611611
10	-30.532168	-9.771987	-7.529646	46.579015	3.362539	8.302585	-16.403225	6.985096	0.862157
11	-29.795676	-9.929126	-7.465272	47.48909	3.208376	8.152015	-18.095064	6.9346	0.976056
12	-28.861181	-9.895571	-7.596788	47.952573	3.011722	8.338858	-19.607026	6.908666	0.98359
13	-27.749245	-9.75458	-7.835743	48.003248	2.772824	8.708395	-20.922666	6.909544	0.919255
14	-26.489133	-9.582855	-8.092936	47.710384	2.503812	9.113837	-22.057994	6.92722	0.819977
15	-25.063994	-9.433857	-8.297667	47.031795	2.231594	9.445705	-22.974063	6.93767	0.695013
16	-23.507374	-9.327663	-8.433019	46.028467	1.995703	9.673453	-23.686981	6.907042	0.540697
17	-21.813179	-9.2711	-8.505742	44.656237	1.839519	9.7912	-24.140487	6.78392	0.339338
18	-20.003901	-9.245573	-8.565944	42.947732	1.784047	9.85249	-24.316196	6.533274	0.081538
19	-18.088282	-9.231915	-8.662213	40.911393	1.84594	9.917991	-24.170034	6.128783	-0.249815
20	-16.079437	-9.207253	-8.834786	38.57131	2.034155	10.066287	-23.653465	5.561434	-0.682283
21	-14.007372	-9.158154	-9.08245	36.00195	2.327484	10.344048	-22.784925	4.861426	-1.222856
22	-11.891466	-9.073733	-9.379282	33.247997	2.707568	10.803151	-21.511508	4.043247	-1.893552
23	-9.75416	-8.958485	-9.652917	30.414593	3.11937	11.406211	-19.912782	3.161824	-2.672112
24	-7.601085	-8.804437	-9.817138	27.574633	3.518304	12.132983	-17.978316	2.253087	-3.570597
25	-5.436699	-8.606865	-9.806628	24.802654	3.85814	12.909836	-15.782228	1.357554	-4.568381
26	-3.258889	-8.354512	-9.565332	22.153932	4.100414	13.666286	-13.367714	0.496702	-5.646938
27	-1.067837	-8.034275	-9.057925	19.676048	4.216757	14.319013	-10.791737	-0.320947	-6.772323
28	1.128154	-7.646827	-8.313857	17.377109	4.215198	14.817877	-8.118911	-1.105478	-7.897622
29	3.313077	-7.193583	-7.359253	15.293444	4.103805	15.096214	-5.39627	-1.871326	-8.948835
30	5.467658	-6.715091	-6.317371	13.39098	3.943033	15.189708	-2.683533	-2.636273	-9.867781
31	7.557136	-6.256718	-5.276364	11.69816	3.78497	15.09535	-0.049534	-3.402073	-10.56831
32	9.548419	-5.861401	-4.291878	10.222902	3.679883	14.844069	2.434104	-4.151039	-11.028892
33	11.393934	-5.562398	-3.385449	9.026429	3.665729	14.447612	4.684263	-4.856448	-11.234286
34	13.039116	-5.385092	-2.576238	8.196177	3.773452	13.96086	6.614674	-5.492597	-11.21272
35	14.464261	-5.33065	-1.87743	7.774913	4.002847	13.469986	8.197535	-6.052451	-11.038051
36	15.609777	-5.417997	-1.327189	7.896633	4.364384	13.075212	9.345387	-6.515019	-10.778379
37	16.503579	-5.613952	-0.90321	8.530773	4.828833	12.806909	10.106878	-6.883746	-10.51728
38	17.106623	-5.901725	-0.592135	9.786404	5.402022	12.664493	10.424272	-7.130307	-10.312377
39	17.455577	-6.223119	-0.324636	11.613016	6.0656	12.557316	10.364032	-7.25914	-10.180411
40	17.556988	-6.523725	-0.032263	14.017104	6.814035	12.382314	9.966899	-7.273981	-10.114483
41	17.434608	-6.749245	0.353966	16.949761	7.631321	12.028907	9.328943	-7.203601	-10.086595
42	17.127233	-6.879192	0.855382	20.308199	8.492107	11.452407	8.559172	-7.086025	-10.071402
43	16.641522	-6.901855	1.471718	24.047015	9.373533	10.618957	7.748662	-6.949939	-10.058081
44	16.024459	-6.861927	2.130949	28.021343	10.255448	9.619398	6.979741	-6.817798	-10.048724
45	15.273722	-6.804324	2.741524	32.16607	11.129969	8.538998	6.325454	-6.705235	-10.055804
46	14.414306	-6.778582	3.220454	36.383757	11.99866	7.494385	5.811746	-6.622551	-10.090853
47	13.443879	-6.810877	3.507825	40.6264	12.86543	6.560666	5.456275	-6.585449	-10.161449
48	12.361186	-6.894894	3.588975	44.862768	13.724401	5.768106	5.245953	-6.608662	-10.257659
49	11.171065	-6.990735	3.505462	49.085568	14.550489	5.088235	5.143906	-6.69382	-10.351361
50	9.859902	-7.023664	3.316108	53.295539	15.28097	4.472765	5.114264	-6.837873	-10.393116
51	8.450744	-6.931821	3.121065	57.495065	15.867059	3.852176	5.101285	-7.002661	-10.346499
52	6.947419	-6.629437	3.018163	61.672619	16.208554	3.169935	5.052972	-7.125511	-10.148541
53	5.385979	-6.115808	3.057658	65.808181	16.270365	2.418478	4.926972	-7.123204	-9.774559
54	3.781418	-5.404579	3.25285	69.866555	16.010289	1.627463	4.684527	-6.894228	-9.185967
55	2.128831	-4.580854	3.540129	73.807839	15.463174	0.881135	4.302889	-6.356932	-8.383031
56	0.404627	-3.751205	3.816989	77.607414	14.726282	0.265913	3.78259	-5.503	-7.410851
57	-1.435842	-3.030895	3.945981	81.218917	13.926647	-0.110343	3.111072	-4.347468	-6.330206
58	-3.395021	-2.460824	3.854973	84.649941	13.198659	-0.240501	2.315581	-3.030998	-5.240161
59	-5.499605	-2.068778	3.452785	87.857932	12.664016	-0.09265	1.380617	-1.677951	-4.24307
60	-7.733033	-1.790469	2.782678	90.858647	12.348773	0.253305	0.326131	-0.420958	-3.408413
61	-10.100183	-1.568481	1.879823	93.62253	12.270506	0.745181	-0.839236	0.650919	-2.800062
62	-12.589145	-1.327803	0.837161	96.12767	12.391954	1.305932	-2.068012	1.508152	-2.44202
63	-15.177889	-1.020345	-0.254282	98.358147	12.65568	1.877212	-3.301471	2.17462	-2.316969
64	-17.83934	-0.614256	-1.299001	100.245378	13.014535	2.404398	-4.478066	2.673838	-2.408903
65	-20.523601	-0.134922	-2.232491	101.799865	13.41548	2.856168	-5.573326	3.068013	-2.638902
66	-23.186489	0.38521	-2.981071	102.929597	13.837849	3.190405	-6.558257	3.376472	-2.967048
67	-25.792641	0.89049	-3.555874	103.662483	14.265213	3.419685	-7.444959	3.620295	-3.3262
68	-28.308017	1.33491	-3.963808	103.953403	14.680412	3.560681	-8.230046	3.787719	-3.655149
69	-30.710126	1.68556	-4.24989	103.811817	15.064029	3.660099	-8.923596	3.872162	-3.88861
70	-32.990193	1.933703	-4.459577	103.267915	15.407083	3.761261	-9.535199	3.878215	-3.995848
71	-35.127808	2.073731	-4.632137	102.313731	15.701992	3.912419	-10.064152	3.815712	-3.954827
72	-37.135021	2.131678	-4.80492	101.030912	15.962932	4.141467	-10.529974	3.71545	-3.804113
73	-38.980676	2.110315	-5.006781	99.399104	16.202976	4.493085	-10.937021	3.596135	-3.576868
