Time	Hip_Z	Hip_X	Hip_Y	Knee_Z	Knee_X	Knee_Y	Ankle_Z	Ankle_X	Ankle_Y
0	-15.285318	-0.833077	-5.6445	7.173869	4.256332	27.52376	-8.49562	-1.456784	-19.089463
1	-16.010511	-1.086458	-6.372469	9.028363	4.75531	27.04179	-6.580995	-0.047721	-18.381184
2	-17.10633	-1.342274	-7.192533	11.421445	5.358622	26.491805	-5.060363	1.366755	-17.562062
3	-18.620906	-1.597987	-8.060079	14.477879	6.067581	25.886711	-4.316583	2.637596	-16.656635
4	-20.388548	-1.853762	-8.896468	18.042727	6.833292	25.234579	-4.356289	3.700151	-15.70585
5	-22.254633	-2.121574	-9.585771	22.066445	7.595827	24.481783	-5.313725	4.47464	-14.720682
6	-24.00115	-2.416969	-10.050493	26.295482	8.277443	23.600562	-6.939691	5.011943	-13.73611
7	-25.389542	-2.756333	-10.1783	30.466815	8.785551	22.569699	-9.0811	5.33914	-12.813849
8	-26.323209	-3.125852	-9.984351	34.32584	9.098809	21.448119	-11.448622	5.54671	-12.000167
9	-26.70099	-3.4914	-9.491011	37.60354	9.202457	20.318777	-13.829844	5.691611	-11.337417
10	-26.585689	-3.814798	-8.819496	40.217927	9.152631	19.278583	-16.08058	5.811674	-10.818718
11	-26.035051	-4.068821	-8.089284	42.102023	9.008153	18.426914	-18.105772	5.915544	-10.44139
12	-25.164818	-4.257056	-7.399946	43.328533	8.827629	17.810159	-19.879359	6.003225	-10.182717
13	-24.069286	-4.397945	-6.817681	43.981809	8.641693	17.444603	-21.396447	6.07098	-10.018067
14	-22.820518	-4.515318	-6.36617	44.168105	8.45456	17.304063	-22.678394	6.113527	-9.923912
15	-21.471576	-4.630853	-6.031655	44.000762	8.259219	17.326194	-23.75927	6.119111	-9.883036
16	-20.047434	-4.758603	-5.782356	43.547868	8.049766	17.44086	-24.655741	6.0656	-9.8895
17	-18.567158	-4.904808	-5.568558	42.874442	7.831484	17.568493	-25.385704	5.93326	-9.941833
18	-17.036236	-5.069755	-5.350243	41.984985	7.617525	17.649458	-25.919679	5.700836	-10.047927
19	-15.468761	-5.245147	-5.098509	40.90502	7.424192	17.648312	-26.239814	5.373185	-10.20285
20	-13.874747	-5.423088	-4.793712	39.619007	7.275452	17.536678	-26.279572	4.942141	-10.409805
21	-12.271367	-5.595725	-4.438209	38.163514	7.186997	17.331525	-26.042916	4.424469	-10.663545
22	-10.665698	-5.753858	-4.02584	36.535284	7.18072	17.039859	-25.470729	3.814399	-10.968365
23	-9.056707	-5.889255	-3.565111	34.788723	7.236334	16.699445	-24.617267	3.138545	-11.306056
24	-7.437033	-5.977744	-3.041422	32.939299	7.332267	16.329969	-23.447275	2.409109	-11.666664
25	-5.803643	-6.009188	-2.461648	31.039178	7.424975	15.958362	-22.043688	1.662841	-12.036552
26	-4.142412	-5.950107	-1.807568	29.11376	7.47227	15.608469	-20.382086	0.934339	-12.420578
27	-2.444503	-5.808549	-1.093342	27.190438	7.457051	15.295754	-18.536419	0.249386	-12.828124
28	-0.684542	-5.562276	-0.309507	25.28685	7.343505	15.049268	-16.489506	-0.358201	-13.284265
29	1.131879	-5.232029	0.524192	23.412556	7.138331	14.868902	-14.291717	-0.890866	-13.791321
