hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z
	7.098832	-1.552459	-12.341394	17.434017	10.297482	87.360149	-5.299234	-15.144509	20.443782
	7.703629	-3.330118	-14.172893	16.751733	11.127955	88.920679	-4.923087	-15.124044	19.150541
	8.290528	-4.531730	-16.084504	16.156610	11.956003	90.070422	-4.480254	-14.999534	17.761680
	8.795445	-5.190290	-17.887357	15.559109	12.493281	90.824953	-4.119226	-14.884419	16.378585
	9.256902	-5.856374	-19.474131	14.976382	12.829494	91.226129	-3.648200	-14.684731	14.848088
	9.615245	-5.855116	-21.211306	14.594254	13.020684	91.445537	-3.260843	-14.329020	13.192693
	9.784011	-5.792385	-22.797936	14.259537	13.004991	91.396670	-2.881759	-14.079264	11.309874
	9.765152	-5.710400	-24.373174	14.138147	12.968323	90.850350	-2.374849	-13.879154	9.403577
	9.577592	-5.457284	-25.717811	14.230084	12.833176	90.226894	-1.873132	-13.736549	7.701160
	9.246357	-5.271185	-26.929490	14.487083	12.641659	89.105603	-1.590434	-13.651034	5.989947
	8.723698	-5.201265	-27.987196	14.902544	12.604267	87.758368	-1.463325	-13.549978	4.124518
	8.140893	-5.274661	-28.848283	15.397628	12.681748	86.250216	-1.452287	-13.515004	2.560653
	7.403339	-5.299557	-29.578550	16.032874	12.760003	84.430861	-1.554207	-13.591783	1.288357
	6.680897	-5.203624	-30.213266	16.804194	12.945851	82.141405	-1.721122	-13.623466	0.033709
	5.965462	-5.633337	-30.636405	17.679123	13.264586	79.575789	-1.894185	-13.722856	-1.102565
	5.245238	-6.124705	-30.968055	18.572602	13.735523	76.620004	-2.210487	-13.807538	-1.894496
	4.452160	-6.724352	-31.154281	19.400866	14.596864	73.248826	-2.609297	-13.999336	-2.608733
	3.735997	-7.272933	-31.059115	20.066715	15.423687	69.506348	-3.068272	-14.221447	-3.074986
	3.037541	-7.852328	-30.691673	20.610301	16.748263	65.475935	-3.520414	-14.456536	-3.361322
	2.499859	-8.469678	-30.132516	20.956029	18.215184	60.979825	-4.000310	-14.766654	-3.696716
	2.055290	-8.900301	-29.282352	21.042966	19.819617	56.113855	-4.499519	-15.057539	-3.939258
	1.644693	-9.274530	-28.326331	20.765193	21.337649	51.045352	-5.025231	-15.442049	-3.951293
	1.236874	-9.579640	-27.206139	20.176241	23.028787	45.704638	-5.623158	-15.951856	-4.000457
	0.792238	-9.391173	-25.913809	19.372650	24.419192	40.245388	-6.310211	-16.578065	-3.947076
	0.425621	-9.177881	-24.522223	18.507540	25.652356	34.887077	-6.970058	-17.400023	-3.959687
	0.072105	-8.622720	-23.089230	17.443269	26.672233	29.771124	-7.844289	-18.324685	-4.093279
	-0.251554	-7.828616	-21.685076	16.186003	27.540737	24.918622	-8.795841	-19.476561	-4.257775
	-0.542484	-6.813890	-20.319179	14.912408	27.932153	20.728359	-9.754155	-20.536308	-4.521383
	-0.796920	-5.821213	-19.058583	13.710621	28.170264	16.961824	-10.592192	-21.713431	-4.852228
	-0.897821	-5.135978	-17.931817	12.620499	28.099045	13.721089	-11.398939	-22.817153	-5.348572
	-0.904672	-4.330090	-16.961448	11.701063	27.762401	11.324330	-11.970170	-23.650131	-5.738577
	-0.916706	-3.791016	-16.226582	10.914817	27.378355	9.474629	-12.177727	-24.249227	-6.097276
	-0.875986	-3.609943	-15.712995	10.442295	26.954702	8.509416	-12.041645	-24.328805	-6.325066
	-0.739306	-3.686934	-15.376578	10.165699	26.421470	8.054870	-11.561130	-24.239705	-6.293409
	-0.607988	-3.980455	-15.199263	10.144607	25.887639	8.274762	-10.797356	-23.693854	-6.042127
	-0.581776	-4.486107	-15.154301	10.306811	25.210972	9.105839	-9.637450	-23.036826	-5.566267
	-0.610997	-5.024221	-15.274449	10.588857	24.525924	10.448168	-8.206397	-22.203129	-4.996941
	-0.737783	-5.696128	-15.482684	10.896248	23.771312	12.268947	-6.401284	-21.257368	-4.283379
