hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z
	-3.512832	-4.429023	-14.603859	0.584681	11.025677	1.568456	-5.421324	-9.574951	-6.894467
	-3.667407	-5.435018	-14.586130	1.197599	11.207242	4.237058	-4.188945	-9.408079	-5.875220
	-3.953605	-6.289161	-14.736934	1.634278	10.867421	7.113173	-2.229956	-8.749314	-4.810843
	-4.336451	-6.823736	-14.955138	1.764480	9.907937	10.193955	-0.146798	-7.684667	-4.626372
	-4.689531	-7.063466	-15.424588	1.712548	8.750284	13.320079	2.261206	-5.967418	-4.997513
	-5.113253	-7.267953	-16.103476	1.378083	7.367878	16.541297	4.493372	-4.018356	-5.938776
	-5.714234	-7.517915	-16.825313	1.257027	6.164095	20.082274	6.453509	-2.116078	-7.541951
	-6.188240	-7.756681	-17.741074	1.200061	5.205018	23.899865	7.284098	-0.197267	-9.412914
	-6.770902	-7.722987	-18.685429	1.202905	4.504762	27.767786	7.670397	1.543265	-11.561765
	-7.283291	-7.612679	-19.162846	1.355422	3.732892	31.391174	7.775673	3.165798	-13.655661
	-7.552322	-7.395978	-19.155322	1.493781	2.856264	34.178018	7.680088	4.146334	-15.632741
	-7.718217	-6.865450	-19.176509	1.666250	2.045214	36.187229	7.582092	4.774628	-17.467256
	-7.827641	-6.421937	-18.744687	1.771246	1.462698	37.320591	7.452526	5.224549	-19.056005
	-7.692708	-6.228694	-18.175794	1.755142	1.142989	38.059702	7.334141	5.499145	-20.352367
	-7.373127	-6.096990	-17.378559	1.684553	1.173409	38.594617	7.274604	5.575948	-21.346447
	-6.794298	-6.043593	-16.359087	1.534022	1.355866	38.354784	7.168001	5.469581	-22.156029
	-6.163040	-6.236251	-15.106021	1.351619	1.630370	37.878017	7.118003	5.256034	-22.814663
	-5.564651	-6.515510	-13.559798	1.119409	2.050821	37.162398	7.125406	4.967821	-23.320960
	-4.993222	-6.732853	-11.921453	0.934559	2.533127	35.993954	7.009871	4.604403	-23.586828
	-4.502384	-6.856226	-10.258659	0.749184	2.986624	34.483768	6.758687	4.161546	-23.540345
	-4.031193	-6.995809	-8.381215	0.753095	3.121813	32.783039	6.341187	3.657800	-23.129202
	-3.538060	-7.003448	-6.498534	0.667152	3.068134	30.926417	5.759446	3.156909	-22.233147
	-3.014397	-6.830598	-4.546701	0.672906	2.942232	28.809541	4.942001	2.563906	-20.865243
	-2.480115	-6.738311	-2.496475	0.700057	2.947402	26.519513	3.926583	1.765866	-19.057377
	-1.938045	-6.581804	-0.433254	0.798309	3.082615	24.077591	2.824427	1.232287	-16.817136
	-1.347395	-6.230568	1.648003	0.966458	3.390539	21.510479	1.723934	0.348825	-14.215735
	-0.728147	-5.923001	3.778605	1.153790	3.957994	18.872607	0.658653	-0.867514	-11.081452
	-0.111023	-5.223448	5.771258	1.334425	4.753816	16.211727	-0.325741	-2.084774	-7.564311
	0.649304	-4.264030	7.656714	1.426681	5.703323	13.425498	-1.156760	-3.799829	-3.528556
	1.417473	-3.126096	9.494623	1.318408	6.996922	10.735359	-1.938502	-5.446646	0.741670
	2.266880	-2.041905	11.216597	1.236864	8.237946	8.033147	-2.510710	-7.383295	5.004676
	3.055951	-0.838337	12.795641	0.878543	9.222603	5.733948	-2.890805	-8.990869	8.895614
	3.726435	0.493371	14.127128	0.562969	9.685210	4.229927	-3.326891	-10.050138	12.233323
	4.329803	1.612480	15.078315	0.334124	9.985120	3.070564	-3.366776	-10.790215	14.584120
	4.707253	2.624528	15.637621	0.352401	9.804322	2.633449	-3.298236	-10.966415	16.373805
	4.886111	3.088319	16.056051	0.523695	9.638893	3.065326	-3.143680	-10.888852	17.558887
	4.726911	3.548615	16.188873	1.022701	9.896860	4.664948	-3.068258	-10.632498	18.748198
	4.303847	3.468093	16.127179	1.746393	10.609027	6.921715	-3.168498	-10.112968	19.160427
	3.907012	2.947231	15.961242	2.500141	11.589477	9.096935	-3.179401	-9.345623	19.241427
	3.493443	2.388291	15.613776	3.487810	12.917013	11.796780	-3.271580	-8.630604	19.101842
	3.011956	1.979196	15.141427	4.568797	13.611016	15.250630	-3.403255	-7.959793	18.680679
	2.643365	1.546329	14.623600	5.767385	13.887383	19.005158	-3.842640	-7.515906	18.324230
	2.371506	1.541780	13.934510	7.067046	13.723419	22.999010	-4.357242	-7.345137	18.181041
	2.258643	1.865319	13.149388	8.452072	13.106729	27.192688	-4.892063	-6.867428	18.469959
	2.244665	2.314151	12.346803	9.730367	12.356773	31.164258	-5.498045	-6.654774	18.815524
	2.251005	3.134446	11.588176	10.963006	11.005361	35.178566	-5.879758	-6.715777	19.396555
	2.319251	4.078904	10.940087	11.996171	9.329820	39.353735	-6.096178	-6.943842	20.315559
	2.503729	4.880930	10.180652	12.955294	7.624194	43.574515	-6.107932	-7.132019	21.573245
	2.691624	5.629075	9.482871	14.051552	6.007188	47.615180	-6.283118	-7.114503	22.646588
	2.926866	6.394085	8.688359	15.061330	4.561672	51.679260	-6.556407	-6.930178	23.880147
	3.180485	6.845798	7.980109	15.529606	3.234996	55.828203	-6.974837	-6.998161	25.100625
	3.401158	6.827938	7.216232	16.035253	2.138946	60.040540	-7.166136	-6.640419	25.522501
	3.608783	6.589729	6.288759	16.463020	1.108597	63.995286	-7.009516	-6.040335	26.230683
	3.785799	6.364395	5.246556	16.796188	0.167858	67.924256	-7.193533	-5.699667	26.887205
