hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z
	3.459894	4.200095	-10.166643	11.921350	2.724095	76.025847	-3.306333	-9.487922	3.697191
	4.003518	3.936319	-12.007354	11.678133	2.562112	78.327658	-2.599021	-8.671254	2.575078
	4.450785	3.612724	-13.928443	11.574278	2.399602	80.511572	-1.941445	-7.887381	1.477900
	4.815009	3.263996	-15.964178	11.464916	2.479356	82.407500	-1.144120	-7.122180	0.389265
	5.133893	2.709937	-18.062353	11.423137	2.565340	84.047110	-0.579447	-6.544930	-0.697587
	5.347559	2.015684	-20.175103	11.193002	2.920197	85.347193	-0.084249	-6.149123	-1.740775
	5.550645	1.376296	-22.272006	11.096315	3.364166	86.201839	0.461447	-5.901028	-2.667019
	5.703858	0.861552	-24.329413	11.096750	3.949420	86.675569	1.131909	-5.688480	-3.444690
	5.787645	0.521668	-26.319672	11.166828	4.417777	86.772392	1.635359	-5.572000	-4.086077
	5.834363	0.390004	-28.236683	11.204175	4.870842	86.548295	1.880143	-5.576706	-4.629000
	5.820777	0.331180	-29.995132	11.318437	5.347106	86.081114	2.058736	-5.514067	-5.132947
	5.757379	0.447503	-31.668955	11.190361	5.943409	85.191064	2.188277	-5.454303	-5.574089
	5.645198	0.671579	-33.156530	11.373296	6.336059	84.004828	2.224196	-5.398818	-5.944304
	5.386421	1.119771	-34.462297	11.466443	6.823046	82.531630	2.219135	-5.333670	-6.298497
	4.993791	1.397897	-35.441345	11.598348	7.484121	80.718427	2.179135	-5.351214	-6.646991
	4.577817	1.497265	-36.226705	11.706954	8.019327	78.486261	2.061526	-5.448094	-6.909057
	4.128492	1.408825	-36.898861	11.842532	8.702349	75.961617	1.959075	-5.445600	-7.048566
	3.621489	1.211385	-37.550196	11.909757	9.641160	73.222903	1.803038	-5.452378	-7.117723
	3.070205	1.041860	-37.962718	11.868503	10.383373	70.204541	1.562823	-5.408241	-7.040968
	2.662979	0.850031	-38.269340	11.755498	11.513289	66.971405	1.249092	-5.550754	-6.707219
	2.222770	0.236833	-38.432306	11.719538	12.588890	63.541862	0.929558	-5.750262	-6.353275
	1.894506	-0.266149	-38.400263	11.791705	13.963711	59.815677	0.510731	-6.037714	-5.701570
	1.764484	-0.937206	-38.129051	11.815595	15.537669	55.777045	-0.036029	-6.535685	-4.945624
	1.697998	-1.806116	-37.667384	11.671382	17.121542	51.463067	-0.622557	-6.992613	-3.874632
	1.734927	-2.652948	-36.993593	11.253604	18.697822	47.126817	-1.136807	-7.297694	-2.696316
	1.760311	-3.659816	-36.114482	10.535220	20.136570	42.701189	-1.758515	-7.462650	-1.482723
	1.983624	-4.535561	-35.116143	9.447093	21.195255	38.182428	-2.334605	-7.463703	-0.146414
	2.302765	-5.091838	-34.067764	8.263640	21.916107	33.929008	-2.962364	-7.418235	0.959347
	2.516185	-5.380722	-33.031936	7.086435	22.126104	30.104769	-3.563780	-7.292002	1.681850
	2.699087	-5.336115	-32.058565	5.822489	21.882280	26.698737	-4.418558	-7.196517	2.125433
	2.750616	-4.811516	-31.180851	4.768288	21.237618	23.629417	-5.341286	-7.340102	2.629353
	2.509323	-4.197597	-30.413923	3.955417	20.298107	20.932385	-6.204966	-7.621855	3.028916
	2.218023	-3.383843	-29.731368	3.348223	19.430710	18.754037	-7.070283	-8.250088	3.413780
	1.878217	-2.611395	-29.118136	2.910127	18.629239	16.780588	-7.959256	-8.730763	3.753203
	1.591203	-2.098411	-28.576592	2.589094	18.074017	15.255768	-8.682528	-9.192329	4.144142
	1.482584	-1.843033	-28.103752	2.425432	17.686200	14.482092	-9.269815	-9.315653	4.500597
	1.254532	-2.017502	-27.598717	2.301047	17.581142	14.159548	-9.586358	-9.247164	4.762085
	0.998948	-2.325233	-27.282883	2.359327	17.593184	14.041479	-9.811029	-9.037346	5.026260
	0.746656	-2.645108	-26.998500	2.464269	17.657856	14.420119	-10.033575	-8.836642	5.291116
