hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z
	5.692783	10.234221	-10.264999	17.598583	3.694344	81.427478	-0.042703	-9.634768	2.697743
	6.403594	10.032132	-12.378993	17.094594	3.592842	83.767390	0.358681	-9.328108	1.835072
	6.989653	9.602340	-14.616164	16.502467	3.725091	85.842959	0.814901	-9.191094	1.007750
	7.547621	8.950788	-16.766153	15.918571	4.144416	87.661817	1.139127	-9.149162	0.256617
	7.948523	8.049818	-19.001662	15.346743	5.051577	89.182638	1.499719	-9.347341	-0.383861
	8.235883	6.967786	-21.124065	14.872708	5.928114	90.216802	1.708448	-9.318896	-0.890435
	8.477988	6.102022	-23.132322	14.392423	6.825232	90.728274	1.863641	-9.233894	-1.267240
	8.630574	5.599818	-25.005134	13.771977	7.560458	90.859698	1.715747	-9.190857	-1.829173
	8.693954	5.085666	-27.110610	13.211010	8.444352	90.551417	1.569014	-9.119486	-2.663100
	8.654614	4.535637	-28.947331	12.806973	9.146897	89.807050	1.412617	-9.132816	-3.531774
	8.570695	4.176197	-30.607452	12.617154	9.843119	88.749141	1.175670	-9.292488	-4.382853
	8.348701	3.951944	-32.120807	12.737954	10.787706	87.246551	1.029029	-9.498572	-5.080848
	8.179777	3.402075	-33.405366	13.065980	11.811527	85.353546	0.837881	-9.721393	-5.569796
	7.995905	3.098135	-34.463197	13.440163	13.125698	83.003894	0.549795	-9.988442	-5.953085
	7.734894	2.839940	-35.541560	14.011124	14.315950	80.244552	0.213443	-10.127374	-6.217634
	7.454080	2.436582	-36.381472	14.357287	15.693098	77.188734	-0.095147	-10.252573	-6.389356
	7.184101	1.903346	-37.092260	14.873869	17.187099	73.810944	-0.359506	-10.272474	-6.588318
	6.778718	1.352086	-37.603783	15.407466	18.840846	70.033899	-0.554414	-10.083858	-6.836199
	6.443737	0.929853	-37.943125	15.698847	20.610870	66.107730	-0.583016	-9.952947	-7.417678
	5.985497	0.221809	-38.191073	15.895101	22.389441	61.946664	-0.543968	-9.755614	-7.883388
	5.441533	-0.563561	-38.309345	15.862681	24.360053	57.440838	-0.424121	-9.548206	-8.068126
	4.873898	-1.295531	-38.323779	15.304617	26.150150	52.731312	-0.177452	-9.324731	-8.061934
	4.243560	-1.980969	-38.231379	14.217966	27.629474	47.897756	0.009543	-9.151711	-7.938318
	3.616669	-2.804716	-38.046092	12.759005	28.987711	43.451276	0.121921	-9.042602	-7.792775
	3.221952	-3.478276	-37.804237	11.001906	29.880701	38.466836	0.079878	-9.108681	-7.554586
	2.969468	-4.137827	-37.506633	9.259621	30.168181	33.487434	-0.139525	-9.422320	-7.396219
	2.654791	-4.317894	-37.217434	7.454932	29.798344	29.115713	-0.545804	-10.000867	-7.354878
	2.411540	-4.249720	-36.909639	5.760370	28.856569	24.943977	-1.101994	-10.774970	-7.490242
	2.221887	-3.825748	-36.654518	4.199099	27.929514	21.614287	-1.796494	-11.741647	-7.803917
	1.864581	-3.168619	-36.336895	2.943093	26.597882	18.794910	-2.675068	-13.026976	-8.164875
	1.608362	-2.537747	-36.075641	1.862499	25.466546	16.345371	-3.457249	-14.342926	-8.523854
	1.327019	-1.880879	-35.642427	1.050764	24.425506	14.236826	-4.099288	-15.322492	-8.840328
	1.169469	-1.433706	-35.236597	0.545136	23.716248	12.388237	-4.352952	-15.606305	-9.064654
	1.055808	-1.360248	-34.746227	0.260521	23.141963	10.998713	-4.233067	-15.536910	-9.038165
	0.965237	-1.535987	-34.082406	0.191918	22.707003	9.888309	-4.030064	-14.971973	-8.940482
	0.966257	-1.641988	-33.346094	0.141275	22.318393	9.260302	-3.764621	-13.759102	-8.778574
	0.932519	-2.187175	-32.529687	0.294615	22.108475	9.178688	-3.589172	-12.482219	-8.655128
	0.897053	-2.907785	-31.678807	0.514530	22.454025	9.299428	-3.414563	-11.543048	-8.500624
