Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Thigh.Top.LateralX	R.Thigh.Top.LateralY	R.Thigh.Top.LateralZ	R.Thigh.Bottom.LateralX	R.Thigh.Bottom.LateralY	R.Thigh.Bottom.LateralZ	R.Thigh.Top.MedialX	R.Thigh.Top.MedialY	R.Thigh.Top.MedialZ	R.Thigh.Bottom.MedialX	R.Thigh.Bottom.MedialY	R.Thigh.Bottom.MedialZ	R.Shank.Top.LateralX	R.Shank.Top.LateralY	R.Shank.Top.LateralZ	R.Shank.Bottom.LateralX	R.Shank.Bottom.LateralY	R.Shank.Bottom.LateralZ	R.Shank.Top.MedialX	R.Shank.Top.MedialY	R.Shank.Top.MedialZ	R.Shank.Bottom.MedialX	R.Shank.Bottom.MedialY	R.Shank.Bottom.MedialZ	R.Heel.TopX	R.Heel.TopY	R.Heel.TopZ	R.Heel.BottomX	R.Heel.BottomY	R.Heel.BottomZ	R.Heel.LateralX	R.Heel.LateralY	R.Heel.LateralZ	L.Thigh.Top.LateralX	L.Thigh.Top.LateralY	L.Thigh.Top.LateralZ	L.Thigh.Bottom.LateralX	L.Thigh.Bottom.LateralY	L.Thigh.Bottom.LateralZ	L.Thigh.Top.MedialX	L.Thigh.Top.MedialY	L.Thigh.Top.MedialZ	L.Thigh.Bottom.MedialX	L.Thigh.Bottom.MedialY	L.Thigh.Bottom.MedialZ	L.Shank.Top.LateralX	L.Shank.Top.LateralY	L.Shank.Top.LateralZ	L.Shank.Bottom.LateralX	L.Shank.Bottom.LateralY	L.Shank.Bottom.LateralZ	L.Shank.Top.MedialX	L.Shank.Top.MedialY	L.Shank.Top.MedialZ	L.Shank.Bottom.MedialX	L.Shank.Bottom.MedialY	L.Shank.Bottom.MedialZ	L.Heel.TopX	L.Heel.TopY	L.Heel.TopZ	L.Heel.BottomX	L.Heel.BottomY	L.Heel.BottomZ	L.Heel.LateralX	L.Heel.LateralY	L.Heel.LateralZ	R.GTRX	R.GTRY	R.GTRZ	R.KneeX	R.KneeY	R.KneeZ	R.Knee.MedialX	R.Knee.MedialY	R.Knee.MedialZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.Ankle.MedialX	R.Ankle.MedialY	R.Ankle.MedialZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	R.MT2X	R.MT2Y	R.MT2Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.Knee.MedialX	L.Knee.MedialY	L.Knee.MedialZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.Ankle.MedialX	L.Ankle.MedialY	L.Ankle.MedialZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z	L.MT2X	L.MT2Y	L.MT2Z
0.0	839.569	1108.824	1352.073	852.022	1099.667	1121.683	660.237	1131.283	1277.966	668.799	1135.763	1181.633	761.916	1168.142	1397.307	780.419	1171.889	1075.509	738.231	816.255	1421.08	739.921	706.568	1418.578	679.804	819.12	1385.994	675.403	708.885	1382.852	701.343	285.422	1428.157	708.066	205.223	1415.723	658.412	286.712	1395.57	663.334	207.248	1383.237	645.146	92.157	1366.012	636.844	47.285	1366.377	671.065	64.421	1413.817	748.203	842.569	1042.959	750.688	732.282	1037.779	691.377	841.509	1080.73	687.679	731.595	1071.53	701.951	285.567	1028.65	707.609	205.41	1037.053	664.615	288.391	1066.777	669.636	203.548	1071.042	644.851	92.212	1084.632	634.59	46.978	1084.191	665.349	66.304	1040.36	746.809	996.416	1402.808	726.298	577.965	1407.011	734.365	563.433	1278.168	718.612	511.802	1410.966	779.11	488.666	1360.63	707.385	108.542	1409.66	727.21	120.952	1323.405	860.809	64.769	1324.263	833.672	59.237	1434.737	863.669	79.492	1374.009	767.584	1006.849	1062.28	750.044	576.552	1046.162	745.098	558.417	1173.716	747.855	506.487	1040.36	789.037	469.865	1101.693	709.986	106.709	1047.47	727.101	114.685	1134.493	858.356	62.868	1132.441	825.422	56.915	1021.869	862.968	73.538	1085.512
0.007	839.579	1108.819	1352.056	852.045	1099.672	1121.652	660.254	1131.273	1277.927	668.819	1135.767	1181.583	761.932	1168.145	1397.282	780.442	1171.886	1075.476	738.207	816.258	1421.053	739.9	706.568	1418.563	679.789	819.123	1385.95	675.376	708.88	1382.805	701.333	285.434	1428.163	708.066	205.228	1415.719	658.401	286.715	1395.571	663.331	207.254	1383.231	645.15	92.152	1366.013	636.841	47.282	1366.374	671.051	64.434	1413.826	748.219	842.562	1042.933	750.689	732.284	1037.758	691.385	841.506	1080.707	687.686	731.599	1071.51	701.951	285.557	1028.647	707.609	205.414	1037.034	664.62	288.393	1066.768	669.633	203.545	1071.052	644.844	92.213	1084.639	634.594	46.969	1084.194	665.348	66.304	1040.363	746.804	996.408	1402.779	726.28	577.977	1406.996	734.328	563.413	1278.152	718.604	511.808	1410.953	779.103	488.671	1360.622	707.389	108.529	1409.653	727.214	120.951	1323.406	860.79	64.82	1324.245	833.683	59.237	1434.734	863.664	79.502	1374.026	767.588	1006.85	1062.237	750.053	576.559	1046.135	745.077	558.419	1173.698	747.866	506.479	1040.34	789.028	469.873	1101.686	709.986	106.713	1047.467	727.094	114.666	1134.481	858.358	62.869	1132.44	825.421	56.874	1021.865	862.971	73.536	1085.509
0.013	839.59	1108.82	1352.027	852.063	1099.67	1121.616	660.27	1131.29	1277.899	668.836	1135.779	1181.558	761.949	1168.142	1397.256	780.461	1171.896	1075.464	738.194	816.271	1421.035	739.885	706.579	1418.545	679.782	819.129	1385.914	675.364	708.883	1382.783	701.326	285.424	1428.148	708.061	205.225	1415.712	658.394	286.715	1395.557	663.33	207.255	1383.231	645.15	92.155	1366.006	636.84	47.287	1366.373	671.061	64.426	1413.818	748.224	842.56	1042.902	750.701	732.276	1037.735	691.386	841.518	1080.684	687.692	731.601	1071.479	701.965	285.562	1028.632	707.612	205.414	1037.031	664.621	288.388	1066.758	669.63	203.55	1071.039	644.85	92.216	1084.638	634.598	46.975	1084.203	665.343	66.305	1040.368	746.815	996.413	1402.765	726.269	577.983	1406.984	734.337	563.426	1278.136	718.588	511.814	1410.935	779.09	488.671	1360.605	707.382	108.535	1409.654	727.22	120.945	1323.399	860.804	64.771	1324.264	833.679	59.239	1434.733	863.537	79.236	1373.951	767.631	1006.849	1062.217	750.036	576.56	1046.114	745.051	558.426	1173.68	747.854	506.478	1040.325	789.028	469.876	1101.675	709.982	106.711	1047.477	727.093	114.67	1134.477	858.352	62.867	1132.437	825.43	56.874	1021.861	862.961	73.537	1085.514
0.02	839.603	1108.811	1352.003	852.093	1099.673	1121.591	660.283	1131.286	1277.869	668.854	1135.782	1181.513	761.972	1168.148	1397.241	780.475	1171.896	1075.439	738.18	816.261	1421.018	739.858	706.579	1418.531	679.767	819.139	1385.888	675.347	708.889	1382.749	701.325	285.441	1428.155	708.06	205.233	1415.705	658.391	286.721	1395.551	663.324	207.253	1383.223	645.15	92.159	1366.009	636.839	47.282	1366.375	671.05	64.44	1413.815	748.26	842.48	1042.974	750.703	732.28	1037.703	691.399	841.514	1080.651	687.699	731.612	1071.442	701.952	285.56	1028.617	707.612	205.413	1037.014	664.617	288.391	1066.752	669.63	203.55	1071.032	644.846	92.221	1084.628	634.59	46.976	1084.208	665.338	66.302	1040.357	746.807	996.417	1402.731	726.25	577.988	1406.97	734.326	563.417	1278.114	718.57	511.818	1410.933	779.079	488.665	1360.597	707.385	108.539	1409.646	727.215	120.946	1323.41	860.791	64.771	1324.26	833.678	59.246	1434.741	863.663	79.505	1374.02	767.648	1006.839	1062.178	750.046	576.558	1046.1	745.035	558.437	1173.666	747.839	506.479	1040.302	789.026	469.87	1101.656	709.98	106.698	1047.475	727.092	114.68	1134.476	858.358	62.878	1132.429	825.426	56.872	1021.861	862.959	73.534	1085.511
0.027	839.613	1108.801	1351.979	852.116	1099.657	1121.57	660.293	1131.292	1277.843	668.868	1135.78	1181.48	761.979	1168.143	1397.208	780.501	1171.882	1075.4	738.164	816.261	1420.989	739.844	706.581	1418.515	679.756	819.143	1385.856	675.334	708.888	1382.722	701.308	285.441	1428.129	708.053	205.235	1415.711	658.387	286.718	1395.542	663.323	207.253	1383.223	645.148	92.157	1366.003	636.843	47.284	1366.376	671.064	64.435	1413.813	748.275	842.47	1042.956	750.717	732.272	1037.685	691.401	841.518	1080.618	687.707	731.614	1071.411	701.961	285.55	1028.604	707.613	205.401	1037.024	664.62	288.385	1066.741	669.63	203.55	1071.025	644.839	92.223	1084.63	634.586	46.969	1084.193	665.341	66.305	1040.353	746.82	996.405	1402.696	726.241	577.992	1406.959	734.311	563.412	1278.1	718.56	511.816	1410.911	779.071	488.654	1360.573	707.389	108.544	1409.642	727.222	120.937	1323.399	860.796	64.778	1324.258	833.674	59.239	1434.742	863.54	79.254	1373.956	767.682	1006.841	1062.148	750.051	576.551	1046.078	745.032	558.442	1173.644	747.857	506.473	1040.302	789.035	469.869	1101.649	709.983	106.701	1047.475	727.079	114.684	1134.467	858.359	62.871	1132.435	825.41	56.908	1021.869	862.953	73.54	1085.514
0.033	839.627	1108.8	1351.938	852.128	1099.655	1121.543	660.295	1131.282	1277.8	668.888	1135.782	1181.442	761.98	1168.139	1397.183	780.503	1171.888	1075.363	738.157	816.27	1420.964	739.826	706.581	1418.499	679.749	819.148	1385.823	675.321	708.895	1382.706	701.305	285.444	1428.129	708.048	205.238	1415.702	658.383	286.717	1395.54	663.323	207.26	1383.222	645.148	92.158	1366.008	636.838	47.273	1366.39	671.039	64.445	1413.81	748.263	842.556	1042.821	750.719	732.266	1037.673	691.415	841.524	1080.582	687.722	731.609	1071.375	701.954	285.551	1028.586	707.607	205.404	1037.006	664.626	288.387	1066.723	669.628	203.549	1071.009	644.844	92.22	1084.629	634.584	46.979	1084.198	665.34	66.302	1040.362	746.811	996.406	1402.671	726.238	577.994	1406.936	734.322	563.413	1278.09	718.548	511.817	1410.896	779.06	488.67	1360.569	707.385	108.549	1409.656	727.21	120.944	1323.403	860.799	64.783	1324.252	833.672	59.251	1434.747	863.661	79.508	1374.016	767.713	1006.83	1062.117	750.041	576.548	1046.06	745.02	558.443	1173.635	747.854	506.473	1040.273	789.039	469.876	1101.643	709.982	106.706	1047.468	727.081	114.691	1134.477	858.353	62.879	1132.427	825.423	56.873	1021.862	862.964	73.537	1085.51
0.04	839.631	1108.791	1351.918	852.144	1099.652	1121.521	660.314	1131.278	1277.775	668.908	1135.778	1181.387	761.976	1168.145	1397.162	780.531	1171.874	1075.339	738.15	816.258	1420.946	739.818	706.587	1418.486	679.749	819.144	1385.806	675.32	708.889	1382.687	701.298	285.448	1428.132	708.041	205.248	1415.699	658.394	286.716	1395.539	663.32	207.25	1383.204	645.143	92.149	1365.999	636.843	47.28	1366.377	671.032	64.447	1413.824	748.311	842.473	1042.892	750.734	732.267	1037.651	691.467	841.473	1080.565	687.727	731.621	1071.343	701.964	285.543	1028.568	707.618	205.392	1037.006	664.62	288.384	1066.711	669.63	203.549	1071.004	644.84	92.222	1084.625	634.58	46.975	1084.198	665.34	66.299	1040.357	746.82	996.404	1402.638	726.229	578.088	1407.007	734.284	563.388	1278.089	718.552	511.829	1410.893	779.052	488.668	1360.562	707.38	108.544	1409.644	727.22	120.936	1323.405	860.788	64.776	1324.263	833.672	59.252	1434.743	863.524	79.26	1373.965	767.713	1006.828	1062.091	750.041	576.551	1046.044	745.023	558.443	1173.62	747.854	506.47	1040.269	789.042	469.87	1101.623	709.992	106.701	1047.466	727.081	114.681	1134.476	858.361	62.88	1132.439	825.417	56.91	1021.873	862.954	73.536	1085.506
0.047	839.631	1108.793	1351.898	852.174	1099.663	1121.487	660.317	1131.282	1277.728	668.924	1135.775	1181.347	761.971	1168.13	1397.125	780.531	1171.865	1075.308	738.149	816.262	1420.926	739.812	706.583	1418.474	679.753	819.138	1385.786	675.312	708.896	1382.673	701.305	285.446	1428.118	708.04	205.246	1415.702	658.378	286.718	1395.523	663.311	207.25	1383.197	645.15	92.158	1366.007	636.833	47.281	1366.382	671.042	64.444	1413.825	748.331	842.462	1042.87	750.749	732.268	1037.615	691.439	841.521	1080.516	687.739	731.619	1071.303	701.974	285.546	1028.556	707.622	205.398	1037.006	664.631	288.384	1066.699	669.635	203.549	1071.008	644.842	92.211	1084.63	634.583	46.975	1084.188	665.336	66.297	1040.354	746.821	996.399	1402.611	726.218	578.094	1406.993	734.298	563.395	1278.073	718.547	511.828	1410.875	779.049	488.662	1360.545	707.381	108.551	1409.65	727.206	120.937	1323.41	860.791	64.778	1324.257	833.664	59.249	1434.745	863.666	79.507	1374.018	767.752	1006.826	1062.058	750.062	576.552	1046.034	745.005	558.45	1173.603	747.854	506.462	1040.252	789.05	469.872	1101.599	709.987	106.692	1047.472	727.076	114.682	1134.478	858.353	62.88	1132.441	825.417	56.871	1021.857	862.959	73.528	1085.508
0.053	839.64	1108.793	1351.875	852.182	1099.652	1121.462	660.324	1131.277	1277.709	668.928	1135.773	1181.306	761.96	1168.118	1397.093	780.547	1171.855	1075.281	738.155	816.262	1420.911	739.814	706.583	1418.453	679.751	819.134	1385.76	675.315	708.887	1382.656	701.298	285.444	1428.107	708.041	205.246	1415.69	658.382	286.716	1395.522	663.315	207.253	1383.201	645.149	92.146	1365.999	636.837	47.276	1366.389	671.04	64.446	1413.818	748.343	842.47	1042.844	750.771	732.259	1037.588	691.495	841.478	1080.493	687.761	731.607	1071.275	701.977	285.539	1028.561	707.626	205.391	1037.003	664.629	288.394	1066.698	669.629	203.553	1071.001	644.839	92.222	1084.622	634.578	46.974	1084.2	665.351	66.293	1040.361	746.821	996.4	1402.597	726.213	578.093	1406.976	734.314	563.383	1278.058	718.547	511.826	1410.86	779.054	488.673	1360.523	707.377	108.552	1409.655	727.204	120.938	1323.388	860.784	64.78	1324.251	833.677	59.246	1434.747	863.655	79.515	1374.02	767.757	1006.827	1062.022	750.07	576.531	1046.016	745.032	558.448	1173.576	747.874	506.46	1040.239	789.057	469.874	1101.598	709.977	106.699	1047.452	727.088	114.679	1134.465	858.354	62.872	1132.435	825.408	56.915	1021.859	862.956	73.532	1085.506
0.06	839.646	1108.78	1351.858	852.202	1099.653	1121.441	660.335	1131.273	1277.672	668.961	1135.759	1181.278	761.953	1168.112	1397.054	780.565	1171.858	1075.265	738.16	816.26	1420.898	739.809	706.586	1418.438	679.762	819.139	1385.744	675.312	708.899	1382.641	701.298	285.444	1428.1	708.045	205.248	1415.684	658.379	286.719	1395.513	663.31	207.254	1383.193	645.148	92.158	1366.005	636.842	47.285	1366.382	671.039	64.445	1413.807	748.37	842.458	1042.812	750.792	732.256	1037.568	691.515	841.486	1080.437	687.773	731.627	1071.208	701.989	285.545	1028.547	707.629	205.389	1036.998	664.637	288.387	1066.685	669.641	203.549	1070.989	644.842	92.222	1084.624	634.583	46.973	1084.191	665.346	66.296	1040.354	746.827	996.391	1402.556	726.217	578.095	1406.958	734.299	563.391	1278.043	718.558	511.839	1410.85	779.053	488.663	1360.508	707.386	108.552	1409.656	727.218	120.939	1323.402	860.794	64.78	1324.264	833.67	59.251	1434.743	863.682	79.511	1374.019	767.809	1006.82	1061.995	750.096	576.542	1046.006	745.046	558.454	1173.55	747.878	506.462	1040.238	789.05	469.868	1101.584	709.992	106.7	1047.468	727.086	114.681	1134.468	858.357	62.876	1132.428	825.411	56.913	1021.854	862.958	73.528	1085.506
