PercGcycle	RhipAngX35	RhipAngY35	RhipAngZ35	RkneeAngX35	RkneeAngY35	RkneeAngZ35	RankleAngX35	RankleAngY35	RankleAngZ35	RhipMomX35	RhipMomY35	RhipMomZ35	RkneeMomX35	RkneeMomY35	RkneeMomZ35	RankleMomX35	RankleMomY35	RankleMomZ35	RgfX35	RgfY35	RgfZ35	RhipPow35	RkneePow35	RanklePow35	LhipAngX35	LhipAngY35	LhipAngZ35	LkneeAngX35	LkneeAngY35	LkneeAngZ35	LankleAngX35	LankleAngY35	LankleAngZ35	LhipMomX35	LhipMomY35	LhipMomZ35	LkneeMomX35	LkneeMomY35	LkneeMomZ35	LankleMomX35	LankleMomY35	LankleMomZ35	LgfX35	LgfY35	LgfZ35	LhipPow35	LkneePow35	LanklePow35
57	-3.146443	-14.104107	3.431112	-6.65835	-26.248478	74.921632	2.535211	11.357214	-10.181414	0.08654	-0.070107	0.690224	0.034939	-0.003614	0.140108	-0.009466	-0.00686	-0.054567				2.170123	-1.370411	0.102012	-0.383558	-8.259361	1.399925	4.896146	-22.506812	72.515716	-8.478195	6.644173	-10.770532	0.107365	-0.071268	0.692539	0.047259	0.001916	0.180221	-0.00504	0.00412	-0.061615				2.072692	-1.648046	0.108974
58	-3.743228	-15.248217	4.938485	-7.438603	-27.236128	79.124878	2.485157	11.399918	-9.345285	0.01024	-0.059102	0.669899	0.018051	-0.007161	0.128555	-0.009191	-0.00967	-0.053336				2.547503	-1.276719	0.111488	-1.051606	-9.267861	2.806573	4.523342	-21.852225	76.356395	-8.467575	6.801123	-9.882655	0.072563	-0.070444	0.667703	0.041479	0.001633	0.168333	-0.004502	0.004918	-0.059296				2.461824	-1.491937	0.136786
59	-4.366698	-15.962568	6.745363	-7.982044	-28.23173	83.216446	2.309398	11.351738	-8.394279	-0.058764	-0.043106	0.671128	0.001169	-0.010761	0.119522	-0.008944	-0.012685	-0.052362				3.034093	-1.181485	0.114838	-1.801625	-9.913682	4.496732	4.310185	-21.341466	80.030084	-8.443494	6.881271	-8.808206	0.047347	-0.060414	0.653742	0.031649	0.000357	0.155795	-0.003698	0.004231	-0.055679				2.912637	-1.33359	0.151756
60	-5.016505	-16.21123	8.87079	-8.245083	-29.153962	87.14027	2.025525	11.234516	-7.365852	-0.113156	-0.022405	0.683536	-0.014958	-0.014317	0.112665	-0.008718	-0.015621	-0.051444				3.586222	-1.072809	0.113761	-2.621992	-10.194092	6.484992	4.248423	-20.929882	83.530856	-8.465147	6.904291	-7.598545	0.031116	-0.044116	0.639579	0.019775	-0.001513	0.144195	-0.002868	0.002396	-0.051416				3.337531	-1.182288	0.153999
61	-5.673629	-16.011008	11.316796	-8.237923	-29.924426	90.856386	1.654263	11.064251	-6.290951	-0.150315	0.001796	0.692087	-0.029915	-0.017676	0.106889	-0.008464	-0.018309	-0.05024				4.095846	-0.943563	0.108814	-3.483479	-10.13111	8.769507	4.29784	-20.585368	86.831155	-8.588634	6.905095	-6.304787	0.018207	-0.025952	0.611315	0.008255	-0.003432	0.133584	-0.002228	5.6e-05	-0.046909				3.605208	-1.03906	0.146182
62	-6.302626	-15.426316	14.056571	-8.015317	-30.480639	94.311504	1.21381	10.846187	-5.190007	-0.170194	0.025834	0.679892	-0.042173	-0.020378	0.100704	-0.00812	-0.020463	-0.048297				4.393062	-0.792465	0.100143	-4.341313	-9.756394	11.323796	4.407735	-20.292127	89.961561	-8.849544	6.920422	-4.973454	0.003113	-0.009972	0.559682	-0.001087	-0.004986	0.123217	-0.001926	-0.002271	-0.042457				3.59685	-0.901517	0.132041
63	-6.862539	-14.548837	17.02483	-7.654317	-30.786577	97.437778	0.717539	10.578141	-4.073195	-0.176352	0.04584	0.635416	-0.050641	-0.021959	0.09306	-0.007676	-0.021949	-0.045383				4.323846	-0.628399	0.088562	-5.140109	-9.099412	14.092973	4.537252	-20.046478	92.942759	-9.250689	6.979108	-3.643988	-0.015599	0.001666	0.48485	-0.007632	-0.006038	0.112516	-0.002019	-0.004337	-0.038411				3.277239	-0.766393	0.11538
64	-7.316479	-13.471381	20.122903	-7.22952	-30.839816	100.235108	0.178881	10.262033	-2.944322	-0.173656	0.059784	0.559494	-0.055487	-0.022224	0.083557	-0.007197	-0.02284	-0.041635				3.864885	-0.465091	0.075903	-5.817258	-8.186096	16.999333	4.665727	-19.85197	95.658065	-9.758323	7.099565	-2.346942	-0.035807	0.009247	0.396254	-0.01207	-0.00669	0.100716	-0.002465	-0.006066	-0.035108				2.726665	-0.627333	0.099431
65	-7.634361	-12.272515	23.23838	-6.797812	-30.671858	102.643171	-0.379148	9.915783	-1.806314	-0.16646	0.067312	0.461618	-0.057254	-0.02112	0.071921	-0.006744	-0.02303	-0.037316				3.130375	-0.31367	0.064535	-6.306941	-7.048735	19.956897	4.79101	-19.7148	98.138107	-10.308396	7.289183	-1.104627	-0.054954	0.014806	0.307926	-0.015919	-0.007182	0.087293	-0.003144	-0.007445	-0.032824				2.1005	-0.481848	0.086715
66	-7.792369	-11.017324	26.270113	-6.395644	-30.340283	104.634429	-0.917665	9.574729	-0.667936	-0.15621	0.06841	0.354652	-0.055677	-0.018592	0.057737	-0.006325	-0.022059	-0.032643				2.304061	-0.182941	0.055966	-6.550967	-5.737093	22.889734	4.921059	-19.640965	100.278656	-10.81959	7.545114	0.068104	-0.071277	0.021004	0.231334	-0.020919	-0.007771	0.072043	-0.003868	-0.008519	-0.031525				1.538382	-0.334282	0.07843
67	-7.774384	-9.767386	29.147392	-6.045364	-29.914454	106.183429	-1.385429	9.279525	0.450192	-0.143104	0.063331	0.249679	-0.050168	-0.014729	0.040927	-0.005908	-0.019474	-0.027881				1.541878	-0.081599	0.04988	-6.515012	-4.321618	25.747553	5.064239	-19.634932	102.013819	-11.212246	7.856432	1.163706	-0.084347	0.029486	0.170229	-0.027944	-0.008543	0.055158	-0.004428	-0.009272	-0.030745				1.099334	-0.196617	0.073924
68	-7.575865	-8.585405	31.838949	-5.761483	-29.459912	107.267334	-1.731743	9.05871	1.514265	-0.12704	0.054176	0.156505	-0.041756	-0.010164	0.022951	-0.005466	-0.015537	-0.023688				0.935585	-0.01762	0.045039	-6.200027	-2.886602	28.511523	5.22256	-19.699846	103.279815	-11.428949	8.206801	2.180866	-0.094045	0.039631	0.121497	-0.036141	-0.009289	0.037319	-0.004669	-0.009568	-0.029771				0.772552	-0.085524	0.070816
69	-7.205875	-7.532777	34.350255	-5.554509	-29.027701	107.872266	-1.924279	8.918873	2.486747	-0.10941	0.045003	0.082715	-0.033547	-0.006052	0.006479	-0.005005	-0.011312	-0.020972				0.508138	0.007657	0.040854	-5.640776	-1.517781	31.186875	5.389853	-19.838397	104.030351	-11.449054	8.576379	3.119709	-0.100344	0.048659	0.079653	-0.043063	-0.009573	0.019987	-0.004554	-0.009096	-0.02824				0.522565	-0.016272	0.066458
70	-6.684551	-6.66407	36.710832	-5.43217	-28.650045	107.995479	-1.961958	8.848346	3.342792	-0.094469	0.039719	0.031554	-0.029006	-0.003439	-0.00641	-0.004567	-0.007985	-0.020344				0.241494	0.001928	0.038041	-4.892788	-0.289507	33.786877	5.554169	-20.052539	104.245359	-11.292569	8.940701	3.977398	-0.103897	0.053886	0.042481	-0.046547	-0.009053	0.004969	-0.004209	-0.007579	-0.026539				0.328604	0.007493	0.059801
71	-6.037394	-6.020636	38.95468	-5.397873	-28.339237	107.644178	-1.874615	8.827863	4.082451	-0.086446	0.039435	-0.001227	-0.029434	-0.002629	-0.015554	-0.00422	-0.006088	-0.0216				0.093791	-0.024289	0.037242	-4.015296	0.744046	36.316073	5.701339	-20.340043	103.929934	-11.009234	9.265955	4.748586	-0.104817	0.054483	0.011012	-0.046087	-0.007762	-0.006748	-0.003839	-0.005133	-0.025466				0.183643	-0.004117	0.051848
72	-5.289867	-5.624623	41.102494	-5.447005	-28.08826	106.831644	-1.710136	8.838028	4.729455	-0.085779	0.042257	-0.025022	-0.033447	-0.003111	-0.02231	-0.003998	-0.005379	-0.023717				0.01183	-0.063895	0.037714	-3.058245	1.551662	38.761275	5.818054	-20.692255	103.105902	-10.658504	9.509039	5.430139	-0.100512	0.051274	-0.014977	-0.04259	-0.006067	-0.015587	-0.003598	-0.002386	-0.0253				0.068752	-0.037236	0.044203
73	-4.464063	-5.475553	43.152371	-5.563889	-27.875035	105.572619	-1.51561	8.860851	5.316348	-0.087147	0.044844	-0.049825	-0.038088	-0.004032	-0.0279	-0.003845	-0.005301	-0.02527				-0.061047	-0.112416	0.037558	-2.057382	2.123096	41.092684	5.894924	-21.097806	101.801587	-10.293524	9.628396	6.022228	-0.088021	0.045411	-0.038624	-0.037251	-0.004331	-0.022451	-0.003502	-4.1e-05	-0.025706				-0.045689	-0.082427	0.037998
74	-3.577416	-5.551107	45.081494	-5.721696	-27.673253	103.880996	-1.324276	8.882608	5.86459	-0.082871	0.043664	-0.08157	-0.039955	-0.004556	-0.032218	-0.003676	-0.005265	-0.025396				-0.16439	-0.162483	0.035238	-1.036396	2.465998	43.271345	5.929682	-21.549472	100.04368	-9.955438	9.599162	6.524967	-0.06732	0.037279	-0.063013	-0.03064	-0.002696	-0.027419	-0.003484	0.001581	-0.026317				-0.173745	-0.131556	0.033228
75	-2.64363	-5.81085	46.854987	-5.885702	-27.465095	101.770727	-1.154291	8.898354	6.373118	-0.06788	0.035393	-0.11909	-0.035751	-0.003976	-0.034383	-0.003528	-0.004654	-0.02462				-0.298775	-0.203193	0.03092	-0.01212	2.60548	45.257132	5.930598	-22.047974	97.854579	-9.674478	9.421718	6.937213	-0.041716	0.026934	-0.089414	-0.02299	-0.001248	-0.029703	-0.00348	0.002491	-0.027112				-0.30614	-0.172495	0.029069
76	-1.675933	-6.199493	48.436252	-6.016208	-27.247758	99.256838	-1.013581	8.912228	6.824879	-0.042715	0.019112	-0.155932	-0.024441	-0.002116	-0.03419	-0.003566	-0.003218	-0.024498				-0.431136	-0.229164	0.026276	1.000891	2.585184	47.014675	5.918023	-22.601812	95.252986	-9.472576	9.12197	7.261026	-0.018604	0.015548	-0.118459	-0.015367	-0.00021	-0.02972	-0.003454	0.00282	-0.028281				-0.416678	-0.200375	0.024923
77	-0.691174	-6.649114	49.794159	-6.068889	-27.031626	96.357464	-0.901391	8.934245	7.206999	-0.013621	-0.002185	-0.185414	-0.008539	0.000505	-0.033308	-0.003977	-0.00129	-0.026536				-0.517033	-0.252933	0.023342	1.988113	2.467659	48.516736	5.922745	-23.221085	92.258784	-9.363486	8.741514	7.505624	-0.005175	0.004827	-0.152577	-0.009096	0.000222	-0.029985	-0.003404	0.002794	-0.029902				-0.482964	-0.23056	0.020794
78	0.287904	-7.082529	50.907053	-5.995098	-26.834238	93.07817	-0.805253	8.977663	7.530496	0.011151	-0.023364	-0.206882	0.007677	0.003141	-0.035241	-0.004787	0.000645	-0.031097				-0.528976	-0.307514	0.023771	2.935494	2.330746	49.746452	5.981265	-23.91002	88.877836	-9.350745	8.322571	7.686617	-0.002517	-0.004592	-0.194596	-0.004356	0.0001	-0.032947	-0.003313	0.002712	-0.031764				-0.496234	-0.285802	0.017199
79	1.2345	-7.420484	51.764791	-5.746493	-26.675879	89.447502	-0.699267	9.055409	7.83595	0.024235	-0.039607	-0.228201	0.020413	0.005266	-0.043608	-0.005789	0.002358	-0.036905				-0.465075	-0.432933	0.028925	3.831773	2.258987	50.699228	6.12936	-24.666136	85.153229	-9.42565	7.89843	7.824323	-0.007122	-0.011893	-0.242538	-0.001443	-0.000551	-0.039983	-0.003153	0.00262	-0.033469				-0.448428	-0.384435	0.014758
80	2.122371	-7.591824	52.370692	-5.284653	-26.577114	85.50085	-0.55016	9.173741	8.179218	0.022378	-0.047259	-0.26199	0.026966	0.006537	-0.060019	-0.006582	0.003701	-0.041428				-0.342125	-0.651897	0.038413	4.670396	2.331842	51.384543	6.395442	-25.484747	81.088487	-9.568778	7.493808	7.941892	-0.017704	-0.014264	-0.292138	-0.002609	-0.001986	-0.051763	-0.00289	0.002158	-0.034653				-0.339802	-0.538396	0.013474
81	2.930509	-7.54469	52.742544	-4.592125	-26.55712	81.233947	-0.330143	9.328362	8.605556	0.011144	-0.045469	-0.312748	0.026991	0.006766	-0.083385	-0.006843	0.004387	-0.042698				-0.185745	-0.95634	0.048702	5.448811	2.611292	51.825784	6.792367	-26.359464	76.718044	-9.75453	7.128977	8.061762	-0.029953	-0.010506	-0.337536	-0.00865	-0.004132	-0.068017	-0.002554	0.00115	-0.03531				-0.196309	-0.748305	0.013251
82	3.645927	-7.25701	52.911328	-3.680155	-26.634517	76.70153	-0.026787	9.512225	9.131583	0.004476	-0.036972	-0.371052	0.023298	0.006232	-0.111991	-0.006601	0.004339	-0.040835				-0.03003	-1.328997	0.055606	6.165122	3.12943	52.056881	7.307976	-27.281195	72.077497	-9.95331	6.824724	8.205682	-0.034959	-0.002232	-0.373347	-0.017635	-0.006263	-0.088318	-0.002225	-7.5e-05	-0.035776				-0.062217	-1.012783	0.014772
83	4.263955	-6.743834	52.916709	-2.591697	-26.82768	71.941866	0.359344	9.729286	9.745791	0.015062	-0.026097	-0.423694	0.020161	0.005718	-0.144895	-0.006168	0.004031	-0.037633				0.093197	-1.761989	0.057983	6.813853	3.878667	52.116617	7.898279	-28.238565	67.211847	-10.128362	6.609183	8.40129	-0.028606	0.009357	-0.397507	-0.028277	-0.007516	-0.114287	-0.002003	-0.000998	-0.036438				0.032544	-1.352091	0.019858
84	4.786914	-6.058302	52.800779	-1.401408	-27.148988	67.020061	0.826808	9.999443	10.424853	0.039304	-0.013873	-0.466015	0.018105	0.005738	-0.182405	-0.005847	0.00397	-0.034847				0.175595	-2.252253	0.057816	7.384133	4.807601	52.04345	8.487668	-29.214329	62.178408	-10.233183	6.520546	8.686586	-0.018068	0.025482	-0.414911	-0.042723	-0.007545	-0.148455	-0.001953	-0.001464	-0.037181				0.087188	-1.794777	0.029852
85	5.222313	-5.283307	52.602376	-0.211099	-27.589568	61.995027	1.382336	10.348814	11.14994	0.058205	0.001923	-0.504453	0.013108	0.006186	-0.226299	-0.005752	0.004298	-0.0331				0.231537	-2.799677	0.057182	7.863372	5.82461	51.87226	8.976482	-30.178445	57.0473	-10.21239	6.604025	9.103498	-0.015293	0.046786	-0.438278	-0.063939	-0.006435	-0.192878	-0.002112	-0.001607	-0.037305				0.125725	-2.364257	0.043623
86	5.582133	-4.516021	52.353395	0.86301	-28.102105	56.930122	2.040966	10.791753	11.911447	0.059193	0.021098	-0.552036	0.002791	0.006942	-0.278825	-0.005793	0.005109	-0.031821				0.28305	-3.414925	0.055635	8.245203	6.809728	51.632759	9.256495	-31.083412	51.897482	-10.004434	6.902715	9.681692	-0.027187	0.070408	-0.483011	-0.09192	-0.004259	-0.248556	-0.002506	-0.00134	-0.036071				0.184999	-3.072074	0.05706
