Time	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z
26	-1.903946	-7.890510	13.047684	-0.870174	21.090628	24.944303	0.859616	-10.457875	-17.776394	-1.589339	-8.718566	10.471283	-0.270400	20.043134	29.749195	1.379456	-8.973073	-20.562514	-1.753071	-8.097051	13.331863	-0.973141	20.710223	26.920633	1.071199	-9.391860	-18.940536	-2.174569	-7.951243	16.038053	-0.513033	20.852399	24.863953	1.104648	-10.930447	-17.492002	-1.562556	-7.675465	14.488364	-0.646425	21.218915	26.810076	0.234443	-9.666109	-19.420974	0.082645	-7.621668	12.682320	-1.025037	20.562507	26.767685	-1.053035	-10.880172	-19.418620	0.175079	-6.373545	13.712687	-0.753229	21.321893	25.002948	-1.366287	-13.102956	-15.694574	0.120681	-6.965688	13.961428	-0.847733	21.171015	27.059388	-1.314348	-12.682650	-17.103296	-1.358973	-6.829281	16.157679	-1.096206	22.201124	22.244969	-0.304903	-12.337042	-13.749702	-2.517694	-8.208967	14.432834	-1.309724	20.810113	21.886053	0.920107	-11.322143	-14.278847	-1.977544	-8.196957	13.266467	-1.007500	21.343170	25.128241	0.424163	-9.396454	-16.845553	-2.470185	-8.377620	14.100405	-1.832674	20.928515	24.871988	1.683347	-10.624547	-17.800778	-1.173587	-7.353440	13.970306	-0.644624	21.826906	25.831819	-0.775107	-12.396951	-16.877357	-1.688298	-7.883318	12.494195	-0.406442	21.254478	27.751238	1.351979	-8.745273	-19.461608	-1.960227	-8.028487	13.212158	-0.553847	20.934476	26.365621	1.744875	-8.950399	-18.877561	-2.847550	-8.671267	12.280720	-0.691160	20.896563	26.586354	2.465544	-9.125331	-18.705573	-0.937717	-8.412834	13.302247	-0.459174	21.098501	24.724414	-2.067730	-12.017642	-16.945842	-1.282191	-7.736426	14.670313	-0.468369	21.872054	24.050422	-0.842083	-12.175384	-16.642966	-1.816451	-8.445976	11.607051	-0.500443	20.697225	28.353558	0.824888	-8.688857	-19.599440	-2.079862	-7.738171	12.467637	-1.117610	21.808007	26.169887	1.839535	-8.881371	-18.307018	-2.027404	-7.797731	11.201692	-0.146038	21.563319	26.237351	0.359266	-9.782975	-17.997690	-2.401196	-8.042259	13.246322	-1.301898	21.541800	24.934515	1.803842	-10.222757	-16.945071
27	-1.882666	-7.586780	15.072290	-0.735973	21.662004	22.950441	0.263378	-11.213683	-16.124757	-1.662610	-8.515492	12.441727	0.006581	20.452077	27.808903	0.775853	-9.528006	-19.116324	-1.805364	-7.818066	15.559181	-0.724904	21.467234	24.700132	0.129199	-10.432937	-17.147785	-2.161171	-7.499673	18.103452	-0.344914	21.470124	22.881484	0.603004	-11.689134	-15.608696	-1.545046	-7.256910	16.664582	-0.409979	21.859312	24.594943	-0.569044	-10.551441	-17.663075	0.065977	-7.302944	14.943136	-0.805276	21.265890	24.485962	-1.695201	-11.702950	-17.663431	0.276328	-6.005047	15.783912	-0.564806	21.951712	23.029051	-1.914923	-13.931370	-13.845139	0.186674	-6.639773	16.183913	-0.606928	21.929241	24.988430	-2.060282	-13.586518	-15.114417	-1.142384	-6.393157	18.221442	-0.930270	23.056691	20.380435	-1.106689	-13.516208	-11.623796	-2.298014	-7.773795	16.533037	-1.235918	21.602003	20.081940	0.444365	-12.214755	-12.127928	-1.844409	-7.798303	15.388182	-0.808155	21.901056	23.155511	-0.355499	-10.252552	-14.993883	-2.510587	-8.104181	16.271173	-1.563408	21.657985	22.756767	0.725599	-11.629468	-15.886541	-1.112675	-7.043281	16.182130	-0.338524	22.615762	23.764247	-1.584904	-13.425061	-14.930126	-1.777378	-7.572144	14.576934	-0.170472	21.743570	25.726345	0.597028	-9.362865	-17.817999	-2.101053	-7.676997	15.251041	-0.306044	21.494053	24.229396	1.070165	-9.734733	-17.119939	-2.941326	-8.343811	14.525100	-0.424818	21.619683	24.425438	1.657558	-9.972066	-16.912071	-0.799946	-7.986499	15.538509	-0.234655	21.999950	22.585885	-2.822410	-13.220958	-15.081701	-1.198810	-7.303632	16.888565	-0.296562	22.661078	21.857138	-1.485822	-13.143764	-14.604875	-1.946252	-8.267100	13.702177	-0.219085	21.258576	26.254932	0.073577	-9.323739	-17.964561	-2.223450	-7.472060	14.591026	-0.868357	22.398910	24.032259	1.091022	-9.578089	-16.585062	-1.927357	-7.462791	13.320358	-0.022664	22.199855	24.252567	-0.329080	-10.646998	-16.191455	-2.434151	-7.807027	15.351564	-1.067744	22.304477	22.866924	1.008541	-11.144817	-15.050477
28	-1.779851	-7.203735	17.077248	-0.628078	22.311024	21.053241	-0.268846	-12.047379	-14.255530	-1.652300	-8.174845	14.417309	0.248136	20.901605	25.929493	0.247433	-10.165255	-17.441701	-1.772357	-7.421733	17.795666	-0.490399	22.297826	22.561364	-0.797327	-11.597134	-15.117429	-2.072406	-6.995787	20.117553	-0.213760	22.174164	21.029936	0.158908	-12.500441	-13.552743	-1.406975	-6.738397	18.800353	-0.218541	22.598805	22.508921	-1.320629	-11.549720	-15.667340	0.115506	-6.905455	17.174164	-0.618981	22.065381	22.313864	-2.284635	-12.590781	-15.677802	0.437999	-5.582815	17.785731	-0.392309	22.671366	21.183176	-2.419179	-14.831980	-11.827600	0.319658	-6.246726	18.370996	-0.386694	22.754453	23.015647	-2.771360	-14.556953	-12.968223	-0.829474	-5.882094	20.199200	-0.796965	23.957117	18.671417	-1.901342	-14.774040	-9.330838	-2.007846	-7.266573	18.574097	-1.199692	22.454521	18.426757	0.022958	-13.169815	-9.783883	-1.622042	-7.301139	17.490207	-0.635275	22.504968	21.283458	-1.079094	-11.179047	-12.947885	-2.431155	-7.665917	18.423476	-1.319815	22.432418	20.748191	-0.210841	-12.739803	-13.734698	-0.964374	-6.646267	18.377179	-0.063794	23.477735	21.797966	-2.360055	-14.535946	-12.803464	-1.780449	-7.159731	16.661426	0.036882	22.307520	23.781933	-0.108332	-10.050845	-15.970553	-2.125583	-7.221155	17.261406	-0.117594	22.141357	22.222289	0.452427	-10.596472	-15.143447	-2.954410	-7.892902	16.765999	-0.190608	22.433421	22.365860	0.885353	-10.915285	-14.885898	-0.558716	-7.454229	17.754472	-0.059315	22.970214	20.568702	-3.527695	-14.535602	-13.002937	-1.005786	-6.763601	19.051942	-0.188082	23.522519	19.822214	-2.063034	-14.191058	-12.361211	-1.977348	-7.963312	15.819088	0.025731	21.878295	24.235962	-0.626469	-10.043316	-16.109689	-2.264658	-7.056028	16.699425	-0.667285	23.051996	22.003320	0.425230	-10.361152	-14.661537	-1.756806	-7.069283	15.435736	0.066898	22.948641	22.382295	-0.941732	-11.589104	-14.181276	-2.372182	-7.445251	17.458874	-0.868151	23.131219	20.892475	0.257408	-12.157809	-12.966455
29	-1.572984	-6.729588	19.039154	-0.559359	23.018694	19.314822	-0.723950	-12.950889	-12.163661	-1.541827	-7.700147	16.377383	0.443992	21.387664	24.152905	-0.188707	-10.881597	-15.540840	-1.623393	-6.900826	19.998397	-0.287222	23.163091	20.559650	-1.702447	-12.865580	-12.864648	-1.895436	-6.447725	22.021984	-0.122080	22.954816	19.380097	-0.235442	-13.361316	-11.325746	-1.155605	-6.145628	20.857757	-0.075293	23.396563	20.585307	-2.022952	-12.630241	-13.485787	0.232644	-6.446763	19.337803	-0.472077	22.915010	20.284644	-2.829239	-13.513075	-13.514824	0.648317	-5.128740	19.697427	-0.245340	23.439859	19.489884	-2.898050	-15.759574	-9.692984	0.532730	-5.786388	20.473390	-0.196602	23.609820	21.198894	-3.451070	-15.569282	-10.679032	-0.433441	-5.314913	22.073399	-0.696429	24.846295	17.133681	-2.701758	-16.053667	-6.929241	-1.659866	-6.704986	20.537538	-1.192100	23.316135	16.936271	-0.367609	-14.154477	-7.307050	-1.301925	-6.714552	19.531209	-0.500783	23.128144	19.567204	-1.741218	-12.152434	-10.714210	-2.228664	-7.095246	20.523045	-1.110433	23.216109	18.874250	-1.132421	-13.920691	-11.408348	-0.704577	-6.156317	20.503496	0.159033	24.372420	19.997733	-3.108907	-15.710153	-10.516911	-1.674964	-6.654986	18.717554	0.204515	22.937659	21.968297	-0.754377	-10.805145	-13.935235	-2.031100	-6.679217	19.229952	0.011420	22.851904	20.371683	-0.117064	-11.520741	-12.998625	-2.880625	-7.338416	18.967351	0.001743	23.285105	20.441866	0.149332	-11.918179	-12.686552	-0.208366	-6.829785	19.904693	0.054036	23.950692	18.722282	-4.194929	-15.919140	-10.730620	-0.715660	-6.147066	21.128303	-0.137401	24.409775	17.971460	-2.597208	-15.274625	-9.973687	-1.881579	-7.527795	17.929908	0.217449	22.531593	22.345084	-1.266399	-10.838838	-14.049211	-2.204862	-6.527487	18.764687	-0.517782	23.735248	20.108408	-0.163833	-11.205069	-12.582506	-1.511637	-6.612776	17.509410	0.119582	23.761901	20.673756	-1.476910	-12.590299	-11.990908	-2.190609	-6.945371	19.547632	-0.716424	23.993960	19.059595	-0.455864	-13.248552	-10.700813
30	-1.282262	-6.189134	20.946863	-0.523903	23.741832	17.741394	-1.119123	-13.887953	-9.923037	-1.338180	-7.125129	18.304016	0.592070	21.893179	22.501733	-0.534021	-11.650590	-13.455419	-1.360140	-6.281457	22.127246	-0.120169	24.018255	18.724092	-2.587216	-14.198623	-10.448348	-1.648816	-5.876989	23.796570	-0.053333	23.770682	17.931966	-0.611327	-14.247289	-8.992504	-0.790672	-5.496637	22.792732	0.017028	24.212124	18.870008	-2.678361	-13.764215	-11.150267	0.435228	-5.931427	21.381374	-0.377752	23.779598	18.469937	-3.328005	-14.441346	-11.178891	0.902614	-4.659495	21.474515	-0.131728	24.222010	18.020036	-3.371582	-16.661452	-7.464876	0.812219	-5.278873	22.467120	-0.036401	24.445472	19.555676	-4.113986	-16.575779	-8.297225	0.032518	-4.712248	23.814745	-0.624749	25.671570	15.803968	-3.518697	-17.293911	-4.468023	-1.262469	-6.103659	22.396908	-1.198633	24.143911	15.647345	-0.751190	-15.138069	-4.747370	-0.907062	-6.074768	21.487048	-0.401918	23.739067	18.025393	-2.356862	-13.131064	-8.351475	-1.879688	-6.399838	22.521624	-0.946146	23.971557	17.200699	-2.044596	-15.145298	-8.926630	-0.343531	-5.594953	22.529418	0.328917	25.247915	18.384410	-3.849364	-16.899951	-8.128089	-1.464346	-6.083836	20.719695	0.331507	23.606015	20.311377	-1.346217	-11.605092	-11.763531	-1.811295	-6.062526	21.135894	0.083185	23.604373	18.720491	-0.648278	-12.496476	-10.716850	-2.700937	-6.684834	21.074568	0.141463	24.126164	18.731218	-0.546700	-12.947371	-10.332434	0.229713	-6.148724	21.956684	0.110245	24.877120	17.067928	-4.847464	-17.299609	-8.328020	-0.328137	-5.471980	23.051374	-0.139899	25.279120	16.389257	-3.108688	-16.344165	-7.471359	-1.664508	-6.984935	20.003033	0.353868	23.183660	20.605889	-1.848223	-11.682148	-11.834341	-2.029810	-5.904639	20.742157	-0.426969	24.429250	18.408798	-0.670509	-12.095574	-10.351511	-1.203920	-6.104402	19.513974	0.143651	24.576058	19.140049	-1.949317	-13.614889	-9.675204	-1.904561	-6.339126	21.595860	-0.606902	24.851311	17.384313	-1.150941	-14.378479	-8.310530
31	-0.906635	-5.589035	22.763393	-0.518501	24.446036	16.399600	-1.455508	-14.835860	-7.556237	-1.039396	-6.464806	20.170953	0.684757	22.400382	21.025594	-0.776468	-12.451018	-11.190753	-0.972310	-5.576364	24.127234	0.005781	24.819150	17.121421	-3.454421	-15.565034	-7.901329	-1.329730	-5.293886	25.382283	0.007980	24.592853	16.756723	-0.999472	-15.134693	-6.583452	-0.321896	-4.814035	24.569841	0.065786	25.003307	17.400341	-3.295500	-14.914292	-8.706583	0.706080	-5.387283	23.296736	-0.323809	24.624669	16.867558	-3.800111	-15.342647	-8.737639	1.177561	-4.197159	23.117971	-0.037823	24.979371	16.768825	-3.862756	-17.491347	-5.200542	1.146119	-4.741549	24.313957	0.094622	25.212648	18.130498	-4.775662	-17.518848	-5.862552	0.544252	-4.102327	25.396228	-0.569091	26.384943	14.714718	-4.358423	-18.428813	-2.005033	-0.828667	-5.481013	24.126357	-1.197003	24.900615	14.591614	-1.153604	-16.085895	-2.163415	-0.456000	-5.412484	23.321844	-0.332331	24.311678	16.705881	-2.940956	-14.072309	-5.904129	-1.420046	-5.634799	24.406990	-0.816886	24.672650	15.723876	-2.955929	-16.367957	-6.362726	0.114040	-4.979917	24.409561	0.446868	26.052867	17.006341	-4.600326	-18.045789	-5.677092	-1.141692	-5.458305	22.628671	0.416908	24.289111	18.870162	-1.885617	-12.436334	-9.479896	-1.475053	-5.390561	22.952251	0.112628	24.370899	17.306640	-1.161724	-13.503729	-8.340188	-2.442440	-5.977105	23.064837	0.246125	24.914889	17.240158	-1.218867	-13.954963	-7.900218	0.745953	-5.435973	23.857176	0.113275	25.681290	15.671253	-5.511572	-18.593117	-5.839872	0.113213	-4.779198	24.806191	-0.161460	26.096573	15.069351	-3.627821	-17.347802	-4.926895	-1.321237	-6.349062	21.994068	0.430905	23.803735	19.073555	-2.364578	-12.552659	-9.484105	-1.772191	-5.239247	22.616444	-0.374712	25.116032	16.899243	-1.124498	-13.000500	-8.028512	-0.835376	-5.549756	21.407213	0.146397	25.331960	17.828373	-2.362468	-14.626232	-7.261830	-1.524178	-5.649578	23.565890	-0.531045	25.659704	15.913773	-1.846485	-15.508959	-5.839467
32	-0.475766	-4.958110	24.467631	-0.522028	25.104959	15.297332	-1.757600	-15.767996	-5.127606	-0.677690	-5.757592	21.966320	0.736045	22.889638	19.726814	-0.938885	-13.251256	-8.806098	-0.492631	-4.826815	25.977212	0.104352	25.542714	15.758875	-4.316860	-16.916403	-5.300088	-0.959430	-4.712420	26.776251	0.086032	25.390862	15.852792	-1.432130	-15.991580	-4.155144	0.221356	-4.126207	26.177625	0.093390	25.738725	16.185170	-3.891455	-16.041091	-6.217493	1.044759	-4.835158	25.023646	-0.300099	25.418310	15.563539	-4.264194	-16.169846	-6.229244	1.454244	-3.763866	24.579196	0.054779	25.668886	15.818768	-4.397917	-18.176400	-2.943539	1.510531	-4.196527	25.992023	0.205221	25.879233	16.944575	-5.451877	-18.345337	-3.421575	1.068738	-3.510418	26.814412	-0.510226	26.957300	13.871272	-5.218114	-19.408172	0.403714	-0.379922	-4.857543	25.714402	-1.163055	25.562025	13.773232	-1.594340	-16.963273	0.387087	0.021483	-4.761062	25.012922	-0.273119	24.833478	15.635320	-3.518795	-14.938775	-3.431315	-0.854918	-4.833080	26.119048	-0.717591	25.277832	14.520922	-3.877340	-17.534944	-3.762406	0.642079	-4.342356	26.111013	0.530117	26.751838	15.888511	-5.380125	-19.083994	-3.213174	-0.741246	-4.807298	24.426005	0.481020	24.960912	17.645128	-2.397275	-13.272215	-7.141682	-1.052336	-4.690392	24.656748	0.127096	25.121918	16.140673	-1.685888	-14.512071	-5.923088	-2.111735	-5.243416	24.867467	0.333718	25.598509	16.065008	-1.881596	-14.879988	-5.443555	1.304611	-4.728079	25.591696	0.093182	26.342932	14.531172	-6.214142	-19.739405	-3.341476	0.577741	-4.101207	26.317740	-0.164661	26.815613	14.108799	-4.185639	-18.202610	-2.400224	-0.891992	-5.668656	23.874474	0.469885	24.375730	17.748926	-2.832545	-13.419811	-7.058788	-1.440353	-4.565265	24.329806	-0.346213	25.777967	15.655164	-1.545597	-13.888444	-5.648008	-0.428928	-4.970730	23.176608	0.144817	25.994583	16.724915	-2.739539	-15.586878	-4.806147	-1.076056	-4.911850	25.422064	-0.469528	26.383364	14.681019	-2.562836	-16.592879	-3.348058
33	-0.014480	-4.320977	26.020662	-0.506703	25.692632	14.474878	-2.051343	-16.652830	-2.694910	-0.272296	-5.029903	23.650276	0.757058	23.338579	18.670964	-1.028340	-14.020755	-6.329205	0.065789	-4.067257	27.602494	0.191635	26.147881	14.730452	-5.190283	-18.182070	-2.709990	-0.555439	-4.145233	27.956217	0.209714	26.136323	15.253319	-1.941943	-16.778939	-1.755966	0.812971	-3.460466	27.572674	0.129418	26.380901	15.287610	-4.484559	-17.093891	-3.744646	1.419450	-4.297330	26.565020	-0.275762	26.151388	14.545449	-4.748229	-16.898108	-3.722338	1.711291	-3.368306	25.879880	0.172253	26.276238	15.148901	-4.982005	-18.695923	-0.731752	1.878081	-3.666803	27.480314	0.311159	26.425808	16.020230	-6.154302	-19.003700	-1.016439	1.568662	-2.961124	28.039108	-0.422310	27.339191	13.331834	-6.093440	-20.152266	2.693063	0.059229	-4.253715	27.119195	-1.063901	26.084186	13.248346	-2.093804	-17.710369	2.841338	0.492804	-4.150344	26.538231	-0.198186	25.298393	14.842244	-4.117010	-15.694471	-0.993217	-0.235086	-4.041485	27.655197	-0.626837	25.782425	13.578483	-4.818417	-18.602623	-1.189444	1.204094	-3.718856	27.601166	0.607517	27.322061	15.059631	-6.203977	-19.948394	-0.787421	-0.281603	-4.153779	26.050553	0.548113	25.595526	16.711592	-2.905466	-14.082534	-4.790718	-0.564994	-3.986963	26.199583	0.159900	25.825587	15.283908	-2.257947	-15.480050	-3.517732	-1.746629	-4.522073	26.473992	0.437548	26.170127	15.196024	-2.555302	-15.686716	-3.025535	1.874243	-4.067094	27.088822	0.087394	26.815432	13.737825	-6.995726	-20.632672	-0.909450	1.025712	-3.462336	27.600525	-0.114324	27.427630	13.481342	-4.792538	-18.875136	0.056662	-0.398007	-4.979648	25.569868	0.491936	24.873294	16.709220	-3.262843	-14.246757	-4.601197	-1.073990	-3.917751	25.877626	-0.311768	26.405316	14.666228	-1.970676	-14.725627	-3.270117	-0.002973	-4.385443	24.766566	0.160966	26.511560	15.890473	-3.095565	-16.437151	-2.350846	-0.590741	-4.164284	27.122221	-0.398042	26.995191	13.725832	-3.318948	-17.574060	-0.900641
34	0.451566	-3.698781	27.393040	-0.440636	26.185936	13.961091	-2.365294	-17.450866	-0.319082	0.136389	-4.320713	25.218494	0.779941	23.747924	17.838506	-1.087257	-14.742476	-3.826223	0.655685	-3.336913	29.013097	0.294287	26.638964	14.008460	-6.087378	-19.310372	-0.190054	-0.140744	-3.603134	28.914404	0.407543	26.805273	14.975390	-2.548968	-17.456199	0.573821	1.409566	-2.831511	28.779022	0.202121	26.924543	14.674687	-5.091849	-18.040189	-1.341642	1.801604	-3.793759	27.877432	-0.212263	26.798677	13.881681	-5.284224	-17.471310	-1.282562	1.923583	-3.025077	27.001210	0.351190	26.773865	14.815070	-5.622952	-18.993999	1.396432	2.219905	-3.176776	28.752144	0.438005	26.841333	15.394168	-6.890998	-19.439527	1.315371	2.015112	-2.464054	29.096163	-0.285050	27.552269	13.065954	-6.975888	-20.660475	4.844669	0.468365	-3.681894	28.352746	-0.889090	26.468727	12.988174	-2.647089	-18.302216	5.176326	0.925244	-3.604957	27.873561	-0.077256	25.701022	14.364716	-4.759259	-16.300382	1.353015	0.400632	-3.302068	28.967780	-0.523539	26.155573	12.956240	-5.789816	-19.491063	1.288102	1.758195	-3.145254	28.847393	0.716083	27.746133	14.561393	-7.080589	-20.565664	1.551921	0.194732	-3.519540	27.506137	0.646010	26.184222	16.039466	-3.436222	-14.842712	-2.472131	-0.056820	-3.305887	27.579999	0.240009	26.467739	14.703011	-2.896858	-16.372044	-1.170635	-1.377583	-3.849769	27.826449	0.598880	26.605099	14.707072	-3.259962	-16.309891	-0.705588	2.414031	-3.472865	28.371560	0.133373	27.135637	13.254230	-7.860675	-21.266181	1.411466	1.418109	-2.890057	28.616499	0.036716	27.898855	13.251277	-5.457905	-19.288000	2.388197	0.112262	-4.315896	27.075821	0.530577	25.300670	15.931746	-3.684517	-15.006157	-2.167863	-0.706376	-3.330642	27.211794	-0.236327	26.976192	13.995125	-2.434106	-15.455801	-0.950071	0.413251	-3.816023	26.188888	0.214459	26.895854	15.292826	-3.452092	-17.156991	0.062914	-0.101916	-3.448678	28.612970	-0.287741	27.475403	13.101674	-4.130102	-18.388378	1.441089
35	0.901578	-3.103909	28.588941	-0.302699	26.577888	13.740491	-2.716660	-18.130026	1.958347	0.504846	-3.676715	26.611463	0.849237	24.112302	17.307889	-1.155436	-15.377852	-1.354349	1.238235	-2.680680	30.136443	0.452659	26.972335	13.694239	-7.028810	-20.180546	2.180255	0.262682	-3.091459	29.679684	0.692659	27.388275	14.988003	-3.245625	-17.999059	2.817745	1.968208	-2.266557	29.754535	0.352785	27.329932	14.421228	-5.728690	-18.797529	0.918800	2.156503	-3.336575	28.971133	-0.073741	27.347638	13.571586	-5.886763	-17.857804	1.040486	2.078555	-2.736603	27.955689	0.617898	27.161766	14.807983	-6.311497	-19.069687	3.426729	2.509582	-2.745894	29.812509	0.616996	27.143526	15.066024	-7.662756	-19.637387	3.551534	2.365548	-2.047608	29.937543	-0.056210	27.572603	13.153138	-7.863940	-20.851953	6.804600	0.819260	-3.165630	29.359439	-0.603442	26.676869	13.069604	-3.262285	-18.656630	7.341001	1.293725	-3.133806	29.024731	0.114693	26.044894	14.193309	-5.458180	-16.739080	3.572752	1.008341	-2.642138	30.057445	-0.386364	26.394204	12.651786	-6.790376	-20.148161	3.625058	2.263088	-2.642571	29.864511	0.889799	28.032905	14.386521	-8.002668	-20.898996	3.779236	0.652418	-2.931705	28.727408	0.820093	26.697764	15.712812	-4.018984	-15.499138	-0.240029	0.434831	-2.678946	28.735630	0.412400	27.010960	14.470889	-3.634965	-17.112307	1.053225	-1.035426	-3.248363	28.925690	0.846375	26.912415	14.594399	-4.005538	-16.726533	1.487074	2.874056	-2.981249	29.383707	0.288443	27.288763	13.174058	-8.832675	-21.533918	3.546462	1.731417	-2.393173	29.394466	0.311715	28.227286	13.400149	-6.169726	-19.423302	4.578553	0.596692	-3.712299	28.318360	0.629268	25.633648	15.510440	-4.124207	-15.634044	0.174578	-0.370469	-2.816728	28.334535	-0.092206	27.476432	13.640862	-2.955930	-16.038864	1.274185	0.783512	-3.291437	27.395166	0.343703	27.117261	15.007067	-3.825780	-17.673137	2.379865	0.352433	-2.800585	29.873252	-0.111344	27.833364	12.813598	-4.998261	-18.997877	3.641775
36	1.312731	-2.554452	29.574707	-0.057735	26.841205	13.870242	-3.119096	-18.623376	4.082595	0.809380	-3.110888	27.839659	0.992928	24.446528	17.041031	-1.271674	-15.918851	1.045343	1.779239	-2.107809	31.019782	0.688465	27.166921	13.733403	-8.013701	-20.772644	4.389512	0.634457	-2.621533	30.242220	1.094476	27.854979	15.330543	-4.027138	-18.349260	4.951284	2.460872	-1.771742	30.540160	0.593440	27.606614	14.477315	-6.395599	-19.344401	3.024291	2.451676	-2.937224	29.847051	0.178644	27.774748	13.641661	-6.562027	-18.013928	3.198338	2.167159	-2.504395	28.738200	1.001517	27.435426	15.144679	-7.039070	-18.918620	5.346587	2.712462	-2.403483	30.623921	0.893817	27.332300	15.100235	-8.474022	-19.545698	5.655363	2.619406	-1.709005	30.587161	0.273048	27.454130	13.553464	-8.757031	-20.762599	8.598698	1.106862	-2.708832	30.164398	-0.212935	26.744256	13.453618	-3.924540	-18.786433	9.354407	1.565141	-2.754462	29.958533	0.416874	26.317480	14.377327	-6.232068	-16.960510	5.622219	1.545074	-2.090423	30.913780	-0.188371	26.493673	12.689887	-7.816588	-20.508515	5.776984	2.673099	-2.235642	30.634907	1.171068	28.167074	14.588418	-8.963436	-20.865331	5.860487	1.065880	-2.398161	29.741846	1.085411	27.131062	15.684626	-4.655035	-16.032955	1.890991	0.880286	-2.115421	29.684838	0.685463	27.451867	14.541599	-4.459162	-17.674286	3.137834	-0.748164	-2.736118	29.764305	1.208628	27.094493	14.878513	-4.800456	-16.909002	3.525849	3.244431	-2.580759	30.175986	0.561622	27.327720	13.435798	-9.883292	-21.482417	5.507975	1.945981	-1.980723	29.955415	0.734979	28.406267	13.935105	-6.913026	-19.259470	6.616116	1.027562	-3.173623	29.332373	0.807274	25.884390	15.403835	-4.597905	-16.115924	2.398815	-0.091852	-2.381517	29.242072	0.148406	27.882923	13.625651	-3.549892	-16.427248	3.366408	1.089083	-2.822081	28.429493	0.557610	27.215891	14.991799	-4.222281	-17.995503	4.588236	0.728454	-2.258519	30.849336	0.174229	28.063869	12.930007	-5.932543	-19.332692	5.655520
