knee_X	knee_Y	knee_Z
	1.052032	-3.271591	-29.012002
	0.826545	-3.248846	-28.632583
	0.905884	-3.173316	-28.155374
	1.275915	-3.055997	-27.606096
	1.916736	-2.907639	-27.005318
	2.803684	-2.736917	-26.368036
	3.909758	-2.550047	-25.703726
	5.208241	-2.351626	-25.020128
	6.674958	-2.145789	-24.329866
	8.289441	-1.936666	-23.654884
	10.034056	-1.727745	-23.025455
	11.891562	-1.520926	-22.474361
	13.842350	-1.316302	-22.028915
	15.862181	-1.112987	-21.703590
	17.921167	-0.910807	-21.495405
	19.983966	-0.712068	-21.382698
	22.010966	-0.522052	-21.327215
	23.960971	-0.347813	-21.280388
	25.795107	-0.196236	-21.194086
	27.480580	-0.072276	-21.033266
	28.993090	0.022512	-20.785137
	30.317527	0.090832	-20.460737
	31.447212	0.138982	-20.091480
	32.381933	0.174536	-19.723222
	33.125076	0.203717	-19.405268
	33.680910	0.230255	-19.177196
	34.053705	0.255974	-19.060747
	34.248796	0.281258	-19.057854
	34.273775	0.304730	-19.153619
	34.138876	0.323302	-19.323695
	33.856739	0.332837	-19.542842
	33.441548	0.329104	-19.791556
	32.907811	0.309034	-20.058410
	32.269375	0.271747	-20.337499
	31.539150	0.218730	-20.625143
	30.729603	0.153122	-20.918683
	29.853257	0.078338	-21.216100
	28.922603	-0.003168	-21.515576
	27.949915	-0.090445	-21.814113
	26.947546	-0.184059	-22.105425
	25.928278	-0.285682	-22.379245
	24.904749	-0.397384	-22.623123
	23.888218	-0.520953	-22.825474
	22.887925	-0.657237	-22.977664
	21.911404	-0.805765	-23.074556
	20.965019	-0.964873	-23.114689
	20.054321	-1.131860	-23.100346
	19.184516	-1.303185	-23.037373
	18.361401	-1.475053	-22.934836
	17.592186	-1.643801	-22.803380
	16.885650	-1.805825	-22.652603
	16.252375	-1.957848	-22.490433
	15.705340	-2.097529	-22.324245
	15.259926	-2.223724	-22.160708
	14.933153	-2.336276	-22.004950
	14.742679	-2.435735	-21.860980
	14.705529	-2.523070	-21.732844
	14.836793	-2.599239	-21.625227
	15.148876	-2.664694	-21.543023
	15.651274	-2.718949	-21.490450
	16.350489	-2.760127	-21.470423
	17.249996	-2.784768	-21.484079
	18.350250	-2.788205	-21.530885
	19.648467	-2.765195	-21.609805
	21.138138	-2.710379	-21.720242
	22.808589	-2.618640	-21.861524
	24.644432	-2.485677	-22.031401
	26.625103	-2.309002	-22.224757
	28.725312	-2.089060	-22.433604
	30.916529	-1.829815	-22.648145
	33.168869	-1.538659	-22.857836
	35.453072	-1.225811	-23.052602
	37.742191	-0.903251	-23.224235
	40.012921	-0.583484	-23.366888
	42.246493	-0.278138	-23.476674
	44.428827	0.003618	-23.551304
	46.550361	0.256327	-23.590374
	48.605939	0.478931	-23.596048
	50.594314	0.674771	-23.573063
	52.517043	0.850972	-23.528103
	54.377060	1.017884	-23.469479
	56.177206	1.188487	-23.407323
	57.919057	1.377199	-23.353695
	59.602397	1.598152	-23.321621
	61.225102	1.863295	-23.322714
	62.782926	2.180364	-23.364352
	64.269137	2.550797	-23.447645
	65.674254	2.968240	-23.566742
	66.986315	3.418375	-23.709828
	68.191746	3.880340	-23.861564
	69.276152	4.329454	-24.005789
	70.224602	4.740302	-24.127551
	71.021982	5.089013	-24.214506
	71.653750	5.354695	-24.258127
	72.106867	5.520631	-24.254512
	72.370831	5.575145	-24.203708
	72.438249	5.511895	-24.107419
	72.304214	5.329802	-23.967252
	71.965100	5.032724	-23.785045
	71.418037	4.628967	-23.564420
	70.661210	4.130749	-23.311267
	69.694181	3.552965	-23.031859
	68.517639	2.911790	-22.730992
	67.132904	2.225056	-22.412421
	65.542118	1.513647	-22.080071
	63.748928	0.801673	-21.739046
	61.758547	0.115301	-21.396634
	59.577266	-0.518925	-21.062567
	57.212545	-1.076076	-20.749073
	54.674135	-1.535374	-20.471000
	51.975035	-1.883160	-20.244424
	49.130908	-2.115118	-20.083912
	46.159011	-2.236064	-20.001498
	43.079028	-2.257679	-20.008853
	39.914721	-2.196707	-20.120216
	36.693306	-2.074590	-20.352553
	33.443291	-1.917451	-20.722202
	30.193866	-1.755473	-21.238881
	26.975862	-1.620134	-21.898246
	23.822264	-1.539039	-22.677999
	20.767647	-1.531257	-23.541397
	17.847075	-1.605048	-24.444253
	15.094445	-1.757067	-25.340138
	12.540525	-1.972918	-26.183430
	10.211826	-2.229839	-26.932764
	8.130815	-2.500859	-27.555512
