Time	Hip_Z	Hip_X	Hip_Y	Knee_Z	Knee_X	Knee_Y	Ankle_Z	Ankle_X	Ankle_Y
0	-19.127674	3.522532	-5.094709	15.181484	4.487488	27.444041	-9.290637	-2.729496	-11.824255
1	-18.677054	3.167369	-5.404163	16.128728	4.597319	26.945501	-8.297537	-1.058749	-11.07716
2	-18.393812	2.736618	-5.823084	17.31655	4.786993	26.458224	-7.316994	0.649518	-10.190945
3	-18.316697	2.233198	-6.359675	18.77648	5.047022	25.975129	-6.50055	2.264223	-9.176171
4	-18.483708	1.668509	-7.01287	20.560401	5.363435	25.487757	-6.037096	3.648856	-8.034623
5	-18.862681	1.068741	-7.742707	22.64504	5.710043	24.987497	-5.998813	4.751745	-6.794511
6	-19.444751	0.443874	-8.506789	25.050127	6.068316	24.457748	-6.491587	5.488455	-5.478083
7	-20.151396	-0.205501	-9.226425	27.689729	6.415461	23.875435	-7.462033	5.870328	-4.150272
8	-20.886408	-0.89234	-9.816713	30.432453	6.734754	23.212544	-8.780602	5.965341	-2.884229
9	-21.535079	-1.652639	-10.137694	33.121376	7.006751	22.404714	-10.36071	5.807996	-1.779228
10	-22.015196	-2.492801	-10.154296	35.618799	7.232904	21.437987	-12.042476	5.518723	-0.861198
11	-22.255864	-3.407605	-9.83666	37.81579	7.409523	20.300313	-13.738654	5.167727	-0.145396
12	-22.177403	-4.364484	-9.166202	39.595905	7.521215	18.997557	-15.378041	4.819018	0.35805
13	-21.815439	-5.299342	-8.256378	40.993113	7.567267	17.613271	-16.929263	4.517952	0.704217
14	-21.160816	-6.143731	-7.184198	41.973564	7.536694	16.229809	-18.359733	4.296036	0.904563
15	-20.257162	-6.842861	-6.065866	42.568899	7.43448	14.942956	-19.660807	4.160369	0.989022
16	-19.181852	-7.384379	-4.998081	42.865875	7.27786	13.809759	-20.850036	4.094292	0.999041
17	-17.972565	-7.737903	-4.073163	42.883942	7.069609	12.90048	-21.921173	4.087907	0.966101
18	-16.694152	-7.936902	-3.327712	42.708751	6.824277	12.206191	-22.893336	4.113076	0.932716
19	-15.381362	-8.007148	-2.784866	42.383073	6.553334	11.721361	-23.764771	4.152294	0.917673
20	-14.050907	-7.955859	-2.496286	41.906355	6.271695	11.478758	-24.499924	4.190834	0.919432
21	-12.712854	-7.826706	-2.42075	41.310847	6.000976	11.43434	-25.102687	4.21573	0.916505
22	-11.366125	-7.636034	-2.56543	40.58716	5.761234	11.596764	-25.543543	4.213847	0.885971
23	-10.005555	-7.403359	-2.920431	39.72887	5.568312	11.961006	-25.795674	4.171165	0.805952
24	-8.626938	-7.149913	-3.434715	38.754125	5.41975	12.480954	-25.867921	4.08102	0.671564
25	-7.219324	-6.887674	-4.089529	37.652271	5.3127	13.140113	-25.723427	3.925291	0.473027
26	-5.775532	-6.628252	-4.827476	36.439298	5.229639	13.886347	-25.37124	3.701455	0.218382
27	-4.290019	-6.378207	-5.594844	35.131491	5.155318	14.674169	-24.827695	3.410224	-0.082273
28	-2.746554	-6.142918	-6.327795	33.725637	5.075449	15.458009	-24.06415	3.035609	-0.428873
29	-1.151409	-5.918421	-6.971727	32.25378	4.983159	16.197218	-23.124723	2.594362	-0.813725
30	0.496855	-5.701197	-7.471423	30.728209	4.879308	16.862307	-22.002168	2.090761	-1.248519
31	2.193997	-5.48671	-7.771763	29.16461	4.772752	17.432092	-20.679708	1.531294	-1.752363
32	3.918238	-5.270642	-7.879234	27.590408	4.676291	17.920013	-19.18742	0.936475	-2.327927
33	5.647243	-5.049379	-7.766336	26.037481	4.604512	18.326834	-17.5135	0.320058	-2.992882
34	7.348708	-4.820557	-7.449025	24.549413	4.563755	18.662557	-15.678163	-0.296752	-3.739997
35	8.994035	-4.582758	-6.960394	23.168967	4.549517	18.92664	-13.716497	-0.894553	-4.539425
36	10.533865	-4.331463	-6.293247	21.982889	4.560918	19.083627	-11.639792	-1.447129	-5.357264
37	11.948947	-4.068359	-5.499455	21.022332	4.596593	19.135918	-9.494628	-1.946258	-6.158897
38	13.208523	-3.798487	-4.613728	20.339655	4.666679	19.081796	-7.310542	-2.386584	-6.920594
39	14.255464	-3.536589	-3.677998	20.033572	4.797709	18.912713	-5.118097	-2.765128	-7.610421
40	15.095639	-3.304357	-2.754972	20.090182	5.008798	18.663028	-2.943868	-3.105493	-8.223634
41	15.689592	-3.135557	-1.903953	20.576853	5.343117	18.346506	-0.804082	-3.425985	-8.743064
42	16.023391	-3.061251	-1.173291	21.519252	5.834526	17.97245	1.301645	-3.748884	-9.161366
43	16.125363	-3.089028	-0.574515	22.871804	6.483604	17.544022	3.391701	-4.089365	-9.49159
44	15.972739	-3.239392	-0.137472	24.681601	7.317815	17.042664	5.49605	-4.46393	-9.739072
45	15.608435	-3.489572	0.159559	26.873157	8.304441	16.461189	7.651456	-4.880004	-9.941219
46	15.0591	-3.814733	0.337137	29.392526	9.408571	15.784826	9.891932	-5.345215	-10.131613
47	14.31356	-4.191293	0.400766	32.242794	10.596754	14.96961	12.270624	-5.883669	-10.34669
48	13.422768	-4.574374	0.395354	35.318809	11.796384	14.019457	14.77739	-6.500952	-10.603111
49	12.392504	-4.928045	0.33772	38.589418	12.943612	12.919519	17.400529	-7.226753	-10.911344
50	11.233109	-5.212124	0.242155	42.014398	13.967484	11.681434	20.067851	-8.094176	-11.272695
51	9.976452	-5.404087	0.124429	45.534346	14.83448	10.358289	22.650259	-9.095856	-11.665396
52	8.625548	-5.459258	-0.004314	49.123538	15.482612	8.989877	24.942033	-10.223938	-12.049543
53	7.197107	-5.358734	-0.127342	52.74833	15.896781	7.628654	26.766024	-11.402071	-12.363555
54	5.702267	-5.094539	-0.230692	56.383968	16.077568	6.315991	28.024732	-12.529348	-12.564146
55	4.130763	-4.617832	-0.295144	59.997702	15.975024	5.11696	28.54026	-13.44539	-12.617261
56	2.495255	-3.960055	-0.320194	63.555554	15.650971	4.058555	28.457513	-14.074057	-12.575919
57	0.792313	-3.127486	-0.307141	67.016676	15.133242	3.179898	27.830974	-14.345348	-12.472915
58	-0.985457	-2.137302	-0.269784	70.327227	14.468925	2.526758	26.717507	-14.214128	-12.330518
59	-2.824222	-1.055975	-0.240975	73.474998	13.752139	2.082369	25.277119	-13.771822	-12.168418
60	-4.720389	0.070304	-0.265218	76.41339	13.06094	1.87536	23.549171	-13.052531	-11.993355
