Time	Hip_Z	Hip_X	Hip_Y	Knee_Z	Knee_X	Knee_Y	Ankle_Z	Ankle_X	Ankle_Y
0	-20.89017	-1.715346	-11.312769	10.277026	3.175679	38.166038	-8.484926	-10.745001	-22.658242
1	-20.769914	-1.86095	-11.11689	11.383813	3.724863	37.860136	-7.707161	-8.948254	-22.317379
2	-20.774451	-2.02765	-10.932651	12.69943	4.362627	37.373969	-6.842522	-6.77691	-21.802956
3	-20.939884	-2.215267	-10.784632	14.242049	5.046283	36.64913	-5.987435	-4.325505	-21.061501
4	-21.307418	-2.425846	-10.700972	16.038801	5.740346	35.65172	-5.270328	-1.767323	-20.039947
5	-21.875036	-2.662246	-10.688268	18.075413	6.434773	34.430284	-4.787743	0.692824	-18.759873
6	-22.676504	-2.941051	-10.748572	20.393274	7.158657	33.021266	-4.693048	2.813498	-17.237845
7	-23.659718	-3.271777	-10.839353	22.937578	7.965658	31.552331	-5.019628	4.46083	-15.633831
8	-24.753689	-3.664764	-10.903643	25.632989	8.911381	30.140497	-5.758362	5.576437	-14.134023
9	-25.855255	-4.144153	-10.845796	28.374132	10.055285	28.887537	-6.905877	6.100187	-12.965154
10	-26.844784	-4.701954	-10.608517	31.026157	11.34122	27.776059	-8.296581	6.229408	-12.164062
11	-27.593724	-5.336558	-10.123872	33.453303	12.701082	26.776714	-9.842879	6.065428	-11.745755
12	-28.00871	-6.015849	-9.389841	35.549661	14.022734	25.843895	-11.444729	5.74189	-11.61266
13	-28.087217	-6.689196	-8.477984	37.295295	15.216364	24.957743	-13.031468	5.364776	-11.621788
14	-27.780348	-7.296379	-7.445045	38.609907	16.179784	24.148633	-14.551481	4.992008	-11.679457
15	-27.180943	-7.810982	-6.381458	39.563082	16.912058	23.437454	-15.987901	4.656239	-11.71547
16	-26.346542	-8.222248	-5.343328	40.182144	17.41885	22.853741	-17.324918	4.371927	-11.710881
17	-25.322508	-8.524893	-4.384286	40.468563	17.710615	22.442238	-18.535788	4.147534	-11.672725
18	-24.184925	-8.745849	-3.52231	40.50228	17.856085	22.196334	-19.625362	3.966132	-11.62535
19	-22.949774	-8.884376	-2.786597	40.278832	17.870515	22.147028	-20.559758	3.813153	-11.587304
20	-21.63326	-8.947065	-2.181576	39.826459	17.781032	22.291005	-21.318866	3.661512	-11.577009
21	-20.243815	-8.939927	-1.697199	39.178906	17.608323	22.606742	-21.893487	3.484851	-11.608343
