Time	Hip_Z	Hip_X	Hip_Y	Knee_Z	Knee_X	Knee_Y	Ankle_Z	Ankle_X	Ankle_Y
0	-15.287553	-0.95008	-4.230631	10.896182	10.306096	24.689466	-3.19106	-7.955526	-22.16271
1	-15.584021	-1.211289	-4.770647	13.082222	10.658305	23.793208	-2.730269	-5.431717	-21.135687
2	-16.064117	-1.613215	-5.341679	15.649411	11.04705	22.842563	-2.548264	-2.678203	-20.023019
3	-16.807427	-2.186696	-5.958392	18.654232	11.490897	21.811403	-2.875187	0.089214	-18.720637
4	-17.768888	-2.878655	-6.608778	21.964036	12.003749	20.722632	-3.671297	2.608084	-17.237125
5	-18.932115	-3.660601	-7.255345	25.525674	12.619747	19.589253	-4.979567	4.577308	-15.610177
6	-20.160165	-4.461082	-7.819396	29.168062	13.290214	18.415664	-6.615722	5.990691	-13.960784
7	-21.313017	-5.219241	-8.166021	32.741084	13.903465	17.153674	-8.505784	6.798239	-12.353399
8	-22.271169	-5.891436	-8.240522	36.099001	14.331506	15.801802	-10.496664	7.226761	-10.799864
9	-22.882518	-6.421668	-7.957078	39.033996	14.430385	14.394721	-12.49754	7.394998	-9.31642
10	-23.113777	-6.806679	-7.382026	41.471774	14.213751	13.030967	-14.433932	7.477219	-7.91765
11	-22.865665	-7.022895	-6.545697	43.249832	13.693066	11.834008	-16.242229	7.552864	-6.667577
12	-22.205179	-7.112153	-5.570189	44.421699	13.021507	10.874782	-17.907348	7.649013	-5.609459
13	-21.143188	-7.106281	-4.536928	44.946019	12.337139	10.237661	-19.393945	7.746317	-4.830055
14	-19.80566	-7.068829	-3.538037	44.961582	11.772005	9.89928	-20.710647	7.801625	-4.331685
15	-18.258379	-7.043479	-2.651601	44.503446	11.430296	9.876475	-21.830921	7.76002	-4.145366
16	-16.604834	-7.057858	-1.92278	43.691464	11.339898	10.127275	-22.760049	7.591649	-4.236373
17	-14.895591	-7.126458	-1.39968	42.552151	11.524998	10.666386	-23.464863	7.2634	-4.618994
18	-13.159718	-7.242009	-1.07336	41.144029	11.926106	11.459619	-23.938819	6.77921	-5.254805
19	-11.391423	-7.393259	-0.930648	39.471278	12.484275	12.49457	-24.135834	6.137011	-6.130023
20	-9.574932	-7.559334	-0.914731	37.577172	13.093647	13.698947	-24.038547	5.366936	-7.173011
21	-7.694821	-7.722034	-0.982462	35.496562	13.662446	14.998594	-23.610165	4.486121	-8.310137
22	-5.756474	-7.859167	-1.074779	33.301642	14.124654	16.300435	-22.851517	3.521642	-9.456777
23	-3.775949	-7.943682	-1.129433	31.060865	14.445653	17.527741	-21.748362	2.491991	-10.556814
24	-1.783319	-7.948607	-1.082472	28.849048	14.620664	18.619779	-20.309092	1.418896	-11.580995
25	0.190186	-7.855604	-0.889326	26.720791	14.660792	19.54469	-18.534424	0.317331	-12.529984
26	2.116101	-7.659219	-0.524842	24.714349	14.593273	20.298993	-16.440658	-0.795063	-13.42739
27	3.980291	-7.362667	0.022006	22.850233	14.443774	20.892681	-14.05455	-1.896958	-14.305942
28	5.776235	-6.972372	0.753199	21.141988	14.23785	21.344718	-11.410303	-2.962437	-15.205917
29	7.499216	-6.497457	1.657154	19.597186	13.998141	21.675056	-8.558445	-3.970988	-16.158155
30	9.129447	-5.941333	2.726815	18.246996	13.742263	21.877085	-5.560948	-4.900306	-17.179073
31	10.646246	-5.315945	3.928053	17.114869	13.48756	21.944751	-2.497739	-5.7386	-18.25783
32	12.014118	-4.638419	5.209221	16.244869	13.257162	21.865991	0.545047	-6.470683	-19.36899
33	13.220246	-3.940361	6.498271	15.644442	13.072771	21.654372	3.496133	-7.100137	-20.476527
34	14.237777	-3.2621	7.715055	15.346785	12.962791	21.315198	6.286742	-7.624031	-21.531198
35	15.073001	-2.63806	8.809224	15.335567	12.937132	20.869278	8.896829	-8.05718	-22.486113
36	15.714461	-2.107266	9.729586	15.633714	13.010172	20.319528	11.299739	-8.40455	-23.268641
37	16.196629	-1.682153	10.471625	16.204389	13.172899	19.692068	13.523987	-8.695234	-23.842661
38	16.533107	-1.388704	11.004464	17.055191	13.432931	19.015077	15.579834	-8.972623	-24.137381
39	16.762135	-1.218148	11.349733	18.134474	13.779621	18.334718	17.516215	-9.290622	-24.155569
40	16.884886	-1.184037	11.493715	19.444417	14.226231	17.706252	19.355539	-9.706603	-23.857288
41	16.915693	-1.26273	11.474678	20.939685	14.765141	17.165443	21.132602	-10.226914	-23.299855
42	16.836368	-1.451803	11.294765	22.633804	15.412638	16.755312	22.848526	-10.843467	-22.498117
43	16.65594	-1.711482	11.006604	24.49562	16.150061	16.462356	24.501243	-11.493727	-21.550446
44	16.349166	-2.010993	10.644352	26.558328	16.976917	16.281493	26.035668	-12.100418	-20.538707
45	15.930125	-2.303426	10.267097	28.803274	17.859171	16.155625	27.411427	-12.601933	-19.568869
46	15.376644	-2.535149	9.927414	31.284574	18.770718	16.026733	28.515289	-12.916854	-18.756133
47	14.71168	-2.675504	9.6598	33.981392	19.668834	15.829306	29.334083	-13.051435	-18.131168
48	13.911733	-2.661787	9.520001	36.954732	20.498409	15.471239	29.774667	-12.97088	-17.752905
49	12.996689	-2.495432	9.501285	40.155568	21.232503	14.943269	29.915836	-12.734067	-17.562193
50	11.925551	-2.121593	9.625018	43.616753	21.807988	14.200579	29.742176	-12.349709	-17.545326
51	10.713096	-1.576352	9.83852	47.257665	22.232543	13.309739	29.367222	-11.896446	-17.605386
52	9.312104	-0.834555	10.108105	51.065659	22.457058	12.29756	28.805048	-11.433232	-17.674404
53	7.755465	0.038769	10.359386	54.958269	22.513718	11.250548	28.135477	-11.013661	-17.689245
54	6.023976	1.014636	10.479614	58.889136	22.364155	10.251308	27.390216	-10.665704	-17.597634
55	4.16776	2.013984	10.386418	62.797543	22.046296	9.370533	26.628293	-10.353473	-17.411866
56	2.179933	2.969793	9.931265	66.621503	21.539825	8.712872	25.889106	-10.024557	-17.133821
57	0.093849	3.840896	9.115968	70.326892	20.897372	8.296453	25.190303	-9.632425	-16.80817
58	-2.085057	4.588352	7.86821	73.83835	20.13527	8.201325	24.53296	-9.146442	-16.456827
59	-4.309032	5.237025	6.279776	77.13281	19.311753	8.398334	23.884523	-8.592727	-16.10228
60	-6.533484	5.809889	4.380856	80.122545	18.455324	8.916291	23.208734	-7.989663	-15.76255
61	-8.710428	6.36384	2.338597	82.805359	17.587544	9.649376	22.475146	-7.368012	-15.442473
62	-10.79811	6.934661	0.317523	85.111129	16.7069	10.500649	21.643964	-6.740525	-15.136259
63	-12.790961	7.528472	-1.516746	87.067456	15.816139	11.32726	20.702205	-6.113636	-14.83282
64	-14.673939	8.12649	-3.023453	88.628396	14.929805	12.025898	19.614878	-5.488524	-14.527123
65	-16.461753	8.6917	-4.180599	89.835361	14.074873	12.556969	18.372362	-4.86426	-14.217309
66	-18.155175	9.178566	-4.955076	90.666064	13.289409	12.892435	16.936049	-4.241416	-13.90252
67	-19.770649	9.554775	-5.418753	91.166934	12.609486	13.062538	15.31138	-3.627326	-13.591471
68	-21.304078	9.7815	-5.617855	91.329477	12.092898	13.08488	13.504295	-3.039118	-13.313562
69	-22.755775	9.848509	-5.651233	91.189717	11.777932	13.004991	11.584192	-2.496591	-13.108723
70	-24.11217	9.738853	-5.584537	90.739971	11.710732	12.851542	9.619718	-2.029737	-13.009129
71	-25.367459	9.4647	-5.487205	90.00073	11.897801	12.663161	7.685672	-1.66942	-13.013294
72	-26.50718	9.033691	-5.407647	88.961644	12.352094	12.473765	5.840781	-1.44738	-13.113431
73	-27.524179	8.473888	-5.38369	87.62992	13.05319	12.321129	4.124518	-1.368905	-13.284826
74	-28.409994	7.808298	-5.438346	85.996301	13.976223	12.241211	2.560653	-1.427472	-13.498697
75	-29.166145	7.069988	-5.579795	84.061414	15.060589	12.271586	1.154585	-1.598623	-13.715257
76	-29.793626	6.291801	-5.807765	81.819218	16.242652	12.447848	-0.09085	-1.856779	-13.90993
77	-30.286167	5.508696	-6.121305	79.259533	17.451263	12.805622	-1.169429	-2.171746	-14.074346
78	-30.628179	4.748224	-6.523989	76.372413	18.623281	13.372777	-2.078142	-2.517356	-14.211608
79	-30.787923	4.035004	-7.021065	73.126181	19.701511	14.187333	-2.818965	-2.876059	-14.336543
80	-30.744677	3.38208	-7.593991	69.506348	20.640388	15.264641	-3.412826	-3.236928	-14.464739
81	-30.467169	2.797975	-8.199939	65.475935	21.370867	16.618751	-3.872036	-3.587524	-14.605282
82	-29.958202	2.277466	-8.783923	61.051565	21.846207	18.215184	-4.217902	-3.922796	-14.761537
83	-29.213283	1.817149	-9.287163	56.238197	22.001638	20.014845	-4.460397	-4.250502	-14.946764
84	-28.270609	1.402451	-9.672621	51.116501	21.838415	21.933135	-4.617919	-4.589931	-15.189306
85	-27.15509	1.019428	-9.88498	45.767152	21.342315	23.866883	-4.702467	-4.977359	-15.548251
86	-25.920214	0.648998	-9.897155	40.326646	20.573444	25.70272	-4.745862	-5.449901	-16.062159
87	-24.603162	0.276352	-9.643676	34.948051	19.565261	27.298743	-4.782059	-6.06674	-16.787112
88	-23.254053	-0.102012	-9.121564	29.771124	18.398135	28.582328	-4.84354	-6.844923	-17.715454
89	-21.920471	-0.473699	-8.301389	24.988818	17.124164	29.445621	-4.961695	-7.802628	-18.841301
90	-20.642776	-0.814537	-7.274525	20.676794	15.818629	29.932909	-5.133677	-8.877177	-20.075323
91	-19.475455	-1.080807	-6.166864	16.998294	14.559851	30.068761	-5.338238	-9.978575	-21.309479
92	-18.439178	-1.257271	-5.135978	13.926971	13.407089	29.976248	-5.532474	-10.983226	-22.433977
93	-17.588698	-1.325096	-4.33009	11.601284	12.443225	29.678746	-5.656306	-11.710702	-23.314346
94	-16.915764	-1.314537	-3.783803	9.934652	11.683266	29.227703	-5.663424	-12.075021	-23.906526
95	-16.457285	-1.245489	-3.57111	9.050075	11.190227	28.606384	-5.464979	-11.899857	-24.088695
