Time	Hip_Z	Hip_X	Hip_Y	Knee_Z	Knee_X	Knee_Y	Ankle_Z	Ankle_X	Ankle_Y
0	-25.377657	-0.620935	-13.26108	25.404339	3.754428	13.603832	-7.528772	-2.631821	-5.111436
1	-25.892464	-0.813246	-12.368276	28.397411	3.631532	12.492811	-7.120468	-1.08375	-4.508497
2	-26.545172	-1.145543	-11.216739	31.759554	3.464861	11.124885	-7.348792	0.311447	-3.968602
3	-27.27202	-1.662452	-9.780166	35.358584	3.253363	9.495262	-8.277418	1.470174	-3.49441
4	-27.9618	-2.319893	-8.164925	38.969514	3.005991	7.713927	-9.693674	2.409601	-3.045358
5	-28.489797	-3.058042	-6.490866	42.377829	2.720175	5.912989	-11.478043	3.11395	-2.581571
6	-28.779265	-3.774914	-4.909561	45.433203	2.408954	4.259792	-13.454764	3.6135	-2.08215
7	-28.777297	-4.373499	-3.551435	48.013506	2.097954	2.912201	-15.494074	3.923156	-1.551883
8	-28.477709	-4.791242	-2.496	50.064483	1.818675	1.974044	-17.496442	4.070406	-1.015867
9	-27.914749	-5.013319	-1.771722	51.606733	1.597482	1.482959	-19.393874	4.101471	-0.506549
10	-27.095723	-5.034776	-1.421191	52.625012	1.461577	1.49155	-21.132796	4.047685	-0.062814
11	-26.079936	-4.913931	-1.37927	53.222916	1.407296	1.904011	-22.710776	3.950892	0.295021
12	-24.873874	-4.684571	-1.622479	53.389818	1.427707	2.675413	-24.088969	3.835622	0.541184
13	-23.545504	-4.415273	-2.009496	53.253481	1.474803	3.611954	-25.296547	3.725146	0.705736
14	-22.103597	-4.144605	-2.46321	52.802479	1.508839	4.590531	-26.28414	3.634089	0.797252
15	-20.592511	-3.897553	-2.905651	52.132278	1.511929	5.503549	-27.076117	3.560034	0.845327
16	-19.024407	-3.689969	-3.287789	51.24557	1.4823	6.271878	-27.617405	3.492423	0.842649
17	-17.424961	-3.51524	-3.595495	50.201982	1.436583	6.888396	-27.916416	3.413192	0.784223
18	-15.810761	-3.364548	-3.816424	49.025714	1.385969	7.343207	-27.929528	3.303018	0.653016
19	-14.199054	-3.222368	-3.958531	47.755746	1.336413	7.661511	-27.657125	3.151213	0.448898
20	-12.603575	-3.07285	-4.028959	46.420873	1.290236	7.868499	-27.094597	2.953048	0.174371
21	-11.03319	-2.904051	-4.036137	45.042658	1.25195	7.991734	-26.239855	2.710851	-0.168073
22	-9.488987	-2.714423	-3.996242	43.642026	1.23129	8.066564	-25.123381	2.435372	-0.570599
23	-7.969676	-2.507475	-3.912379	42.231142	1.243032	8.113421	-23.734262	2.136726	-1.036029
24	-6.464262	-2.293816	-3.789512	40.819101	1.291222	8.151771	-22.125693	1.834762	-1.554367
25	-4.966514	-2.082536	-3.60871	39.410699	1.391031	8.189614	-20.275515	1.548493	-2.138941
26	-3.469855	-1.880228	-3.361866	38.008949	1.539547	8.225866	-18.245719	1.286513	-2.782566
27	-1.974351	-1.691891	-3.005431	36.62143	1.751391	8.248503	-16.025435	1.060684	-3.502692
28	-0.486576	-1.512328	-2.539032	35.253078	2.013266	8.247655	-13.674226	0.864621	-4.283482
29	0.979496	-1.336506	-1.941476	33.917576	2.321728	8.206395	-11.211753	0.692813	-5.112535
30	2.415301	-1.160266	-1.235963	32.622835	2.659598	8.119777	-8.687169	0.52873	-5.949064
31	3.808076	-0.983765	-0.442861	31.38874	3.013889	7.981784	-6.140295	0.357678	-6.734922
32	5.149207	-0.811726	0.397751	30.236242	3.370034	7.79772	-3.616158	0.170053	-7.412186
33	6.430301	-0.655171	1.232248	29.194056	3.717583	7.585493	-1.167022	-0.038917	-7.939394
34	7.640614	-0.533458	1.996758	28.303966	4.054422	7.3741	1.140683	-0.270594	-8.294089
35	8.777172	-0.466278	2.639726	27.595441	4.388096	7.195151	3.253289	-0.519263	-8.49329
36	9.81678	-0.485445	3.094207	27.145374	4.732964	7.085421	5.076746	-0.782183	-8.53087
37	10.759939	-0.594208	3.358746	26.964581	5.104281	7.05585	6.604432	-1.055927	-8.451474
38	11.57262	-0.821267	3.375678	27.16509	5.531924	7.143395	7.73398	-1.349221	-8.270581
39	12.273202	-1.144639	3.191262	27.707867	6.024509	7.337514	8.527503	-1.66959	-8.050704
40	12.830635	-1.571967	2.787611	28.687733	6.609989	7.65392	8.924527	-2.035429	-7.841719
41	13.255367	-2.065089	2.240323	30.053113	7.276071	8.041037	9.009826	-2.442772	-7.687687
42	13.516315	-2.591277	1.606383	31.860205	8.020405	8.432493	8.796345	-2.886601	-7.634451
43	13.616431	-3.102594	0.977342	34.070258	8.815163	8.737777	8.368769	-3.345143	-7.692189
44	13.542824	-3.550219	0.44863	36.68587	9.6333	8.851023	7.78791	-3.791901	-7.868507
45	13.300902	-3.900483	0.091253	39.669723	10.446122	8.701699	7.122259	-4.200472	-8.152612
46	12.905652	-4.135763	-0.051848	42.96355	11.227888	8.257174	6.431895	-4.550497	-8.521988
47	12.356537	-4.238615	0.062498	46.532681	11.955171	7.483417	5.756266	-4.825761	-8.953673
48	11.671218	-4.221716	0.415034	50.296787	12.618754	6.422733	5.11598	-5.033162	-9.408376
49	10.821494	-4.076808	1.016185	54.225072	13.197579	5.073843	4.527094	-5.176117	-9.846751
50	9.822432	-3.838829	1.7801	58.24168	13.698627	3.540529	3.982297	-5.285554	-10.233912
51	8.625218	-3.507201	2.668394	62.309643	14.095749	1.866883	3.484418	-5.383365	-10.509783
52	7.274542	-3.120193	3.587571	66.372535	14.402556	0.156488	3.015109	-5.490912	-10.657921
53	5.7761	-2.692311	4.468628	70.376502	14.593986	-1.516186	2.568104	-5.617201	-10.615997
54	4.172402	-2.251725	5.267062	74.292258	14.682088	-3.103582	2.130669	-5.750991	-10.391184
55	2.45012	-1.824848	5.941347	78.082874	14.659092	-4.564165	1.695753	-5.864045	-9.967345
56	0.621066	-1.436227	6.48995	81.735556	14.542166	-5.897339	1.25959	-5.919605	-9.380542
57	-1.293572	-1.108414	6.915452	85.222816	14.345876	-7.104876	0.821291	-5.872896	-8.672226
58	-3.279727	-0.852968	7.228237	88.521682	14.089001	-8.194381	0.376902	-5.692954	-7.90454
59	-5.338239	-0.669453	7.439316	91.61975	13.790575	-9.173536	-0.084224	-5.380114	-7.148853
60	-7.477357	-0.566172	7.526112	94.471284	13.459414	-10.018486	-0.579204	-4.944186	-6.469828
61	-9.673638	-0.537011	7.473923	97.073589	13.111131	-10.720341	-1.117559	-4.436641	-5.905172
62	-11.913397	-0.593427	7.237385	99.347503	12.757289	-11.23555	-1.717595	-3.895446	-5.514236
63	-14.175121	-0.715171	6.862514	101.3242	12.409037	-11.602324	-2.371659	-3.361634	-5.287509
64	-16.453623	-0.910611	6.371154	102.91243	12.074641	-11.819018	-3.083654	-2.86101	-5.267988
65	-18.73806	-1.163835	5.837031	104.168055	11.75126	-11.94438	-3.825994	-2.38971	-5.40858
66	-21.017294	-1.484938	5.30794	105.024852	11.436855	-11.994532	-4.580247	-1.949314	-5.703839
67	-23.277308	-1.866723	4.816644	105.527905	11.12925	-11.997782	-5.331668	-1.548243	-6.092341
68	-25.494438	-2.310576	4.37957	105.652105	10.830506	-11.955906	-6.071313	-1.212725	-6.534357
69	-27.64656	-2.803293	3.985427	105.424312	10.543097	-11.861037	-6.791142	-0.952898	-6.992082
70	-29.706685	-3.329834	3.609314	104.853772	10.271146	-11.692889	-7.484179	-0.776346	-7.433172
71	-31.645858	-3.873325	3.222343	103.944219	10.015768	-11.42725	-8.148523	-0.687402	-7.823938
72	-33.446664	-4.410974	2.797672	102.729994	9.771569	-11.04689	-8.789057	-0.675948	-8.134151
73	-35.069931	-4.909864	2.302158	101.190652	9.532916	-10.509492	-9.410692	-0.740912	-8.325679
74	-36.520943	-5.336974	1.721116	99.379394	9.295468	-9.8049	-10.025821	-0.862636	-8.40193
75	-37.748668	-5.623047	1.012567	97.252734	9.061476	-8.859392	-10.64756	-1.040632	-8.347543
76	-38.782249	-5.747504	0.180774	94.871371	8.835716	-7.68256	-11.284999	-1.25454	-8.204245
77	-39.568783	-5.628477	-0.820523	92.17821	8.627344	-6.189515	-11.947588	-1.499998	-7.983504
78	-40.139712	-5.280756	-1.974484	89.217176	8.439668	-4.41469	-12.62991	-1.76602	-7.727067
79	-40.453273	-4.669218	-3.305069	85.934326	8.289112	-2.32327	-13.320638	-2.057341	-7.473824
80	-40.530983	-3.845542	-4.785143	82.348838	8.18826	0.020977	-13.991981	-2.3753	-7.270635
81	-40.360317	-2.851268	-6.398	78.431432	8.153291	2.574757	-14.601482	-2.721812	-7.166481
82	-39.959002	-1.761564	-8.099598	74.192838	8.181891	5.258935	-15.116835	-3.09548	-7.178749
83	-39.350311	-0.662941	-9.831022	69.653939	8.257919	7.975851	-15.523509	-3.499197	-7.298001
84	-38.556493	0.349961	-11.50969	64.842077	8.351518	10.600407	-15.823614	-3.93149	-7.501151
85	-37.625828	1.208218	-13.052938	59.8394	8.415839	13.016278	-16.04689	-4.374264	-7.745391
86	-36.573437	1.848541	-14.370407	54.70599	8.388319	15.087014	-16.21554	-4.810444	-7.991281
87	-35.445628	2.292624	-15.452336	49.552346	8.23533	16.78222	-16.365172	-5.232376	-8.200394
88	-34.259467	2.510847	-16.217984	44.506291	7.894303	17.934734	-16.51167	-5.633169	-8.327629
89	-33.049767	2.571113	-16.721506	39.65888	7.401108	18.602967	-16.655957	-6.021255	-8.37317
90	-31.836178	2.487935	-16.93398	35.1722	6.77224	18.70637	-16.778317	-6.415404	-8.332469
91	-30.638088	2.329269	-16.943859	31.080103	6.094714	18.412931	-16.855237	-6.839326	-8.249304
92	-29.47921	2.135893	-16.800081	27.512608	5.447146	17.836062	-16.843395	-7.31239	-8.161175
93	-28.376903	1.945536	-16.585842	24.482768	4.889602	17.163483	-16.714753	-7.816006	-8.098883
94	-27.35377	1.78147	-16.359756	22.05906	4.462105	16.540038	-16.418006	-8.292774	-8.075782
