hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z
	-2.008445	-9.014920	-14.857023	6.306710	32.326226	11.447609	-7.356834	-10.025085	5.949229
	-2.245679	-9.289334	-13.937291	6.204391	32.499676	11.446601	-6.951034	-9.925242	6.012318
	-2.492045	-9.507240	-13.158315	6.207247	32.406867	11.812223	-5.909675	-9.699918	5.934513
	-2.751891	-9.713196	-12.451533	6.032873	32.018197	12.258023	-4.544958	-9.124964	4.846058
	-3.002034	-9.831477	-11.849513	5.862040	31.307264	13.626244	-1.835896	-8.096643	2.963777
	-3.274079	-9.957232	-11.417132	5.858467	29.885423	15.431535	0.437682	-6.461317	0.166048
	-3.607509	-10.018590	-11.019022	6.001160	28.894252	17.444196	2.338958	-4.751061	-1.984263
	-3.967953	-9.939414	-10.657897	6.081980	27.829287	19.393921	3.600423	-3.796140	-4.138186
	-4.301087	-9.828577	-10.329217	6.412565	27.029095	21.157600	4.228836	-3.265491	-5.888797
	-4.714954	-9.767290	-10.064677	7.108915	26.281671	22.787866	4.384851	-2.923481	-7.324606
	-5.150623	-9.675071	-9.785135	7.731185	25.155585	24.598519	4.188764	-2.265322	-8.796173
	-5.400825	-9.443711	-9.397600	7.884643	24.085725	26.408419	4.273604	-1.281797	-10.221136
	-5.623267	-9.285879	-8.936362	7.924399	22.920715	28.020353	4.128185	-0.310440	-11.584329
	-5.651899	-9.191756	-8.463543	7.824963	22.164838	29.282682	3.930167	0.293780	-12.900214
	-5.495747	-9.098493	-7.761822	7.717790	22.136310	30.091157	3.469136	0.562182	-14.009251
	-5.238316	-9.108203	-6.900227	7.424138	22.054674	30.536908	3.073604	0.511226	-14.920667
	-5.054188	-9.267065	-5.726334	7.178713	22.591887	30.638708	2.831085	0.333710	-15.690786
	-4.820740	-9.444143	-4.334606	6.973770	22.976565	30.694004	2.610278	0.230614	-16.294305
	-4.667268	-9.704042	-2.667978	6.743382	23.580755	30.813748	2.317458	-0.263156	-16.621675
	-4.515488	-10.031543	-0.987081	6.496045	23.985625	30.524001	1.995827	-0.795673	-16.892940
	-4.363067	-10.397803	0.651833	6.407045	24.503943	29.661669	1.698188	-1.343960	-17.110177
	-4.184336	-10.604456	2.226872	6.333238	25.121764	28.170477	1.228607	-1.921571	-16.890093
	-4.166020	-10.760388	3.749517	6.269955	25.744571	26.607378	0.603491	-2.541815	-16.416365
	-4.136180	-10.858816	5.251171	6.209515	25.989779	25.068563	-0.101374	-3.162141	-15.639453
	-3.992347	-10.925821	6.839269	6.162628	26.158313	23.480101	-0.841761	-3.720283	-14.614394
	-3.753046	-10.753983	8.479716	6.157225	26.369883	21.924807	-1.579632	-4.272537	-13.065415
	-3.458218	-10.411261	10.157382	6.126678	26.547836	20.163671	-2.285353	-4.904978	-11.239273
	-3.104967	-10.283082	11.862933	6.079000	26.790488	18.287153	-2.859003	-5.626012	-9.209671
	-2.652598	-9.915728	13.423081	6.014541	26.963560	16.406572	-3.470400	-6.427311	-6.843243
	-2.139031	-9.392984	14.860553	5.831767	27.018743	14.705046	-4.089435	-7.270529	-4.178081
	-1.546970	-8.746095	16.154303	5.518480	27.152407	13.082780	-4.601082	-8.079915	-1.430505
	-0.895315	-8.028135	17.372973	5.266105	27.223452	11.568672	-5.247638	-8.924988	1.253365
	-0.142665	-7.287041	18.505868	4.962310	27.283477	10.202613	-5.641907	-9.650332	3.966943
	0.441565	-6.598049	19.465724	4.670615	27.154331	8.999051	-5.935739	-10.093661	6.557380
	0.704248	-6.080495	20.184012	4.502521	26.979600	8.110766	-6.240827	-10.217016	8.920211
	1.026625	-5.774812	20.665865	4.461244	26.743009	7.398891	-6.527546	-10.214155	10.820972
	1.108910	-5.785997	20.771647	4.719002	26.559836	7.048237	-7.050930	-10.074436	11.939965
	0.896038	-5.804003	20.909381	5.048194	26.372190	7.305260	-7.521069	-9.693915	13.237452
	0.521860	-5.825301	21.071786	5.422012	26.342112	7.784149	-7.743751	-9.417940	14.056307
	0.086144	-6.135126	21.106437	6.228536	26.594096	8.849620	-7.807039	-9.384655	14.608234
	-0.589853	-6.626177	21.024027	7.283192	26.494645	10.428796	-7.839782	-9.228579	15.412832
	-1.233324	-7.207388	20.801820	8.321851	26.787051	12.667719	-7.857155	-9.158104	15.617992
	-1.794488	-7.737647	20.305949	9.310710	26.781406	15.263665	-7.931106	-9.211037	15.348455
	-2.258128	-8.139680	19.730631	10.376459	26.654750	18.298641	-8.074539	-9.230936	15.030374
	-2.636016	-8.484696	18.957042	11.456901	26.546271	21.663933	-8.078731	-9.287599	14.691353
	-3.013551	-8.659468	18.152747	12.616248	25.929676	25.263596	-8.357178	-9.194825	14.391956
	-3.285788	-8.609507	17.267419	13.758378	25.309277	29.039379	-8.659675	-8.996636	14.108451
	-3.658122	-8.661659	16.318628	14.952534	24.406825	32.949518	-8.835536	-8.746077	13.835575
	-3.667189	-8.063930	15.311219	16.227241	23.111563	36.974165	-8.867374	-8.627554	13.748256
	-3.571589	-7.312821	14.253346	17.747571	21.791509	41.108118	-8.777452	-8.405081	13.646958
	-3.289316	-6.234747	13.149448	19.149286	20.088105	45.186952	-8.559962	-8.190413	13.663645
