PercGcycle	RhipAngX25	RhipAngY25	RhipAngZ25	RkneeAngX25	RkneeAngY25	RkneeAngZ25	RankleAngX25	RankleAngY25	RankleAngZ25	RhipMomX25	RhipMomY25	RhipMomZ25	RkneeMomX25	RkneeMomY25	RkneeMomZ25	RankleMomX25	RankleMomY25	RankleMomZ25	RgrfX25	RgrfY25	RgrfZ25	RhipPow25	RkneePow25	RanklePow25	RhipAngX35	RhipAngY35	RhipAngZ35	RkneeAngX35	RkneeAngY35	RkneeAngZ35	RankleAngX35	RankleAngY35	RankleAngZ35	RhipMomX35	RhipMomY35	RhipMomZ35	RkneeMomX35	RkneeMomY35	RkneeMomZ35	RankleMomX35	RankleMomY35	RankleMomZ35	RgrfX35	RgrfY35	RgrfZ35	RhipPow35	RkneePow35	RanklePow35	RhipAngX45	RhipAngY45	RhipAngZ45	RkneeAngX45	RkneeAngY45	RkneeAngZ45	RankleAngX45	RankleAngY45	RankleAngZ45	RhipMomX45	RhipMomY45	RhipMomZ45	RkneeMomX45	RkneeMomY45	RkneeMomZ45	RankleMomX45	RankleMomY45	RankleMomZ45	RgrfX45	RgrfY45	RgrfZ45	RhipPow45	RkneePow45	RanklePow45	LhipAngX25	LhipAngY25	LhipAngZ25	LkneeAngX25	LkneeAngY25	LkneeAngZ25	LankleAngX25	LankleAngY25	LankleAngZ25	LhipMomX25	LhipMomY25	LhipMomZ25	LkneeMomX25	LkneeMomY25	LkneeMomZ25	LankleMomX25	LankleMomY25	LankleMomZ25	LgrfX25	LgrfY25	LgrfZ25	LhipPow25	LkneePow25	LanklePow25	LhipAngX35	LhipAngY35	LhipAngZ35	LkneeAngX35	LkneeAngY35	LkneeAngZ35	LankleAngX35	LankleAngY35	LankleAngZ35	LhipMomX35	LhipMomY35	LhipMomZ35	LkneeMomX35	LkneeMomY35	LkneeMomZ35	LankleMomX35	LankleMomY35	LankleMomZ35	LgrfX35	LgrfY35	LgrfZ35	LhipPow35	LkneePow35	LanklePow35	LhipAngX45	LhipAngY45	LhipAngZ45	LkneeAngX45	LkneeAngY45	LkneeAngZ45	LankleAngX45	LankleAngY45	LankleAngZ45	LhipMomX45	LhipMomY45	LhipMomZ45	LkneeMomX45	LkneeMomY45	LkneeMomZ45	LankleMomX45	LankleMomY45	LankleMomZ45	LgrfX45	LgrfY45	LgrfZ45	LhipPow45	LkneePow45	LanklePow45
0	6.658103	2.636962	37.259516	1.977844	-24.421702	14.539155	10.258344	10.389717	12.440433	-0.178114	-0.18566	-1.004991	-0.073887	-0.192221	-0.550503	0.078473	-0.146611	0.182982	-0.224035	0.527207	0.031063	0.371065	0.799578	0.214182	7.010859	0.311202	44.213769	1.370315	-23.724553	16.408626	11.256887	10.880379	13.670772	-0.19529	-0.203731	-1.215475	-0.052041	-0.200528	-0.652158	0.075967	-0.154347	0.190783	-0.209434	0.690945	0.023824	2.540691	0.754566	0.265998	4.599056	3.464669	53.474359	0.439014	-22.757596	17.802037	12.251905	11.259957	14.006923	-0.14434	-0.203615	-1.481168	-0.068397	-0.214415	-0.832458	0.072099	-0.163583	0.219713	-0.16449	0.698625	0.026776	4.518574	0.396304	0.213356	5.572973	-2.218065	34.601902	-0.887072	-12.914284	7.682079	3.799448	8.046996	12.216266	-0.031505	0.194958	-1.085997	0.036426	0.215778	-0.556814	0.033823	0.254738	0.141777	-0.1218	0.581249	-0.042407	0.467032	0.658295	0.472686	6.173354	-3.81623	41.120759	-2.073132	-11.052233	8.311915	3.256786	7.457305	13.740078	0.044364	0.21011	-1.28681	0.103975	0.235571	-0.634287	0.060558	0.279255	0.137612	-0.119721	0.607212	-0.031694	2.298529	0.869607	0.523377	1.533672	-0.518299	38.129653	-2.494417	-9.976238	7.938093	4.575844	7.660302	12.927009	0.243998	0.221916	-1.494593	0.179941	0.258614	-0.761616	0.088752	0.315497	0.140182	-0.072483	0.625185	-0.034342	4.297906	1.153599	0.668745
1	6.477208	3.152803	37.074081	2.128047	-24.29427	15.276102	8.884774	10.323453	11.618004	-0.055064	-0.175573	-1.100234	-0.01716	-0.184917	-0.519458	0.068923	-0.150888	0.13564	-0.222841	1.522036	0.016607	0.86942	1.094408	0.233108	6.775014	1.020006	43.298381	1.472688	-23.553424	17.002752	9.880184	10.726271	12.663841	-0.066733	-0.194692	-1.328702	0.006302	-0.19726	-0.589091	0.061141	-0.169633	0.109597	-0.28409	2.018833	-0.009313	3.341569	1.091874	0.126974	4.276033	3.88693	52.210737	0.507473	-22.80459	18.242508	11.061666	10.891376	13.026215	-0.026144	-0.202413	-1.604518	-0.022763	-0.223404	-0.737243	0.053899	-0.194622	0.113018	-0.298532	2.124257	0.000836	5.332176	1.112551	-0.058865	5.210527	-1.600156	34.289806	-0.810121	-12.543217	8.600164	3.023912	8.017336	11.149999	0.049103	0.187224	-1.158181	0.057868	0.201508	-0.548918	0.018978	0.230448	0.104796	-0.074549	1.594444	-0.054246	0.628418	1.203054	0.574504	5.747771	-2.796679	40.200348	-1.821297	-10.885439	9.265692	2.791465	7.233221	12.53701	0.125586	0.205929	-1.333657	0.108982	0.220623	-0.606699	0.036491	0.248322	0.078162	-0.150894	1.803114	-0.047159	2.436955	1.503061	0.599362	1.252806	0.43723	36.964991	-2.276903	-9.891917	8.957806	4.301302	7.163349	11.788287	0.326538	0.216209	-1.52137	0.170642	0.2415	-0.70808	0.055935	0.272772	0.054183	-0.168355	1.958928	-0.048556	3.536935	2.067778	0.62358
2	6.266103	3.778158	36.724204	2.427934	-24.128268	16.291633	6.982289	10.157607	10.414985	0.086622	-0.175164	-1.245462	0.065997	-0.179286	-0.487672	0.056896	-0.157257	0.083679	-0.184941	3.094394	-0.011208	1.46957	1.303653	0.051019	6.566107	1.924517	42.27519	1.808247	-23.509066	17.954402	7.868473	10.389848	11.110804	0.081351	-0.190262	-1.514219	0.093077	-0.193668	-0.529034	0.040896	-0.185728	0.012997	-0.364913	4.08115	-0.068017	4.114718	1.318376	-0.371459	4.049271	4.484809	50.89621	0.846785	-23.003039	19.142601	9.282479	10.303017	11.45862	0.117461	-0.199315	-1.806236	0.051415	-0.229153	-0.633909	0.029479	-0.227334	-0.022002	-0.49085	4.354322	-0.04646	6.234499	1.53238	-0.852676	4.837673	-0.702547	33.897857	-0.592139	-12.361867	9.842666	1.92267	7.958164	9.580866	0.158815	0.188694	-1.262523	0.095616	0.198641	-0.550332	-0.000778	0.215328	0.062998	0.003607	3.156023	-0.078296	0.898404	1.604912	0.548151	5.415308	-1.52232	39.256142	-1.454987	-10.900697	10.599779	2.043513	6.948226	10.626993	0.219113	0.207328	-1.440084	0.125952	0.212657	-0.594391	0.008379	0.219829	0.00053	-0.193697	3.675998	-0.076562	2.569622	2.000867	0.362811	1.21099	1.684833	35.988469	-1.994486	-10.040388	10.436438	3.838746	6.651084	9.912047	0.414171	0.211606	-1.619206	0.167724	0.223847	-0.661711	0.020486	0.222016	-0.062334	-0.337274	4.063178	-0.072967	2.518004	2.710414	0.082992
3	6.090142	4.442706	36.234751	2.821841	-23.856584	17.591228	4.738774	9.811177	9.059113	0.241139	-0.166302	-1.367239	0.169638	-0.15807	-0.415859	0.035592	-0.149118	0.030479	-0.14711	5.220258	-0.053496	1.951087	1.324368	-0.240437	6.453537	2.922493	41.222316	2.317711	-23.482145	19.296515	5.392579	9.850409	9.229128	0.259528	-0.174757	-1.681442	0.207546	-0.171782	-0.426932	0.01011	-0.182268	-0.085101	-0.472125	6.808002	-0.152737	4.422644	1.288963	-1.021808	4.016892	5.180132	49.566193	1.408452	-23.198192	20.488428	6.992065	9.508344	9.421806	0.303674	-0.184576	-2.008339	0.164311	-0.21583	-0.489238	-0.001278	-0.23996	-0.164215	-0.753497	7.358284	-0.118305	6.739206	1.521	-1.934941	4.527895	0.370834	33.441137	-0.268561	-12.277937	11.368963	0.546153	7.767897	7.711999	0.303898	0.179383	-1.310332	0.148825	0.190637	-0.517937	-0.026777	0.192034	0.020098	0.065461	5.217272	-0.112836	1.075181	1.810881	0.402428	5.256789	-0.113491	38.347809	-1.025447	-11.001991	12.289532	1.011484	6.56088	8.173286	0.348934	0.196463	-1.517472	0.161125	0.198485	-0.553315	-0.024241	0.182054	-0.084381	-0.274819	6.166029	-0.11912	2.358085	2.313246	-0.130062	1.481037	3.083317	35.29136	-1.648281	-10.326654	12.328615	3.119788	6.129154	7.388266	0.532763	0.19709	-1.719177	0.185238	0.199728	-0.588127	-0.013361	0.162699	-0.190226	-0.603318	6.913232	-0.108205	0.859169	2.996797	-0.857792
4	6.004022	5.074559	35.657168	3.260805	-23.426954	19.20347	2.406583	9.232408	7.858456	0.400849	-0.158166	-1.385641	0.284967	-0.13182	-0.273089	0.011217	-0.133514	0.010834	-0.183046	7.712619	-0.099746	2.049736	0.964869	-0.420354	6.493869	3.899454	40.233405	2.940214	-23.348637	21.081249	2.739723	9.086114	7.423647	0.459466	-0.159528	-1.727145	0.340236	-0.141597	-0.239513	-0.02373	-0.164122	-0.132697	-0.662692	9.905691	-0.247086	3.838339	0.669847	-1.30136	4.265647	5.870173	48.265818	2.144824	-23.239037	22.28884	4.386184	8.513348	7.268009	0.521123	-0.168062	-2.104635	0.312695	-0.187427	-0.263252	-0.031746	-0.226941	-0.254336	-1.114535	10.869532	-0.209591	6.236689	0.710854	-2.525814	4.34304	1.513218	32.964069	0.130557	-12.230256	13.183834	-0.996427	7.383662	5.880763	0.485677	0.166834	-1.231293	0.219808	0.188912	-0.419668	-0.053766	0.177048	0.004096	0.03392	7.591388	-0.141715	0.914617	1.658115	0.313454	5.321105	1.320834	37.562386	-0.560195	-11.120964	14.367529	-0.238623	6.037614	5.597471	0.545054	0.1802	-1.464266	0.228837	0.192508	-0.433766	-0.053654	0.15804	-0.136527	-0.454461	9.025827	-0.156613	1.44983	2.132517	-0.415454	2.098773	4.48234	34.977132	-1.212738	-10.640113	14.630218	2.111684	5.558534	4.588259	0.721378	0.177044	-1.714469	0.249206	0.184955	-0.44094	-0.036823	0.124515	-0.279916	-0.996496	10.272063	-0.14391	-1.678066	2.562357	-1.45837
5	6.047529	5.597898	35.05756	3.705611	-22.807805	21.175966	0.197696	8.435701	7.110225	0.565734	-0.153938	-1.298472	0.406393	-0.103162	-0.05535	-0.010179	-0.113731	0.048558	-0.349871	10.2074	-0.131697	1.665573	0.027025	-0.432001	6.727318	4.733991	39.408428	3.614467	-22.993339	23.370544	0.186184	8.113095	6.149159	0.67397	-0.152071	-1.636705	0.484039	-0.108383	0.048448	-0.051838	-0.138463	-0.090915	-0.984749	12.855819	-0.316012	2.37681	-0.958691	-1.029595	4.855781	6.433585	47.051546	3.002958	-22.996813	24.574915	1.709779	7.333407	5.499834	0.753563	-0.15755	-2.046852	0.487304	-0.147108	0.069	-0.05688	-0.190321	-0.237119	-1.59282	14.34724	-0.297637	4.460785	-1.385367	-2.084462	4.324541	2.623961	32.538357	0.589932	-12.195449	15.351398	-2.593416	6.814878	4.47166	0.683667	0.143698	-1.054008	0.305581	0.187424	-0.250151	-0.076566	0.167893	0.038146	-0.142219	9.936838	-0.139112	0.375449	0.992368	0.339829	5.614126	2.682271	37.008905	-0.046884	-11.219019	16.92465	-1.627881	5.37869	3.456528	0.792778	0.147197	-1.279252	0.329116	0.188368	-0.211893	-0.075981	0.148189	-0.116326	-0.781243	11.806993	-0.155142	-0.031617	1.006434	-0.162792	3.050848	5.733561	35.145646	-0.640099	-10.868397	17.383894	0.812504	4.869352	2.088208	0.979354	0.139665	-1.563678	0.36706	0.178861	-0.187666	-0.050169	0.11765	-0.276802	-1.523709	13.644518	-0.15518	-4.726147	0.864164	-1.00621
6	6.250086	5.947108	34.5042	4.118641	-22.003934	23.556903	-1.753237	7.493828	7.026462	0.729574	-0.158071	-1.195208	0.522936	-0.077812	0.210492	-0.023851	-0.096645	0.154537	-0.651812	12.349824	-0.144336	0.930367	-1.538689	-0.535033	7.17958	5.321121	38.836557	4.274019	-22.354958	26.201685	-2.078168	6.999704	5.751352	0.885509	-0.162528	-1.52288	0.626308	-0.083389	0.406361	-0.067106	-0.12017	0.052943	-1.4333	15.205231	-0.336469	0.459974	-3.708034	-0.785092	5.805149	6.75902	45.995608	3.912089	-22.407487	27.374641	-0.831502	6.026234	4.57571	0.983406	-0.166358	-1.922547	0.669832	-0.110167	0.482764	-0.073244	-0.151603	-0.084448	-2.162009	17.227023	-0.354602	1.78318	-4.913133	-1.238514	4.487587	3.624221	32.251328	1.113969	-12.173593	17.965118	-4.157851	6.132418	3.819151	0.862118	0.11003	-0.913477	0.397386	0.184709	-0.035741	-0.092058	0.165019	0.136033	-0.455154	11.89626	-0.095532	-0.364496	-0.299454	0.241103	6.099523	3.896343	36.797485	0.570635	-11.279644	20.061379	-3.100897	4.619623	2.257137	1.031963	0.095179	-1.118306	0.44699	0.182347	0.084498	-0.090131	0.150812	-0.000806	-1.241095	14.054137	-0.09921	-1.579226	-1.400011	0.219916	4.26939	6.723015	35.863735	0.130118	-10.932021	20.650548	-0.752325	4.00056	0.477375	1.255145	0.080251	-1.392607	0.520297	0.1778	0.150227	-0.058673	0.138844	-0.146097	-2.133417	16.452662	-0.126074	-7.575159	-2.433876	0.081108
7	6.639445	6.085685	34.056214	4.449071	-21.067989	26.343353	-3.355382	6.505761	7.676201	0.90192	-0.170687	-1.164267	0.629404	-0.057213	0.50362	-0.030754	-0.084867	0.315557	-1.059149	13.994335	-0.134114	-0.045285	-3.614563	-1.052846	7.867078	5.597503	38.573703	4.834754	-21.462197	29.525275	-3.930006	5.854663	6.351627	1.09227	-0.191656	-1.509581	0.759898	-0.068112	0.804057	-0.072947	-0.113848	0.270684	-1.966666	16.849744	-0.299162	-1.663333	-7.243197	-1.306363	7.072906	6.784833	45.186243	4.76703	-21.515294	30.659219	-3.073196	4.70897	4.741805	1.207212	-0.198101	-1.882154	0.841869	-0.085668	0.940034	-0.085921	-0.129479	0.1767	-2.763267	19.278856	-0.360257	-1.225753	-9.411296	-1.297142	4.821561	4.479833	32.185818	1.719554	-12.170395	21.062771	-5.615529	5.421136	4.088511	0.999894	0.069859	-0.918449	0.486972	0.181749	0.204499	-0.102343	0.167045	0.288127	-0.869024	13.307264	-0.021552	-1.213237	-2.265535	-0.341847	6.715158	4.939424	37.004851	1.364522	-11.298766	23.787318	-4.61076	3.809569	2.26103	1.206575	0.032613	-1.144132	0.562548	0.174773	0.420109	-0.101712	0.159548	0.193964	-1.781388	15.594178	-0.005388	-3.04348	-5.044519	-0.127716	5.63252	7.423123	37.116254	1.144125	-10.823719	24.435102	-2.526319	2.960981	0.110754	1.477126	0.007908	-1.396647	0.672169	0.177631	0.528179	-0.073628	0.16929	0.094653	-2.740974	18.391324	-0.066795	-10.07525	-7.083067	0.345595
8	7.241025	6.009307	33.760108	4.63661	-20.092442	29.430911	-4.542484	5.572659	8.970603	1.098438	-0.197824	-1.217665	0.731441	-0.044516	0.814655	-0.030754	-0.079835	0.508049	-1.508368	15.221608	-0.084632	-1.321112	-5.870298	-2.026914	8.792253	5.548097	38.626363	5.19999	-20.427083	33.160669	-5.283576	4.803018	7.830791	1.308048	-0.246945	-1.611824	0.891426	-0.064093	1.223451	-0.071957	-0.118685	0.520567	-2.502388	17.993345	-0.18859	-4.004818	-10.789219	-2.685575	8.544438	6.526327	44.71771	5.431174	-20.470634	34.288382	-4.86361	3.544993	5.972066	1.442998	-0.258879	-1.986042	1.001214	-0.078274	1.419119	-0.098203	-0.130785	0.488503	-3.320473	20.664717	-0.288008	-4.304455	-13.924198	-2.813086	5.29631	5.205552	32.39654	2.419719	-12.183316	24.547604	-6.891021	4.735554	5.206398	1.114247	0.024279	-1.045039	0.578958	0.178514	0.474349	-0.109401	0.170548	0.46935	-1.339513	14.281425	0.077151	-2.223529	-4.826084	-1.449856	7.395237	5.841406	37.635768	2.371013	-11.272041	27.935494	-6.077235	2.989523	3.392859	1.327949	-0.033571	-1.338483	0.678248	0.167353	0.791227	-0.115626	0.167344	0.426292	-2.346723	16.622466	0.113799	-4.573877	-9.494423	-1.491381	7.001874	7.921078	38.772774	2.391825	-10.609529	28.605099	-4.384311	1.85085	0.985887	1.627161	-0.06763	-1.610632	0.80922	0.174826	0.936118	-0.101395	0.189031	0.385269	-3.291225	19.606399	0.020507	-11.786071	-12.423602	-1.066931
9	8.056143	5.733709	33.651207	4.643837	-19.166994	32.625804	-5.293269	4.773585	10.717889	1.293037	-0.241881	-1.306167	0.82645	-0.039762	1.132704	-0.024102	-0.078862	0.712262	-1.913234	16.206712	0.008566	-2.854609	-7.823418	-3.218176	9.919899	5.199297	38.943195	5.302488	-19.382181	36.829552	-6.105978	3.942842	9.925141	1.509888	-0.330104	-1.750131	1.017874	-0.06885	1.644336	-0.064851	-0.127603	0.773619	-2.929785	18.922442	-0.010976	-6.222709	-13.370558	-4.453698	10.033508	6.074188	44.6551	5.786896	-19.458503	38.010876	-6.083873	2.68115	8.042965	1.677538	-0.354325	-2.169388	1.146054	-0.089048	1.898166	-0.105078	-0.149933	0.804336	-3.731468	21.690222	-0.125034	-6.998173	-17.231208	-5.242898	5.867311	5.828676	32.886172	3.207992	-12.185341	28.194018	-7.924207	4.093745	6.922226	1.222801	-0.027748	-1.191838	0.678872	0.173093	0.77466	-0.113622	0.172058	0.658672	-1.798924	15.063984	0.195747	-3.255306	-7.571909	-2.77019	8.08007	6.635183	38.591001	3.549367	-11.174618	32.184178	-7.40037	2.197188	5.323034	1.431327	-0.105967	-1.550148	0.806223	0.15707	1.197498	-0.130929	0.167991	0.662731	-2.855874	17.479877	0.254916	-5.744404	-13.796909	-3.376145	8.171843	8.376828	40.502316	3.781432	-10.366313	32.883817	-6.136332	0.822238	2.828218	1.736051	-0.152095	-1.881047	0.945872	0.161435	1.38011	-0.135086	0.186903	0.671038	-3.725986	20.467186	0.150809	-12.404332	-17.425962	-3.601339
