Time	L.ASISX	L.ASISY	L.ASISZ	L.Heel.BottomX	L.Heel.BottomY	L.Heel.BottomZ	L.Heel.LateralX	L.Heel.LateralY	L.Heel.LateralZ	L.Heel.TopX	L.Heel.TopY	L.Heel.TopZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z	L.PSISX	L.PSISY	L.PSISZ	L.Shank.Bottom.LateralX	L.Shank.Bottom.LateralY	L.Shank.Bottom.LateralZ	L.Shank.Bottom.MedialX	L.Shank.Bottom.MedialY	L.Shank.Bottom.MedialZ	L.Shank.Top.LateralX	L.Shank.Top.LateralY	L.Shank.Top.LateralZ	L.Shank.Top.MedialX	L.Shank.Top.MedialY	L.Shank.Top.MedialZ	L.Thigh.Bottom.LateralX	L.Thigh.Bottom.LateralY	L.Thigh.Bottom.LateralZ	L.Thigh.Bottom.MedialX	L.Thigh.Bottom.MedialY	L.Thigh.Bottom.MedialZ	L.Thigh.Top.LateralX	L.Thigh.Top.LateralY	L.Thigh.Top.LateralZ	L.Thigh.Top.MedialX	L.Thigh.Top.MedialY	L.Thigh.Top.MedialZ	R.ASISX	R.ASISY	R.ASISZ	R.Heel.BottomX	R.Heel.BottomY	R.Heel.BottomZ	R.Heel.LateralX	R.Heel.LateralY	R.Heel.LateralZ	R.Heel.TopX	R.Heel.TopY	R.Heel.TopZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	R.PSISX	R.PSISY	R.PSISZ	R.Shank.Bottom.LateralX	R.Shank.Bottom.LateralY	R.Shank.Bottom.LateralZ	R.Shank.Bottom.MedialX	R.Shank.Bottom.MedialY	R.Shank.Bottom.MedialZ	R.Shank.Top.LateralX	R.Shank.Top.LateralY	R.Shank.Top.LateralZ	R.Shank.Top.MedialX	R.Shank.Top.MedialY	R.Shank.Top.MedialZ	R.Thigh.Bottom.LateralX	R.Thigh.Bottom.LateralY	R.Thigh.Bottom.LateralZ	R.Thigh.Bottom.MedialX	R.Thigh.Bottom.MedialY	R.Thigh.Bottom.MedialZ	R.Thigh.Top.LateralX	R.Thigh.Top.LateralY	R.Thigh.Top.LateralZ	R.Thigh.Top.MedialX	R.Thigh.Top.MedialY	R.Thigh.Top.MedialZ
0.0	2420.26	992.218	963.925	2248.017	36.936	1112.201	2269.7	54.549	1068.701	2260.437	83.4	1115.907	2359.488	1050.856	933.803	2478.431	44.532	1114.677	2424.946	47.93	1016.781	2253.726	1026.273	1048.6	2363.526	163.191	1037.409	2322.745	180.976	1063.015	2381.952	237.127	1009.386	2341.94	259.276	1037.721	2421.594	598.38	950.747	2377.955	588.611	1009.424	2370.088	694.2	932.033	2329.579	685.857	987.148	2428.555	966.182	1175.666	1909.182	495.394	1138.246	1921.447	466.961	1184.315	1956.58	484.002	1143.7	2380.616	1041.556	1210.094	1916.528	297.092	1210.075	1935.311	272.989	1104.49	2262.562	1019.2	1122.966	2057.945	432.939	1196.581	2055.391	472.908	1160.329	2136.615	450.048	1208.505	2133.488	489.289	1171.738	2390.466	543.565	1220.158	2340.022	534.566	1166.274	2355.98	648.042	1231.687	2306.586	637.987	1182.76
0.007	2418.855	990.269	964.057	2224.397	37.268	1111.627	2246.146	54.658	1068.012	2236.889	83.594	1115.158	2356.676	1048.338	934.112	2454.688	44.171	1114.18	2400.64	47.838	1015.818	2252.197	1025.132	1049.437	2343.525	162.582	1036.314	2302.772	181.486	1061.121	2364.733	235.664	1008.512	2324.743	258.944	1035.826	2414.077	595.242	949.953	2369.808	585.931	1007.965	2364.582	692.199	931.529	2323.686	684.418	986.345	2427.458	964.619	1175.015	1923.538	492.772	1140.313	1937.278	465.218	1186.385	1971.161	482.244	1144.94	2377.468	1039.503	1210.97	1935.576	295.524	1214.322	1952.628	270.517	1108.362	2260.623	1017.431	1123.747	2073.937	431.691	1197.939	2071.067	471.816	1161.888	2152.599	449.04	1209.662	2149.244	488.489	1173.161	2403.573	543.311	1221.253	2352.636	532.309	1168.092	2365.203	646.439	1233.347	2315.817	634.595	1184.834
0.013	2418.054	988.939	964.259	2200.811	37.668	1111.174	2222.61	54.926	1067.612	2213.396	84.03	1114.756	2353.99	1046.637	934.715	2430.858	43.932	1113.85	2377.036	47.675	1015.433	2251.027	1024.501	1049.805	2322.781	162.122	1035.421	2282.385	182.351	1060.237	2346.171	234.332	1007.587	2306.728	258.912	1034.814	2405.936	592.348	948.998	2360.743	583.595	1006.543	2358.523	690.546	930.869	2317.139	683.221	985.18	2425.188	963.097	1175.694	1937.602	488.983	1142.418	1953.014	462.209	1188.502	1985.576	479.436	1146.328	2374.866	1038.247	1211.663	1956.216	292.292	1216.861	1970.659	267.118	1111.816	2258.949	1016.317	1124.153	2089.835	429.935	1199.331	2086.487	470.735	1163.308	2168.45	447.859	1210.62	2164.511	487.63	1174.551	2416.75	544.553	1222.161	2366.122	531.614	1169.939	2374.555	646.22	1234.858	2324.991	632.331	1187.102
0.02	2416.767	987.159	965.015	2177.301	38.305	1111.021	2199.178	55.536	1067.508	2190.177	84.668	1114.685	2352.024	1045.396	935.274	2407.228	43.647	1113.61	2353.592	47.462	1015.372	2250.008	1024.381	1049.928	2301.649	162.004	1034.793	2261.852	183.196	1059.534	2327.036	233.356	1006.845	2288.301	258.891	1033.982	2396.531	590.04	947.896	2350.673	581.969	1004.937	2351.791	689.492	930.142	2309.795	682.923	984.084	2423.168	962.464	1176.537	1951.338	483.921	1144.444	1968.557	458.381	1190.938	1999.634	475.468	1147.697	2372.398	1037.743	1212.372	1976.84	288.369	1220.014	1989.297	262.751	1114.865	2257.342	1016.061	1124.297	2105.678	427.498	1200.781	2101.591	468.309	1164.615	2184.035	446.572	1211.53	2179.313	486.587	1175.842	2429.775	547.417	1222.914	2379.002	532.384	1171.364	2383.882	647.272	1236.181	2333.871	631.13	1189.6
0.027	2415.681	985.92	965.523	2153.893	38.982	1110.989	2175.719	56.226	1067.397	2166.902	85.404	1114.645	2350.654	1044.816	935.76	2383.418	43.386	1113.453	2329.943	47.302	1015.148	2249.246	1024.923	1049.856	2280.616	162.09	1034.491	2240.931	184.239	1059.299	2307.355	232.852	1006.366	2269.225	259.637	1033.439	2386.375	588.376	946.802	2339.715	581.101	1003.536	2344.492	689.062	929.377	2301.574	683.407	982.876	2421.449	962.43	1177.35	1964.879	477.616	1147.041	1983.819	452.8	1192.959	2013.295	470.455	1149.06	2370.204	1037.836	1213.14	1998.12	283.491	1223.168	2008.531	257.438	1117.642	2256.239	1016.568	1124.219	2121.365	425.026	1201.428	2116.341	465.53	1165.859	2199.397	445.217	1212.309	2193.676	485.365	1176.925	2442.38	551.684	1223.487	2391.377	534.347	1172.849	2392.568	649.903	1237.175	2342.278	631.113	1192.028
0.033	2415.373	985.154	966.183	2130.44	39.906	1111.034	2152.334	57.153	1067.347	2143.683	86.284	1114.665	2350.115	1044.933	936.24	2359.589	43.235	1113.258	2306.401	47.111	1015.088	2249.029	1026.003	1049.695	2258.403	162.557	1034.134	2219.515	185.778	1058.646	2287.018	232.836	1006.119	2249.498	260.376	1033.142	2375.188	587.217	946.635	2327.691	581.17	1002.436	2336.347	689.079	928.77	2293.175	684.636	982.147	2420.232	962.96	1178.039	1978.272	470.105	1149.089	1998.868	445.943	1194.569	2027.144	465.56	1149.219	2368.524	1038.469	1213.759	2019.055	277.464	1225.264	2028.262	251.199	1118.962	2255.383	1017.866	1123.985	2136.656	421.529	1202.276	2130.575	462.334	1166.864	2214.433	443.747	1212.828	2207.506	484.047	1177.757	2454.276	557.235	1223.969	2403.3	537.554	1174.255	2400.901	653.561	1237.752	2350.347	632.305	1194.141
0.04	2415.4	984.841	966.763	2106.935	41.591	1111.118	2128.894	58.426	1067.22	2120.495	87.784	1114.503	2350.286	1045.914	936.615	2335.763	43.066	1113.023	2282.605	47.13	1014.99	2249.057	1027.833	1049.41	2236.415	163.557	1033.947	2197.829	187.347	1058.637	2266.219	233.308	1005.966	2229.284	261.509	1033.116	2363.204	586.703	946.305	2315.27	582.04	1001.992	2327.773	689.764	928.553	2284.479	686.712	981.982	2419.335	964.125	1178.456	1991.219	460.937	1150.453	2013.592	437.802	1195.934	2040.653	458.102	1149.889	2367.383	1039.786	1214.244	2040.32	269.959	1226.376	2048.878	244.107	1120.836	2254.996	1019.713	1123.77	2151.786	417.523	1202.848	2144.454	458.497	1167.726	2228.963	442.264	1213.144	2220.668	482.525	1178.349	2465.451	563.877	1224.534	2414.39	541.863	1175.543	2408.564	658.235	1238.432	2357.93	634.53	1195.859
0.047	2415.405	985.256	967.209	2083.475	44.048	1110.723	2105.652	60.444	1066.715	2097.54	90.177	1113.885	2350.648	1047.613	936.822	2311.785	43.043	1112.893	2258.948	46.97	1014.969	2249.432	1030.196	1049.148	2214.211	164.896	1033.725	2176.181	189.283	1058.423	2245.179	234.271	1005.96	2208.96	262.673	1033.36	2350.491	586.966	946.355	2302.318	583.92	1002.025	2318.821	691.179	928.791	2275.613	689.577	982.265	2419.066	965.987	1178.602	2004.058	450.896	1151.409	2027.904	428.69	1197.064	2053.384	449.803	1150.241	2366.808	1041.751	1214.612	2062.126	262.611	1228.405	2070.246	236.321	1122.401	2254.906	1022.212	1123.569	2166.767	413.15	1203.127	2157.868	454.015	1168.261	2243.135	440.592	1213.268	2233.329	480.695	1178.597	2475.723	571.332	1224.69	2425.257	547.195	1176.588	2415.483	663.599	1238.842	2365.252	637.476	1197.238
0.053	2415.581	986.131	967.378	2060.082	47.326	1110.255	2082.543	62.854	1066.157	2074.713	93.124	1113.026	2352.374	1050.116	936.988	2287.569	43.069	1112.596	2235.338	46.866	1014.944	2249.883	1033.121	1048.963	2192.207	167.065	1033.349	2154.198	191.976	1057.9	2224.077	236.086	1005.85	2187.265	265.58	1032.681	2337.345	588.069	946.922	2289.171	586.815	1002.599	2309.552	693.343	929.37	2266.736	693.339	983.21	2419.677	968.512	1178.114	2017.077	439.428	1152.355	2042.073	418.665	1197.595	2066.089	440.495	1150.23	2366.663	1044.463	1214.718	2084.159	254.041	1229.313	2092.887	227.352	1124.349	2255.122	1025.42	1123.507	2181.65	408.334	1203.106	2171.008	448.764	1168.347	2256.926	438.637	1213.113	2245.329	478.412	1178.568	2485.303	579.387	1224.808	2435.206	553.198	1177.462	2423.429	669.622	1238.356	2372.439	641.707	1198.07
0.06	2415.939	987.63	967.325	2036.949	51.319	1109.766	2059.515	66.051	1065.429	2052.272	96.952	1111.802	2354.465	1053.253	937.091	2263.904	43.284	1112.62	2211.595	46.962	1014.748	2250.87	1036.692	1048.851	2170.103	170.063	1032.879	2132.229	195.028	1057.714	2202.753	238.8	1005.637	2167.041	268.241	1032.814	2324.042	590.06	947.808	2275.96	590.933	1003.648	2300.328	696.279	930.132	2257.574	698.166	984.251	2419.063	971.837	1178.497	2030.246	427.001	1152.786	2056.703	408.336	1198.071	2079.094	430.033	1150.264	2367.402	1047.958	1214.713	2106.405	244.912	1229.858	2114.731	218.812	1123.874	2255.881	1029.12	1123.435	2196.364	402.954	1202.934	2183.862	443.066	1168.141	2270.306	436.491	1212.712	2256.913	475.766	1178.396	2494.302	587.745	1224.665	2444.634	559.769	1177.974	2429.9	676.185	1238.383	2379.605	647.004	1198.265
0.067	2416.73	989.821	967.062	2014.233	56.314	1108.953	2036.955	70.039	1064.473	2030.415	101.742	1110.332	2357.103	1056.729	937.097	2239.991	43.49	1112.396	2188.186	47.14	1014.664	2251.896	1040.656	1048.859	2148.35	173.884	1032.208	2111.057	199.131	1057.326	2182.708	243.241	1005.636	2146.24	272.128	1032.821	2310.789	593.025	949.057	2262.921	595.926	1004.822	2291.171	700.065	931.111	2249.029	703.763	985.43	2420.014	975.967	1177.862	2043.729	413.406	1152.745	2071.518	394.543	1197.635	2092.245	418.757	1150.17	2368.481	1052.311	1214.406	2129.366	235.235	1230.139	2137.589	209.337	1123.928	2256.857	1033.343	1123.57	2211.028	397.029	1202.16	2196.673	436.526	1167.814	2283.391	433.823	1212.114	2268.164	472.585	1177.884	2503.123	596.357	1223.906	2452.871	566.866	1178.579	2436.214	683.013	1238.254	2385.897	651.927	1198.534
0.073	2417.593	992.429	966.513	1992.014	62.532	1107.828	2014.805	74.951	1063.443	2009.102	107.64	1108.712	2360.12	1060.625	937.284	2216.239	43.674	1112.17	2164.809	47.387	1014.459	2253.417	1044.929	1048.98	2127.07	178.731	1031.544	2090.057	203.92	1056.771	2162.194	247.824	1005.649	2125.829	276.754	1032.916	2297.849	596.956	950.252	2250.053	601.956	1006.067	2282.453	704.772	932.121	2240.682	710.154	986.679	2421.49	980.822	1177.031	2057.576	397.819	1153.041	2086.548	381.261	1197.04	2105.82	406.304	1149.488	2369.834	1057.198	1213.92	2151.897	225.332	1229.665	2163.36	200.071	1123.663	2257.997	1038.195	1123.754	2225.72	390.559	1201.568	2209.43	429.363	1167.237	2296.291	430.787	1211.336	2279.009	468.703	1177.193	2511.065	604.801	1223.441	2462.075	574.266	1177.794	2442.337	690.132	1237.994	2392.698	658.457	1198.174
0.08	2419.15	995.765	965.524	1969.977	70.093	1107.126	1993.398	80.806	1062.309	1988.569	114.398	1107.141	2364.776	1064.135	938.076	2192.614	43.301	1112.513	2141.828	47.818	1014.267	2255.129	1049.546	1049.262	2106.5	184.151	1030.954	2069.236	209.477	1056.275	2142.132	253.37	1005.539	2105.944	282.224	1032.994	2285.231	601.921	951.341	2237.742	608.837	1007.266	2274.005	710.223	933.036	2232.924	717.211	987.706	2423.33	986.154	1176.014	2072.034	382.289	1152.068	2101.944	367.201	1196.133	2119.84	393.438	1148.447	2371.51	1062.411	1213.389	2175.126	215.158	1228.966	2187.95	190.327	1123.05	2259.767	1043.268	1123.995	2240.511	383.688	1200.507	2221.85	421.772	1166.337	2308.865	427.368	1210.485	2289.744	464.438	1176.313	2518.445	613.235	1222.648	2469.798	581.795	1177.278	2448.101	697.371	1237.658	2399.106	665.136	1197.554
0.087	2420.434	999.101	964.755	1949.029	78.728	1106.532	1972.793	87.705	1061.276	1968.968	122.343	1105.435	2367.66	1068.661	938.391	2169.598	44.406	1110.804	2119.124	48.374	1014.097	2257.078	1054.421	1049.506	2086.88	190.441	1030.161	2050.175	215.663	1055.701	2122.725	259.662	1005.299	2086.832	288.547	1032.955	2273.229	607.55	952.312	2225.982	616.489	1008.189	2265.793	716.528	933.737	2225.261	725.404	988.563	2425.573	991.931	1174.804	2086.545	366.478	1150.459	2118.097	352.547	1194.878	2134.158	379.725	1147.283	2374.032	1068.751	1212.789	2199.199	204.705	1228.046	2212.146	180.107	1122.296	2261.865	1048.616	1124.255	2255.322	376.355	1199.529	2234.762	413.548	1165.44	2320.638	423.756	1210.153	2300.573	459.414	1175.139	2525.062	621.419	1221.818	2476.759	589.575	1176.523	2453.61	704.604	1237.088	2405.054	672.034	1196.816
0.093	2422.103	1002.737	964.092	1929.015	88.569	1105.291	1953.222	95.552	1060.362	1950.768	131.103	1103.942	2370.812	1073.162	938.74	2146.151	44.134	1111.195	2096.942	49.155	1013.91	2259.377	1059.464	1049.643	2068.101	197.301	1029.199	2031.619	222.466	1055.451	2104.327	266.661	1005.183	2068.249	295.487	1032.964	2261.807	613.94	953.121	2214.949	624.772	1008.91	2258.601	722.86	934.383	2218.372	733.653	989.197	2427.899	997.869	1173.584	2103.13	349.133	1149.3	2134.615	336.81	1192.969	2149.5	365.249	1145.791	2376.656	1074.964	1212.365	2223.668	194.163	1226.718	2238.012	170.498	1121.007	2264.276	1054.406	1124.328	2270.362	368.608	1198.133	2248.416	404.432	1163.749	2333.005	419.522	1208.88	2311.028	454.185	1173.914	2531.075	629.464	1220.891	2483.136	597.149	1175.327	2458.567	711.78	1236.655	2410.469	679.049	1196.098
0.1	2424.07	1006.553	963.545	1910.015	99.681	1104.436	1934.469	104.901	1059.32	1934.115	140.712	1102.583	2374.269	1077.731	938.886	2123.465	44.228	1110.829	2075.294	50.169	1013.606	2262.009	1064.776	1049.592	2050.518	205.03	1028.366	2014.275	229.87	1055.142	2086.801	274.383	1004.822	2051.016	302.958	1033.2	2251.063	621.102	953.574	2204.59	633.549	1009.454	2251.855	729.883	934.673	2212.122	742.257	989.389	2430.318	1004.084	1172.593	2119.852	331.552	1147.29	2151.772	321.155	1191.201	2165.29	350.586	1143.999	2379.286	1081.083	1212.035	2248.538	184.069	1225.62	2264.364	160.939	1119.669	2267.05	1060.266	1124.255	2285.554	360.57	1196.525	2261.787	395.128	1162.244	2345.373	414.891	1207.626	2321.515	448.203	1172.401	2536.347	637.229	1219.796	2488.095	604.624	1174.524	2463.109	718.841	1236.231	2415.311	686.046	1195.447
0.107	2426.367	1010.387	963.279	1892.745	111.287	1104.159	1917.586	114.649	1058.883	1918.905	150.976	1101.796	2377.492	1082.961	939.207	2101.363	44.319	1110.421	2054.168	51.275	1013.414	2264.833	1070.195	1049.416	2034.026	212.926	1027.098	1998.393	237.726	1054.787	2070.417	282.556	1004.469	2034.991	310.911	1033.474	2241.228	628.515	953.727	2195.088	642.877	1009.374	2245.924	737.296	934.635	2206.459	751.079	989.297	2432.585	1010.221	1171.789	2137.44	313.945	1144.981	2169.571	305.011	1189.05	2181.818	335.306	1142.021	2381.928	1087.262	1211.822	2273.773	173.874	1224.259	2291.546	151.855	1118.006	2269.95	1066.443	1124.079	2301.438	352.169	1194.639	2275.521	385.577	1160.346	2357.784	409.785	1206.068	2332.15	442.014	1170.806	2540.795	644.586	1218.708	2492.601	612.086	1173.291	2467.064	725.574	1235.857	2419.529	692.875	1194.757
0.113	2428.961	1014.133	963.289	1876.569	123.951	1104.176	1901.95	125.235	1058.682	1905.401	161.776	1101.264	2380.881	1088.2	939.742	2079.788	44.438	1110.013	2033.484	52.759	1012.992	2268.025	1075.646	1049.008	2018.756	221.288	1025.848	1983.618	245.64	1054.763	2054.97	291.146	1003.835	2020.198	319.193	1033.837	2231.988	636.366	953.59	2186.429	652.406	1009.275	2240.423	744.813	934.274	2201.563	760.019	988.849	2434.802	1016.195	1171.208	2156.036	295.618	1142.43	2188.163	288.476	1186.701	2198.392	319.772	1139.861	2384.257	1093.043	1211.469	2299.728	163.56	1222.03	2319.316	143.054	1115.847	2272.905	1072.537	1123.572	2317.09	343.641	1192.951	2289.384	375.331	1158.393	2370.571	404.209	1204.168	2342.697	434.857	1169.008	2544.349	651.414	1217.477	2496.153	619.098	1171.941	2470.488	731.991	1235.441	2423.182	699.376	1194.138
0.12	2431.82	1017.64	963.626	1862.327	137.113	1104.375	1887.563	136.426	1058.619	1893.128	173.381	1100.598	2384.595	1092.925	940.206	2058.966	44.934	1109.539	2012.951	54.399	1012.62	2271.302	1081.001	1048.511	2004.486	229.888	1024.014	1970.262	253.639	1054.425	2040.568	299.93	1002.847	2006.641	327.471	1034.264	2223.604	644.215	953.074	2178.615	661.885	1008.72	2235.576	752.442	933.682	2197.461	768.961	988.339	2436.84	1022.072	1170.895	2174.892	277.164	1140.059	2207.728	271.732	1184.091	2216.025	303.603	1137.589	2386.198	1099.0	1211.171	2326.037	153.464	1219.913	2347.967	134.498	1114.894	2275.942	1078.516	1123.023	2333.029	334.771	1191.152	2303.655	364.822	1156.448	2382.74	398.329	1202.569	2353.303	427.393	1167.252	2547.14	657.919	1216.082	2498.591	625.775	1170.672	2473.233	738.056	1235.044	2426.259	705.416	1193.469
0.127	2434.916	1020.847	964.312	1849.8	151.311	1104.804	1874.533	148.334	1058.523	1882.821	185.412	1099.884	2388.649	1097.031	940.492	2039.084	45.851	1108.817	1992.651	56.658	1012.191	2274.562	1086.178	1047.887	1991.347	238.4	1021.811	1957.987	261.675	1053.702	2027.348	308.809	1001.408	1994.317	335.839	1034.386	2215.981	652.184	952.125	2171.707	671.229	1007.984	2231.253	759.951	932.784	2194.031	777.661	987.982	2437.01	1027.735	1170.367	2194.833	258.58	1137.294	2227.703	254.697	1181.594	2234.486	287.333	1135.249	2387.573	1104.916	1210.785	2353.17	144.224	1217.695	2376.84	127.032	1112.625	2278.943	1084.223	1122.335	2349.215	325.578	1189.28	2318.242	354.0	1154.431	2395.011	392.056	1200.976	2364.059	419.318	1165.491	2548.991	663.595	1214.9	2500.216	631.583	1169.468	2475.176	743.79	1234.652	2428.459	711.223	1192.811
0.133	2438.165	1023.677	965.158	1838.831	166.56	1104.833	1861.479	161.099	1058.518	1874.214	198.132	1098.815	2392.924	1100.867	940.762	2020.264	47.696	1107.751	1972.805	59.869	1011.722	2277.892	1091.1	1047.14	1979.311	246.921	1019.233	1946.872	269.668	1052.534	2013.665	317.457	998.946	1983.127	344.086	1034.003	2209.36	660.008	951.582	2165.68	680.315	1006.901	2227.539	767.336	931.741	2191.375	786.031	987.022	2438.404	1032.579	1170.272	2215.594	239.98	1134.543	2248.596	237.402	1178.963	2253.609	270.897	1133.167	2390.267	1109.629	1211.015	2380.401	134.682	1215.16	2405.997	120.134	1110.27	2281.754	1089.47	1121.645	2365.634	316.339	1187.472	2333.862	342.819	1151.901	2407.482	385.298	1199.427	2375.427	410.563	1163.83	2549.987	668.705	1213.809	2500.944	636.856	1168.61	2476.356	748.936	1234.27	2429.4	716.937	1192.238
0.14	2441.445	1026.168	966.05	1829.317	182.593	1104.197	1850.43	174.718	1057.594	1866.924	211.346	1097.002	2397.601	1104.288	941.091	2002.312	50.599	1106.322	1953.768	64.203	1010.824	2280.956	1095.718	1046.28	1968.041	255.743	1016.446	1936.549	277.911	1051.13	2002.428	326.491	997.059	1972.841	352.418	1033.438	2203.511	667.582	950.089	2160.494	688.978	1005.651	2224.584	774.388	930.435	2189.362	793.946	986.205	2440.204	1037.386	1170.516	2237.795	220.717	1132.639	2270.274	220.132	1176.684	2273.262	254.418	1131.542	2392.065	1114.554	1210.852	2408.52	125.884	1212.39	2435.151	113.879	1107.684	2284.292	1094.331	1120.873	2382.463	306.914	1185.542	2348.953	331.223	1150.283	2420.017	378.274	1197.852	2386.613	401.579	1162.096	2550.155	673.121	1213.057	2500.58	641.353	1168.32	2476.934	753.628	1233.571	2429.811	721.998	1191.37
0.147	2444.612	1028.606	966.991	1821.21	198.905	1103.156	1840.606	188.565	1056.303	1860.807	224.779	1094.396	2402.041	1107.409	941.326	1985.943	54.971	1104.146	1935.293	69.685	1009.752	2283.889	1099.934	1045.389	1956.724	265.178	1013.33	1927.296	286.336	1050.158	1991.392	335.964	994.92	1963.267	361.0	1033.121	2198.424	674.848	948.751	2156.01	697.281	1004.365	2222.156	781.169	929.113	2187.808	801.417	985.22	2441.444	1041.537	1170.921	2260.583	202.258	1129.89	2292.665	203.116	1174.674	2293.823	237.978	1129.566	2393.749	1119.279	1210.731	2436.85	117.301	1209.273	2464.349	108.201	1105.041	2286.522	1098.727	1120.062	2399.562	297.39	1184.019	2363.804	319.619	1149.663	2432.694	370.798	1196.494	2398.194	392.088	1160.469	2549.472	676.471	1212.237	2499.46	644.574	1168.163	2476.787	757.595	1232.602	2429.406	726.121	1190.517
0.153	2447.442	1031.041	967.784	1814.427	215.337	1102.108	1831.239	202.993	1054.739	1854.948	238.429	1091.554	2406.049	1110.446	941.434	1970.392	60.179	1101.564	1917.778	76.835	1007.922	2286.4	1103.818	1044.386	1946.875	274.562	1010.663	1918.736	294.941	1048.849	1981.184	345.655	992.98	1954.411	369.951	1032.568	2194.044	681.828	947.609	2152.285	705.107	1003.09	2220.103	787.687	928.087	2186.646	808.564	984.442	2443.173	1045.132	1171.714	2283.908	184.241	1128.104	2316.004	186.291	1172.872	2314.979	221.939	1128.223	2394.968	1123.254	1210.524	2466.728	110.325	1205.744	2493.208	103.024	1102.069	2288.511	1102.514	1118.981	2416.834	287.774	1182.679	2379.762	308.294	1149.001	2445.477	363.057	1195.45	2409.144	382.332	1160.038	2548.066	678.832	1211.239	2497.44	646.769	1168.066	2476.094	760.862	1230.929	2428.251	729.048	1189.709
0.16	2450.027	1033.52	968.397	1807.714	231.239	1100.627	1823.115	217.031	1053.157	1849.17	252.154	1088.615	2409.177	1113.472	941.532	1955.244	67.056	1098.966	1901.733	85.148	1005.933	2288.661	1107.274	1043.417	1937.406	284.233	1007.869	1910.2	304.0	1047.099	1972.074	355.301	991.015	1946.37	378.984	1031.696	2190.51	688.534	946.378	2149.371	712.394	1002.434	2218.405	793.961	927.334	2185.759	815.232	984.048	2443.891	1048.249	1172.035	2307.883	167.066	1127.373	2340.053	170.329	1171.34	2336.553	206.377	1127.207	2395.977	1126.814	1210.513	2494.458	101.997	1202.683	2521.434	98.508	1098.728	2290.204	1105.819	1118.184	2434.351	278.381	1181.505	2396.087	296.734	1147.492	2458.494	355.079	1194.547	2421.17	372.509	1159.178	2545.866	680.023	1210.111	2494.547	647.43	1168.171	2474.926	763.059	1228.943	2426.369	730.993	1188.896
0.167	2452.324	1036.031	968.675	1800.574	246.457	1098.394	1814.859	231.016	1051.041	1842.862	265.263	1085.705	2411.78	1116.27	941.53	1940.498	74.687	1095.822	1886.037	93.896	1003.631	2290.567	1110.222	1042.442	1928.326	293.449	1005.372	1902.152	313.489	1045.278	1964.015	364.681	989.062	1939.155	388.128	1030.367	2187.587	694.74	945.616	2147.312	718.955	1002.078	2217.189	799.786	926.908	2185.291	821.245	983.962	2444.949	1050.927	1172.296	2332.325	150.089	1126.741	2363.92	154.763	1170.349	2358.607	191.563	1126.576	2396.371	1129.388	1210.662	2521.443	93.961	1199.915	2549.478	94.679	1095.06	2291.612	1108.466	1117.39	2451.979	269.169	1180.437	2412.694	285.613	1146.715	2471.518	347.106	1193.846	2433.222	362.623	1158.462	2543.097	679.837	1208.559	2490.443	646.898	1168.861	2473.519	764.175	1226.944	2424.047	732.035	1188.214
0.173	2453.863	1038.345	969.18	1793.116	261.191	1095.555	1806.454	244.823	1048.418	1835.867	278.367	1082.813	2413.727	1119.084	941.406	1925.651	81.504	1092.543	1871.063	102.075	1000.91	2292.179	1112.72	1041.603	1919.991	302.909	1003.111	1894.419	323.175	1043.289	1956.553	373.062	986.853	1932.708	397.263	1028.664	2185.669	700.387	945.002	2146.241	724.723	1001.911	2216.631	804.97	926.648	2185.346	826.684	984.023	2445.88	1053.1	1172.509	2357.019	134.689	1125.655	2388.821	141.29	1169.365	2380.897	178.076	1126.879	2396.441	1131.317	1210.875	2550.098	88.922	1196.904	2576.09	91.102	1091.162	2292.8	1110.461	1116.666	2469.67	260.15	1179.926	2429.438	274.611	1145.92	2484.503	339.069	1193.387	2445.579	352.701	1158.07	2539.728	678.619	1207.466	2486.047	645.323	1169.582	2472.049	764.387	1224.956	2421.361	732.03	1188.204
0.18	2455.431	1040.883	969.038	1785.424	276.234	1092.399	1798.081	258.599	1045.473	1828.798	291.23	1079.733	2415.002	1121.742	941.28	1910.81	88.995	1089.848	1856.003	112.361	999.981	2293.39	1114.703	1040.881	1912.049	312.145	1000.878	1886.972	333.07	1041.121	1950.223	381.271	984.138	1927.011	406.169	1026.604	2184.987	704.919	944.402	2146.193	729.393	1001.533	2216.961	809.428	926.53	2186.372	830.902	984.163	2446.793	1054.76	1172.634	2381.432	121.092	1125.166	2413.447	128.64	1168.906	2403.219	165.224	1126.534	2396.167	1132.387	1210.965	2577.637	82.894	1192.42	2601.552	87.778	1087.032	2293.835	1111.908	1116.005	2487.228	251.57	1178.906	2446.096	264.111	1145.406	2497.484	331.114	1193.046	2457.745	342.914	1157.909	2536.197	676.182	1206.488	2481.53	643.208	1169.824	2470.45	763.277	1223.475	2418.585	731.203	1188.638
