Time	Hip_Z	Hip_X	Hip_Y	Knee_Z	Knee_X	Knee_Y	Ankle_Z	Ankle_X	Ankle_Y
0	-24.923052	8.137791	-8.151268	16.771488	5.195195	22.076652	-5.202337	-1.103557	-9.123811
1	-24.192197	7.61898	-8.778073	18.813065	5.492444	21.783753	-4.325514	0.424229	-8.832499
2	-23.51224	6.966858	-9.425041	21.068134	5.840592	21.499775	-3.698618	1.936943	-8.551168
3	-22.875236	6.138691	-10.089412	23.503635	6.261671	21.1713	-3.476493	3.304728	-8.22398
4	-22.276897	5.144569	-10.748263	26.063277	6.747012	20.763725	-3.682466	4.471181	-7.802715
5	-21.727397	3.997985	-11.346105	28.718212	7.259816	20.251354	-4.34032	5.410708	-7.250181
6	-21.225704	2.74095	-11.795482	31.412756	7.729969	19.626385	-5.408099	6.140663	-6.569759
7	-20.747266	1.438139	-12.030625	34.054053	8.099009	18.916339	-6.766361	6.711317	-5.82032
8	-20.259786	0.156374	-11.986008	36.504961	8.321935	18.168646	-8.330859	7.138982	-5.08403
9	-19.740342	-1.046072	-11.739675	38.692725	8.42901	17.459264	-9.9623	7.47588	-4.432304
10	-19.168561	-2.08996	-11.36605	40.471971	8.427245	16.885511	-11.56352	7.73497	-3.930736
11	-18.552863	-2.965902	-11.000215	41.867209	8.358489	16.485146	-13.065795	7.957005	-3.55844
12	-17.889437	-3.645556	-10.73676	42.824248	8.230734	16.308065	-14.403322	8.167032	-3.306917
13	-17.177138	-4.160132	-10.605533	43.389725	8.056802	16.325848	-15.563954	8.38278	-3.140924
14	-16.409745	-4.552265	-10.585677	43.608112	7.847081	16.478689	-16.553041	8.606026	-3.038161
15	-15.576195	-4.867993	-10.627794	43.512065	7.617912	16.693432	-17.379988	8.822456	-2.992462
16	-14.675149	-5.157623	-10.683728	43.178794	7.394967	16.906355	-18.082217	9.006723	-2.994457
17	-13.684208	-5.451866	-10.742137	42.598469	7.211421	17.088373	-18.649894	9.117933	-3.049527
18	-12.614718	-5.768789	-10.810616	41.829443	7.087144	17.247357	-19.101496	9.149622	-3.151578
19	-11.45243	-6.123039	-10.913938	40.841469	7.059101	17.402438	-19.394002	9.073952	-3.320925
20	-10.21174	-6.512189	-11.069372	39.662908	7.126823	17.579638	-19.526432	8.898555	-3.556592
21	-8.885663	-6.935632	-11.289122	38.280842	7.290882	17.799159	-19.465955	8.619254	-3.864641
22	-7.475891	-7.384095	-11.55726	36.709753	7.524218	18.061556	-19.201256	8.254307	-4.238352
23	-5.994079	-7.843492	-11.844562	34.97726	7.79132	18.356554	-18.72721	7.8311	-4.667498
24	-4.448849	-8.298136	-12.120572	33.099118	8.065555	18.675433	-18.012657	7.367377	-5.153738
25	-2.867662	-8.7317	-12.356624	31.133786	8.324077	18.997988	-17.091215	6.882171	-5.686995
26	-1.274224	-9.111273	-12.505468	29.124205	8.535829	19.295034	-15.928497	6.377551	-6.270288
27	0.299459	-9.422717	-12.560355	27.134329	8.69363	19.551801	-14.590109	5.858754	-6.887045
28	1.819034	-9.630662	-12.48471	25.225063	8.782606	19.748293	-13.069681	5.328586	-7.543296
29	3.268827	-9.72824	-12.270657	23.43357	8.809674	19.878398	-11.403518	4.800751	-8.241882
30	4.634256	-9.702683	-11.893265	21.798763	8.775713	19.925831	-9.603934	4.294115	-8.992397
31	5.906059	-9.555734	-11.34504	20.34436	8.686516	19.880953	-7.683714	3.825525	-9.798374
32	7.082192	-9.312456	-10.659583	19.069482	8.557445	19.756264	-5.668849	3.400129	-10.64725
33	8.135988	-8.988266	-9.864619	18.012405	8.400691	19.562723	-3.573361	3.020945	-11.523897
34	9.078065	-8.626146	-9.025919	17.147433	8.239359	19.335701	-1.439446	2.668343	-12.400611
35	9.880234	-8.256805	-8.196196	16.524051	8.095672	19.094901	0.700876	2.326315	-13.23857
36	10.564172	-7.911658	-7.421741	16.112655	7.982365	18.858861	2.811378	1.976963	-14.003604
37	11.113279	-7.622757	-6.750283	15.956445	7.916559	18.639601	4.845505	1.606253	-14.638847
38	11.535105	-7.406642	-6.195637	16.059013	7.904145	18.442565	6.768123	1.207684	-15.113793
39	11.835499	-7.275116	-5.762282	16.436384	7.951304	18.280288	8.544585	0.777007	-15.409022
40	12.017718	-7.238968	-5.459215	17.122321	8.070241	18.17846	10.134525	0.309537	-15.514098
41	12.108484	-7.283266	-5.264288	18.097997	8.259524	18.142237	11.533115	-0.187118	-15.460871
42	12.108856	-7.408382	-5.173119	19.432765	8.53651	18.168615	12.676615	-0.698714	-15.236268
43	12.042007	-7.588782	-5.145642	21.073498	8.890637	18.2196	13.586574	-1.193926	-14.885451
44	11.889819	-7.822243	-5.167665	23.080581	9.342106	18.264339	14.192819	-1.621551	-14.412888
45	11.657712	-8.086251	-5.203317	25.396035	9.874468	18.26847	14.518664	-1.942272	-13.864238
46	11.348308	-8.36028	-5.215434	28.014184	10.475874	18.190224	14.541621	-2.104866	-13.262247
47	10.989043	-8.621931	-5.175836	30.88571	11.126242	18.014303	14.286602	-2.097571	-12.631673
48	10.615692	-8.85486	-5.081265	33.946008	11.816666	17.762806	13.804162	-1.947141	-11.995714
49	10.259605	-9.040782	-4.943381	37.148206	12.550904	17.471389	13.136035	-1.691481	-11.370937
50	9.9384	-9.167815	-4.783614	40.421797	13.313359	17.1725	12.372542	-1.397085	-10.759112
51	9.679109	-9.187207	-4.601084	43.737704	14.080046	16.867262	11.567384	-1.107969	-10.157389
52	9.482555	-9.086255	-4.393645	47.066061	14.816828	16.542805	10.776654	-0.848322	-9.559816
53	9.357779	-8.810088	-4.154533	50.402624	15.479423	16.178365	10.035229	-0.624712	-8.968271
54	9.278559	-8.351919	-3.893255	53.746962	16.04119	15.76427	9.350205	-0.412563	-8.386556
55	9.204732	-7.693229	-3.618849	57.098751	16.464523	15.2789	8.717569	-0.167493	-7.817308
56	9.071471	-6.836076	-3.347774	60.454612	16.719905	14.70496	8.117892	0.166332	-7.259008
57	8.807077	-5.820669	-3.101771	63.806375	16.809923	14.048147	7.520046	0.630122	-6.70941
58	8.301536	-4.680198	-2.919494	67.136145	16.726781	13.321397	6.888683	1.273215	-6.168883
59	7.527165	-3.499798	-2.831864	70.424547	16.529335	12.580581	6.205022	2.062759	-5.631322
