Time	Hip_Z	Hip_X	Hip_Y	Knee_Z	Knee_X	Knee_Y	Ankle_Z	Ankle_X	Ankle_Y
0	-30.13779	1.168726	-2.132388	9.789013	0.733691	22.262575	-7.066004	-3.208933	-11.596107
1	-29.416367	1.118602	-3.194961	10.813829	1.069468	22.769118	-5.624412	-2.402366	-10.495929
2	-28.792098	1.033354	-4.269749	12.348938	1.410958	23.447176	-4.192204	-1.312107	-9.711598
3	-28.31552	0.871703	-5.214569	14.375236	1.719306	24.05221	-3.192766	-0.003293	-9.196206
4	-28.026673	0.631552	-5.969767	16.860343	1.988549	24.425667	-2.912927	1.414581	-8.844278
5	-27.948988	0.349598	-6.552622	19.78584	2.222457	24.479845	-3.481048	2.834625	-8.475108
6	-28.065776	0.053957	-6.988282	23.096961	2.418823	24.15268	-4.815801	4.106319	-7.894379
7	-28.299521	-0.293454	-7.228294	26.637581	2.573863	23.381805	-6.642329	5.059484	-7.034094
8	-28.503686	-0.815429	-7.128762	30.153087	2.661006	22.075962	-8.662625	5.611447	-5.962808
9	-28.486015	-1.652239	-6.570858	33.328855	2.654713	20.222018	-10.682335	5.821005	-4.806955
10	-28.155865	-2.780717	-5.638001	35.966193	2.603394	18.053478	-12.610191	5.843508	-3.697789
11	-27.531197	-4.046291	-4.48532	37.987046	2.579015	15.902247	-14.387806	5.812592	-2.763507
12	-26.69704	-5.237438	-3.307101	39.430144	2.618898	14.108144	-15.991243	5.82132	-2.096712
13	-25.731361	-6.175043	-2.31647	40.385202	2.70054	12.923972	-17.443385	5.891452	-1.704544
14	-24.677687	-6.741128	-1.710396	40.929432	2.756951	12.487183	-18.782501	5.998162	-1.517106
15	-23.560558	-6.899845	-1.588521	41.127434	2.711	12.778534	-20.020827	6.131322	-1.423624
16	-22.389568	-6.692358	-1.937433	41.038824	2.517663	13.660013	-21.136979	6.314653	-1.348477
17	-21.156295	-6.256592	-2.607721	40.738604	2.211836	14.88116	-22.133424	6.533044	-1.314973
18	-19.842257	-5.731391	-3.423279	40.268839	1.853672	16.196271	-23.03071	6.738666	-1.3718
19	-18.439083	-5.223689	-4.243104	39.638405	1.503967	17.399117	-23.838914	6.880116	-1.529623
20	-16.950449	-4.804037	-4.987272	38.836501	1.216606	18.356528	-24.548265	6.904408	-1.76183
21	-15.378213	-4.501374	-5.624765	37.837312	1.014669	19.012839	-25.112759	6.780323	-2.034787
22	-13.720074	-4.311766	-6.127488	36.614713	0.899179	19.35624	-25.455771	6.49701	-2.359018
23	-11.981155	-4.212657	-6.451496	35.164562	0.865854	19.385285	-25.507797	6.04934	-2.776379
