Time	Hip_Z_1	Hip_X_1	Hip_Y_1	Knee_Z_1	Knee_X_1	Knee_Y_1	Ankle_Z_1	Ankle_X_1	Ankle_Y_1	Hip_Z_2	Hip_X_2	Hip_Y_2	Knee_Z_2	Knee_X_2	Knee_Y_2	Ankle_Z_2	Ankle_X_2	Ankle_Y_2	Hip_Z_3	Hip_X_3	Hip_Y_3	Knee_Z_3	Knee_X_3	Knee_Y_3	Ankle_Z_3	Ankle_X_3	Ankle_Y_3	Hip_Z_4	Hip_X_4	Hip_Y_4	Knee_Z_4	Knee_X_4	Knee_Y_4	Ankle_Z_4	Ankle_X_4	Ankle_Y_4	Hip_Z_5	Hip_X_5	Hip_Y_5	Knee_Z_5	Knee_X_5	Knee_Y_5	Ankle_Z_5	Ankle_X_5	Ankle_Y_5	Hip_Z_6	Hip_X_6	Hip_Y_6	Knee_Z_6	Knee_X_6	Knee_Y_6	Ankle_Z_6	Ankle_X_6	Ankle_Y_6	Hip_Z_7	Hip_X_7	Hip_Y_7	Knee_Z_7	Knee_X_7	Knee_Y_7	Ankle_Z_7	Ankle_X_7	Ankle_Y_7	Hip_Z_8	Hip_X_8	Hip_Y_8	Knee_Z_8	Knee_X_8	Knee_Y_8	Ankle_Z_8	Ankle_X_8	Ankle_Y_8	Hip_Z_9	Hip_X_9	Hip_Y_9	Knee_Z_9	Knee_X_9	Knee_Y_9	Ankle_Z_9	Ankle_X_9	Ankle_Y_9	Hip_Z_10	Hip_X_10	Hip_Y_10	Knee_Z_10	Knee_X_10	Knee_Y_10	Ankle_Z_10	Ankle_X_10	Ankle_Y_10	Hip_Z_11	Hip_X_11	Hip_Y_11	Knee_Z_11	Knee_X_11	Knee_Y_11	Ankle_Z_11	Ankle_X_11	Ankle_Y_11	Hip_Z_12	Hip_X_12	Hip_Y_12	Knee_Z_12	Knee_X_12	Knee_Y_12	Ankle_Z_12	Ankle_X_12	Ankle_Y_12	Hip_Z_13	Hip_X_13	Hip_Y_13	Knee_Z_13	Knee_X_13	Knee_Y_13	Ankle_Z_13	Ankle_X_13	Ankle_Y_13	Hip_Z_14	Hip_X_14	Hip_Y_14	Knee_Z_14	Knee_X_14	Knee_Y_14	Ankle_Z_14	Ankle_X_14	Ankle_Y_14	Hip_Z_15	Hip_X_15	Hip_Y_15	Knee_Z_15	Knee_X_15	Knee_Y_15	Ankle_Z_15	Ankle_X_15	Ankle_Y_15	Hip_Z_16	Hip_X_16	Hip_Y_16	Knee_Z_16	Knee_X_16	Knee_Y_16	Ankle_Z_16	Ankle_X_16	Ankle_Y_16	Hip_Z_17	Hip_X_17	Hip_Y_17	Knee_Z_17	Knee_X_17	Knee_Y_17	Ankle_Z_17	Ankle_X_17	Ankle_Y_17	Hip_Z_18	Hip_X_18	Hip_Y_18	Knee_Z_18	Knee_X_18	Knee_Y_18	Ankle_Z_18	Ankle_X_18	Ankle_Y_18	Hip_Z_19	Hip_X_19	Hip_Y_19	Knee_Z_19	Knee_X_19	Knee_Y_19	Ankle_Z_19	Ankle_X_19	Ankle_Y_19	Hip_Z_20	Hip_X_20	Hip_Y_20	Knee_Z_20	Knee_X_20	Knee_Y_20	Ankle_Z_20	Ankle_X_20	Ankle_Y_20	Hip_Z_21	Hip_X_21	Hip_Y_21	Knee_Z_21	Knee_X_21	Knee_Y_21	Ankle_Z_21	Ankle_X_21	Ankle_Y_21	Hip_Z_22	Hip_X_22	Hip_Y_22	Knee_Z_22	Knee_X_22	Knee_Y_22	Ankle_Z_22	Ankle_X_22	Ankle_Y_22
25	-6.272236	-3.511151	-4.720657	38.386921	1.326475	8.346977	-20.481927	3.56164	-1.447789	-7.357344	-2.081763	-3.260597	41.157741	1.971408	8.238274	-21.68181	0.627972	-1.845256	-3.244874	-0.415465	-2.377829	37.136775	1.674821	8.554736	-19.25016	-0.519015	-2.827332	-4.159577	0.567996	-1.406153	39.78597	1.669091	4.754105	-22.098778	-0.239643	-2.200448	-6.081266	-0.856745	-3.605728	38.009377	1.635171	5.439456	-21.497687	1.73838	-2.729998	-4.966514	-2.082536	-3.60871	39.410699	1.391031	8.189614	-20.275515	1.548493	-2.138941	-4.990177	-2.136565	-4.792139	39.121116	1.37716	8.773013	-22.022365	2.470375	-0.919648	-7.016304	-0.898447	-1.912978	40.60387	1.651939	8.061594	-23.436861	-0.020242	-3.067262	-5.926787	-2.589286	-2.624552	38.118568	1.156235	7.332224	-21.259885	1.849022	-3.223161	-5.32359	-3.74304	-3.957403	38.170307	1.387014	8.342024	-21.062976	3.154258	-0.757013	-6.234546	-1.533881	-2.595775	38.420751	1.712221	7.740436	-21.317583	1.077076	-1.209521	-5.149608	-0.75945	-2.414629	37.192919	1.434502	6.824885	-20.2613	0.152707	-3.184651	-5.113733	-0.866647	-3.017781	37.515356	1.513318	7.482246	-20.789753	0.334144	-1.935241	-6.33863	-3.018073	-3.843131	38.583504	0.8902	8.090203	-20.946523	4.13063	-1.47235	-6.280115	-2.947898	-3.177014	40.046453	0.854923	8.731833	-21.866845	2.930109	-0.895613	-4.752296	-0.485211	-1.103449	37.502094	1.588528	6.783085	-19.167583	-0.534865	-4.716809	-3.931232	-2.12512	-4.595456	36.92589	1.292735	7.976476	-20.013041	2.268054	-1.804874	-5.209428	-2.322575	-3.593641	38.782963	1.356717	8.682167	-21.280629	2.08042	-1.777052	-4.037915	-2.740422	-5.197554	35.804227	1.132807	9.264792	-20.385962	3.081338	-0.421929	-5.443102	-0.329405	-2.845591	39.234106	1.333434	6.705262	-22.119974	0.408404	-2.543222	-6.353304	-1.12077	-2.985318	40.055351	1.226479	6.744105	-22.870108	0.549768	-2.267178	-4.834527	-2.126307	-3.821064	37.751184	1.281827	6.816414	-21.211155	3.084035	0.169521
26	-4.737557	-3.33819	-4.27354	37.04658	1.464502	8.264645	-18.545242	3.341183	-2.055125	-5.867425	-1.954039	-3.033404	39.788329	2.081639	8.286555	-19.770719	0.387105	-2.331846	-1.778542	-0.222943	-1.886052	35.733594	1.852735	8.519778	-17.185278	-0.825845	-3.554547	-2.575236	0.762967	-0.976314	38.31176	1.809124	4.77995	-20.213039	-0.290862	-2.885336	-4.654948	-0.649371	-3.281978	36.655054	1.719068	5.563961	-19.491278	1.684125	-3.488399	-3.469855	-1.880228	-3.361866	38.008949	1.539547	8.225866	-18.245719	1.286513	-2.782566	-3.438176	-2.027362	-4.476248	37.642056	1.494832	8.788064	-20.156499	2.273654	-1.426844	-5.489375	-0.685736	-1.701407	39.050109	1.739142	8.115557	-21.938424	-0.540988	-3.862558	-4.383591	-2.414671	-2.300003	36.610802	1.387046	7.444522	-19.262029	1.544746	-4.013464	-3.728898	-3.627479	-3.584983	36.569499	1.579904	8.345847	-19.10802	2.945033	-1.489965	-4.697789	-1.426174	-2.262955	36.869221	1.904639	7.760792	-19.377358	0.91205	-1.735288	-3.606992	-0.629494	-2.103317	35.684619	1.593002	6.897768	-18.335895	-0.06291	-3.859738	-3.54452	-0.722126	-2.827501	35.956559	1.66036	7.630665	-18.872824	0.105681	-2.523923	-4.738878	-2.893	-3.53483	37.105558	1.145876	8.22411	-19.002421	3.980332	-2.060953	-4.779576	-2.761721	-3.033251	38.474206	1.117821	8.925769	-19.98771	2.532247	-1.620215	-3.326766	-0.210829	-0.559691	36.181579	1.776581	6.685762	-16.995868	-0.751211	-5.655399	-2.431619	-2.004157	-4.240318	35.61102	1.447655	8.012095	-18.079435	2.15915	-2.366073	-3.749772	-2.121461	-3.277489	37.444122	1.513905	8.753833	-19.373137	1.749361	-2.526153	-2.47917	-2.636954	-4.939519	34.38602	1.318429	9.417512	-18.457319	2.84446	-1.097003	-3.930463	-0.148293	-2.613475	37.663525	1.430466	6.756818	-20.290795	0.186064	-3.200234	-4.649042	-0.893572	-2.866938	38.372622	1.3765	6.95614	-20.938305	0.168597	-3.0255	-3.395426	-1.886395	-3.511664	36.364047	1.453711	6.848076	-19.286841	2.883428	-0.573182
27	-3.229722	-3.15065	-3.745024	35.761939	1.641803	8.176829	-16.445924	3.133605	-2.716166	-4.39319	-1.812668	-2.740332	38.43811	2.22755	8.361601	-17.675262	0.192651	-2.88881	-0.344142	-0.019626	-1.315259	34.390939	2.082839	8.470387	-14.978492	-1.08261	-4.353962	-1.031991	0.974326	-0.552618	36.895102	1.96698	4.88376	-18.160145	-0.314966	-3.599534	-3.254366	-0.433847	-2.945819	35.385195	1.818192	5.745746	-17.30428	1.628784	-4.283167	-1.974351	-1.691891	-3.005431	36.62143	1.751391	8.248503	-16.025435	1.060684	-3.502692	-1.900597	-1.906091	-4.100554	36.204357	1.6526	8.815888	-18.077627	2.105446	-2.008882	-3.951483	-0.469732	-1.453305	37.50913	1.873796	8.212421	-20.221981	-1.033407	-4.726102	-2.900015	-2.213166	-1.944453	35.179769	1.648769	7.586844	-17.097938	1.262105	-4.866348	-2.150532	-3.49658	-3.126899	35.010764	1.820661	8.393357	-16.957579	2.768414	-2.300607	-3.192126	-1.305426	-1.877067	35.357565	2.127183	7.835614	-17.263741	0.784388	-2.325955	-2.067171	-0.496366	-1.758826	34.227105	1.791733	7.016167	-16.249694	-0.241047	-4.583967	-1.992796	-0.586509	-2.58097	34.457506	1.857318	7.812001	-16.773388	-0.080031	-3.186439	-3.143083	-2.759377	-3.150611	35.655419	1.440968	8.384838	-16.865317	3.833261	-2.718802	-3.284368	-2.579846	-2.783693	36.926822	1.422119	9.099793	-17.925426	2.146765	-2.390934	-1.928659	0.086856	0.048384	34.918323	1.989656	6.581752	-14.676695	-0.939198	-6.619843	-0.950781	-1.878336	-3.834797	34.361522	1.63882	8.08875	-15.970673	2.072352	-3.006068	-2.307944	-1.915833	-2.835342	36.140553	1.716725	8.789827	-17.270104	1.44633	-3.347724	-0.966952	-2.514837	-4.577131	33.06334	1.536241	9.571588	-16.339208	2.627503	-1.848752	-2.418294	0.024187	-2.32464	36.120496	1.583655	6.84415	-18.257009	-0.003471	-3.905074	-2.961343	-0.654302	-2.732226	36.724275	1.56627	7.251981	-18.820633	-0.18083	-3.85351	-1.98557	-1.626522	-3.135534	35.055238	1.646065	6.911915	-17.202621	2.687264	-1.381547
28	-1.764445	-2.954698	-3.107284	34.551721	1.871881	8.067508	-14.176736	2.948746	-3.438506	-2.932967	-1.667517	-2.367833	37.10846	2.412976	8.451359	-15.433064	0.04475	-3.522912	1.061459	0.190798	-0.678323	33.109771	2.363911	8.402428	-12.666745	-1.312178	-5.211013	0.448721	1.194552	-0.119464	35.554036	2.153607	5.062444	-15.928631	-0.313726	-4.3488	-1.885484	-0.214366	-2.569628	34.206831	1.951831	5.976183	-14.926562	1.563511	-5.113731	-0.486576	-1.512328	-2.539032	35.253078	2.013266	8.247655	-13.674226	0.864621	-4.283482	-0.381187	-1.779305	-3.667509	34.810626	1.852851	8.850685	-15.848476	1.967402	-2.657891	-2.406715	-0.260402	-1.168917	35.991374	2.053659	8.344587	-18.346555	-1.489751	-5.642089	-1.485812	-1.986631	-1.530283	33.846151	1.947687	7.740937	-14.773289	0.99583	-5.770669	-0.594956	-3.353615	-2.57646	33.511419	2.107408	8.469267	-14.645568	2.614546	-3.181638	-1.72031	-1.176401	-1.420394	33.895803	2.378309	7.952047	-14.995928	0.695782	-2.980978	-0.532665	-0.367969	-1.361187	32.836017	2.042053	7.175534	-14.004225	-0.380584	-5.359736	-0.46982	-0.462411	-2.260564	33.023947	2.101595	8.003845	-14.53317	-0.22959	-3.908602	-1.560822	-2.620085	-2.670116	34.239492	1.769863	8.544604	-14.572742	3.687177	-3.435593	-1.798714	-2.405774	-2.393193	35.425959	1.773653	9.228337	-15.673899	1.784191	-3.203609	-0.559369	0.401475	0.700584	33.709368	2.228243	6.47667	-12.256918	-1.118271	-7.583085	0.508022	-1.755445	-3.380057	33.164225	1.8675	8.193857	-13.744014	2.003657	-3.708589	-0.883283	-1.704164	-2.264293	34.872669	1.966073	8.781924	-15.01518	1.168285	-4.233414	0.505105	-2.377744	-4.107073	31.827502	1.785319	9.700006	-14.096153	2.427168	-2.660699	-0.900201	0.174769	-1.974632	34.610199	1.796571	6.960165	-16.060077	-0.159815	-4.647363	-1.307131	-0.411523	-2.543817	35.132376	1.80709	7.61886	-16.513689	-0.482097	-4.753229	-0.608423	-1.354751	-2.664494	33.844251	1.873663	6.997736	-14.957787	2.493746	-2.259577
29	-0.343304	-2.757878	-2.377354	33.405472	2.147307	7.931123	-11.793618	2.781594	-4.204877	-1.489916	-1.524011	-1.895153	35.805589	2.639339	8.533925	-13.067429	-0.061248	-4.237317	2.436476	0.405798	0.02377	31.899531	2.689728	8.297272	-10.279138	-1.539922	-6.098935	1.88058	1.413967	0.338836	34.273003	2.368034	5.279768	-13.571747	-0.306135	-5.123973	-0.548114	0.004398	-2.139395	33.093078	2.123336	6.218508	-12.418536	1.477041	-5.95954	0.979496	-1.336506	-1.941476	33.917576	2.321728	8.206395	-11.211753	0.692813	-5.112535	1.109021	-1.650218	-3.156418	33.477014	2.106474	8.879195	-13.483367	1.859698	-3.381363	-0.866955	-0.063617	-0.829522	34.516479	2.285174	8.495812	-16.319385	-1.901427	-6.603909	-0.119954	-1.746711	-1.050839	32.593088	2.273415	7.87743	-12.353979	0.727622	-6.686851	0.929693	-3.200533	-1.935216	32.087065	2.426845	8.54409	-12.218531	2.467772	-4.108397	-0.276915	-1.044007	-0.895609	32.483868	2.647738	8.085271	-12.622769	0.63493	-3.680675	0.989488	-0.251634	-0.910945	31.50357	2.331257	7.347311	-11.659845	-0.503339	-6.15972	1.011118	-0.35179	-1.841478	31.666878	2.38986	8.176113	-12.181735	-0.354996	-4.668336	-0.005195	-2.477498	-2.072186	32.869616	2.124743	8.670917	-12.149483	3.537786	-4.194921	-0.328754	-2.237533	-1.876908	33.977832	2.156354	9.296704	-13.298264	1.444423	-4.036362	0.775065	0.727178	1.374146	32.553244	2.495442	6.379301	-9.765799	-1.30946	-8.508526	1.934283	-1.640871	-2.85583	32.025327	2.135904	8.307513	-11.420756	1.948725	-4.464148	0.519516	-1.481743	-1.559172	33.645915	2.261543	8.718537	-12.641026	0.904061	-5.168962	1.93055	-2.221719	-3.495631	30.694832	2.071291	9.764139	-11.750472	2.236801	-3.526819	0.623146	0.293766	-1.553445	33.141502	2.070337	7.091272	-13.729588	-0.288665	-5.410154	0.311706	-0.172261	-2.277834	33.598039	2.084711	8.001503	-14.087056	-0.74505	-5.689701	0.748526	-1.083428	-2.112601	32.71019	2.135062	7.085628	-12.607426	2.29502	-3.179517
30	1.022559	-2.563831	-1.553284	32.332276	2.469957	7.76281	-9.315413	2.624962	-5.000632	-0.067245	-1.384133	-1.328527	34.533564	2.895607	8.587135	-10.623962	-0.144231	-5.002759	3.780989	0.622997	0.780503	30.761422	3.03825	8.135286	-7.860149	-1.787966	-6.964148	3.261226	1.623475	0.840758	33.057406	2.614641	5.510508	-11.102297	-0.318338	-5.908732	0.743155	0.218879	-1.631887	32.042579	2.341911	6.437083	-9.796272	1.3463	-6.797514	2.415301	-1.160266	-1.235963	32.622835	2.659598	8.119777	-8.687169	0.52873	-5.949064	2.566544	-1.52058	-2.556809	32.206876	2.405563	8.877845	-11.032878	1.77015	-4.160363	0.651319	0.120319	-0.430553	33.094763	2.55617	8.63358	-14.184964	-2.275989	-7.582086	1.20284	-1.49793	-0.488616	31.43216	2.621507	7.963639	-9.868653	0.435818	-7.569169	2.41269	-3.037904	-1.209608	30.755575	2.763332	8.587891	-9.718613	2.309829	-5.044339	1.132253	-0.911963	-0.294651	31.139788	2.929486	8.212642	-10.169266	0.588879	-4.409216	2.480998	-0.154944	-0.39261	30.246578	2.654164	7.501116	-9.240244	-0.628848	-6.949102	2.446755	-0.253404	-1.323135	30.383756	2.707468	8.304246	-9.76712	-0.476544	-5.42705	1.517391	-2.335778	-1.373148	31.550711	2.49181	8.744352	-9.646435	3.37674	-4.963715	1.111139	-2.070759	-1.211353	32.605454	2.559516	9.271611	-10.818433	1.127976	-4.869507	2.072534	1.055128	2.042762	31.441787	2.786355	6.292927	-7.2388	-1.526921	-9.356101	3.325849	-1.534782	-2.25441	30.941362	2.431298	8.395933	-9.049654	1.896406	-5.240493	1.896699	-1.248204	-0.751536	32.462028	2.589572	8.597693	-10.202793	0.637093	-6.115675	3.314818	-2.046346	-2.750865	29.655183	2.387819	9.743602	-9.348814	2.042374	-4.418749	2.144993	0.384818	-1.067346	31.718225	2.388434	7.215695	-11.318936	-0.405781	-6.16147	1.885496	0.056199	-1.89586	32.139256	2.396934	8.351997	-11.566217	-0.978935	-6.630787	2.089527	-0.822527	-1.473554	31.657569	2.435397	7.157599	-10.164491	2.074533	-4.118923
31	2.344685	-2.374392	-0.675092	31.319446	2.821279	7.576015	-6.792688	2.464044	-5.785553	1.325885	-1.251058	-0.675278	33.305867	3.173261	8.592851	-8.131621	-0.22169	-5.775493	5.084132	0.840539	1.585402	29.714215	3.392289	7.892988	-5.441258	-2.073661	-7.733899	4.601506	1.815527	1.379506	31.896838	2.885096	5.72757	-8.571112	-0.372511	-6.66699	1.987557	0.42694	-1.058074	31.03953	2.597655	6.608029	-7.11569	1.160523	-7.602725	3.808076	-0.983765	-0.442861	31.38874	3.013889	7.981784	-6.140295	0.357678	-6.734922	3.983669	-1.389527	-1.844191	31.016794	2.743809	8.813358	-8.536303	1.689168	-4.967537	2.126253	0.291152	0.032925	31.744296	2.855077	8.721827	-11.969028	-2.618194	-8.535377	2.497426	-1.245553	0.139003	30.349069	2.981484	7.991203	-7.360576	0.109361	-8.380798	3.845488	-2.868518	-0.421043	29.530715	3.100369	8.577137	-7.200314	2.123281	-5.939044	2.509952	-0.785785	0.356177	29.861845	3.214722	8.317381	-7.690153	0.536636	-5.132274	3.933123	-0.074029	0.183062	29.061869	2.992901	7.616573	-6.790424	-0.772213	-7.68592	3.827507	-0.16868	-0.695356	29.190018	3.044888	8.36257	-7.322084	-0.615444	-6.138052	2.99619	-2.201232	-0.582526	30.302647	2.861354	8.745519	-7.103235	3.189088	-5.703112	2.518379	-1.89922	-0.431294	31.304178	2.965935	9.16251	-8.283561	0.822925	-5.682092	3.321498	1.374956	2.687964	30.385486	3.098325	6.210124	-4.697754	-1.783643	-10.064439	4.676436	-1.436799	-1.55959	29.923074	2.746442	8.420612	-6.670705	1.836791	-6.00099	3.238353	-1.006892	0.140241	31.337607	2.939749	8.401899	-7.73877	0.356837	-7.0208	4.655008	-1.848927	-1.871189	28.714162	2.731839	9.613595	-6.925972	1.831135	-5.301683	3.653237	0.452119	-0.518179	30.355862	2.739745	7.315632	-8.859746	-0.522991	-6.859148	3.418516	0.269105	-1.409424	30.749763	2.734729	8.642552	-9.001271	-1.208594	-7.539624	3.417339	-0.577779	-0.766737	30.668026	2.767374	7.203461	-7.667818	1.819596	-5.044257
32	3.622772	-2.195804	0.222234	30.381242	3.186554	7.379815	-4.269871	2.282017	-6.494863	2.687135	-1.129265	0.01869	32.129344	3.458133	8.555203	-5.634259	-0.311349	-6.495386	6.344892	1.054245	2.408736	28.754687	3.738589	7.583687	-3.049784	-2.396281	-8.367269	5.895227	1.976428	1.946181	30.807703	3.176301	5.903649	-6.016489	-0.498332	-7.342179	3.176029	0.621321	-0.428812	30.08918	2.886999	6.710067	-4.423795	0.897911	-8.340263	5.149207	-0.811726	0.397751	30.236242	3.370034	7.79772	-3.616158	0.170053	-7.412186	5.356781	-1.256278	-1.019525	29.918452	3.107174	8.664942	-6.039022	1.608794	-5.75094	3.542937	0.449753	0.552548	30.475464	3.168157	8.734598	-9.703679	-2.938014	-9.419047	3.76561	-0.995062	0.821345	29.355381	3.349435	7.951299	-4.859522	-0.268708	-9.073027	5.216352	-2.698045	0.407629	28.438182	3.4274	8.497574	-4.716746	1.898069	-6.733326	3.844606	-0.676693	1.038348	28.680059	3.498317	8.384393	-5.231991	0.459466	-5.796874	5.32985	-0.006133	0.811424	27.972051	3.334509	7.675001	-4.34784	-0.94727	-8.307866	5.158468	-0.096237	0.009914	28.082241	3.388797	8.353829	-4.888705	-0.785767	-6.76318	4.430593	-2.079338	0.258504	29.132686	3.224456	8.681145	-4.57766	2.969206	-6.374078	3.886608	-1.718519	0.437192	30.08637	3.360993	8.979049	-5.727493	0.520262	-6.446335	4.523428	1.675537	3.301712	29.388236	3.422699	6.115742	-2.165764	-2.0771	-10.618516	5.985416	-1.346738	-0.776519	28.979763	3.074604	8.360842	-4.3242	1.763652	-6.704899	4.545073	-0.766465	1.07013	30.277334	3.296263	8.137775	-5.2875	0.065673	-7.83982	5.949869	-1.63203	-0.88511	27.869186	3.096953	9.376725	-4.515484	1.599182	-6.132952	5.137228	0.502437	0.066042	29.056293	3.10635	7.389009	-6.393451	-0.64883	-7.473777	4.898569	0.457076	-0.812347	29.446493	3.098946	8.836325	-6.429346	-1.459967	-8.365046	4.722999	-0.360861	0.007779	29.746407	3.131506	7.210984	-5.140977	1.509978	-5.906501
33	4.861705	-2.035427	1.098006	29.527699	3.549463	7.182392	-1.796432	2.070237	-7.083048	4.000287	-1.032755	0.713025	31.040304	3.74329	8.471083	-3.178938	-0.429952	-7.087096	7.546171	1.253691	3.216606	27.920691	4.068467	7.213257	-0.733689	-2.762596	-8.801521	7.140024	2.100294	2.522287	29.801425	3.482391	6.026608	-3.481881	-0.701477	-7.905135	4.316799	0.793337	0.225795	29.195076	3.196823	6.745307	-1.771089	0.562489	-8.992523	6.430301	-0.655171	1.232248	29.194056	3.717583	7.585493	-1.167022	-0.038917	-7.939394	6.680477	-1.122961	-0.105643	28.92878	3.479877	8.424845	-3.587629	1.525611	-6.442974	4.889277	0.593635	1.116551	29.3025	3.486728	8.652897	-7.419137	-3.249638	-10.190459	5.011802	-0.756466	1.521404	28.445235	3.721838	7.867465	-2.387936	-0.703242	-9.635088	6.518356	-2.537182	1.236415	27.496151	3.739959	8.35871	-2.322142	1.640326	-7.374058	5.136644	-0.591259	1.718955	27.599551	3.776814	8.416296	-2.836255	0.357406	-6.359811	6.668199	0.051281	1.468608	26.98433	3.669993	7.68078	-1.94728	-1.156248	-8.788888	6.421818	-0.042285	0.769132	27.100077	3.731396	8.270369	-2.515807	-1.004499	-7.234761	5.800178	-1.983153	1.116142	28.085379	3.572073	8.544273	-2.143277	2.71142	-6.90384	5.219364	-1.532167	1.334377	28.949881	3.735134	8.756918	-3.192661	0.214159	-7.142302	5.663311	1.932235	3.859082	28.483787	3.7577	5.99629	0.3254	-2.411354	-10.969501	7.251477	-1.26747	0.074204	28.129033	3.410756	8.212003	-2.052602	1.673128	-7.312544	5.803369	-0.538502	1.995533	29.315468	3.64867	7.802943	-2.885238	-0.230511	-8.513036	7.196533	-1.402776	0.164294	27.122842	3.475453	9.052953	-2.146576	1.351546	-6.868488	6.575063	0.524681	0.659747	27.853543	3.482848	7.432483	-3.959302	-0.793378	-7.951455	6.322336	0.616991	-0.131849	28.233673	3.482949	8.923837	-3.889865	-1.750054	-9.072138	5.998534	-0.179223	0.827066	28.889655	3.519903	7.184073	-2.615681	1.144065	-6.663835
34	6.052759	-1.909072	1.900765	28.80045	3.898732	6.997792	0.557548	1.817994	-7.505393	5.264731	-0.969803	1.37132	30.053768	4.027529	8.356703	-0.803619	-0.578839	-7.541075	8.69202	1.428267	3.971799	27.212922	4.385471	6.821749	1.472714	-3.164651	-9.066844	8.317125	2.173341	3.088215	28.920502	3.805576	6.084646	-1.018982	-0.993086	-8.325709	5.40783	0.923465	0.883382	28.389212	3.522253	6.703529	0.781766	0.151746	-9.528059	7.640614	-0.533458	1.996758	28.303966	4.054422	7.3741	1.140683	-0.270594	-8.294089	7.943668	-0.998923	0.856765	28.077335	3.849888	8.098134	-1.234348	1.438117	-6.98196	6.151723	0.714524	1.709536	28.250756	3.807758	8.464033	-5.144785	-3.5755	-10.80858	6.229021	-0.551599	2.194739	27.641073	4.098987	7.76503	0.022688	-1.208959	-10.039693	7.734886	-2.403386	2.012338	26.747713	4.037721	8.181137	-0.081349	1.361178	-7.808732	6.369887	-0.542803	2.365588	26.666277	4.04701	8.409826	-0.561315	0.238252	-6.763452	7.930182	0.090222	2.124809	26.137258	3.996303	7.63967	0.366194	-1.404305	-9.096827	7.618653	-0.010534	1.534877	26.251594	4.069563	8.132693	-0.233065	-1.263343	-7.555719	7.107377	-1.920299	1.942787	27.167508	3.903714	8.364807	0.157703	2.433113	-7.280927	6.508752	-1.351481	2.199703	27.923599	4.078972	8.519588	-0.737575	-0.096751	-7.729921	6.74861	2.131327	4.34745	27.67856	4.103066	5.859659	2.749933	-2.771886	-11.155289	8.469649	-1.207965	0.951877	27.401329	3.752127	7.987737	0.095316	1.561493	-7.790874	7.0144	-0.333438	2.870112	28.457711	3.991601	7.432293	-0.552931	-0.525113	-9.052779	8.390768	-1.1735	1.227627	26.489393	3.860115	8.671941	0.151168	1.096823	-7.477299	7.959558	0.509986	1.232388	26.758529	3.866408	7.45609	-1.588261	-0.962504	-8.299183	7.67657	0.737649	0.606968	27.143162	3.882971	8.88616	-1.430762	-2.098517	-9.60825	7.225772	-0.050545	1.658794	28.120592	3.929383	7.131886	-0.130703	0.713984	-7.261706
35	7.191736	-1.830316	2.590665	28.229724	4.233695	6.843004	2.734146	1.526608	-7.770684	6.453629	-0.965599	1.947336	29.247199	4.317263	8.222163	1.401888	-0.764421	-7.815187	9.764633	1.546343	4.598647	26.695613	4.696361	6.457125	3.475889	-3.608	-9.136754	9.418234	2.18958	3.620528	28.196309	4.148272	6.088831	1.324369	-1.359853	-8.611642	6.451159	0.997238	1.522187	27.703924	3.862209	6.591887	3.185879	-0.317753	-9.938905	8.777172	-0.466278	2.639726	27.595441	4.388096	7.195151	3.253289	-0.519263	-8.49329	9.139014	-0.901961	1.802035	27.384056	4.214153	7.721343	0.975901	1.345516	-7.35659	7.329961	0.803349	2.306617	27.337245	4.13091	8.179645	-2.910427	-3.941929	-11.260716	7.408935	-0.40197	2.803022	26.963733	4.483789	7.668169	2.339097	-1.781852	-10.292265	8.860184	-2.31453	2.684434	26.220155	4.32844	7.999443	1.9566	1.07939	-8.044757	7.535762	-0.538928	2.951905	25.910673	4.311066	8.371593	1.552156	0.118825	-7.007953	9.108191	0.098985	2.745138	25.456261	4.318598	7.570456	2.556034	-1.686227	-9.24687	8.717678	-0.020341	2.257639	25.621295	4.40527	7.942471	1.880077	-1.559501	-7.69516	8.326713	-1.915637	2.679166	26.457921	4.218188	8.159654	2.220638	2.151172	-7.465447	7.74856	-1.194547	2.977637	27.033688	4.394162	8.286787	1.583646	-0.410004	-8.189094	7.763693	2.230488	4.712642	27.03195	4.472278	5.724473	5.03832	-3.154065	-11.156398	9.637698	-1.1806	1.793988	26.820349	4.097696	7.729618	2.083981	1.430178	-8.137271	8.154178	-0.178861	3.62577	27.770622	4.322694	7.050503	1.63854	-0.815137	-9.430175	9.532966	-0.962616	2.253088	25.980039	4.245911	8.274227	2.350294	0.843391	-7.968603	9.257527	0.428185	1.747635	25.848966	4.263185	7.461817	0.65003	-1.175614	-8.484315	8.961803	0.810489	1.360557	26.193913	4.295208	8.737861	0.910739	-2.509132	-9.964248	8.391694	0.01607	2.45702	27.460717	4.354249	7.074456	2.271145	0.224394	-7.69643
