Time	Hip_Z	Hip_X	Hip_Y	Knee_Z	Knee_X	Knee_Y	Ankle_Z	Ankle_X	Ankle_Y
0	-30.319518	-4.904586	-0.598617	17.656205	4.891886	20.341063	-4.162818	-2.819741	-10.540997
1	-30.325785	-4.922864	-1.791813	19.849523	5.51737	20.448991	-3.924581	-1.267443	-9.984349
2	-30.299422	-4.896253	-3.085572	22.292326	6.144251	20.636895	-4.2861	0.079107	-9.390238
3	-30.245348	-4.900002	-4.291513	24.937262	6.700635	20.72326	-5.190669	1.172427	-8.765224
4	-30.175624	-4.987148	-5.298754	27.718106	7.177493	20.609262	-6.470113	1.983625	-8.116924
5	-30.105497	-5.17649	-6.084288	30.54491	7.61247	20.303109	-7.952073	2.510833	-7.473613
6	-30.050222	-5.463273	-6.660676	33.299132	8.055633	19.883911	-9.50904	2.788408	-6.90282
7	-30.013211	-5.828436	-7.037413	35.843148	8.526827	19.419253	-11.056916	2.872331	-6.45846
8	-29.962775	-6.245026	-7.224261	38.054585	8.983028	18.91789	-12.547384	2.836232	-6.110204
9	-29.825264	-6.684389	-7.245467	39.859241	9.344042	18.366902	-13.960329	2.760462	-5.763085
10	-29.532134	-7.109698	-7.152624	41.239791	9.569473	17.812413	-15.28804	2.699598	-5.366974
11	-29.07638	-7.473644	-7.0234	42.235447	9.679565	17.358182	-16.528668	2.667489	-4.950238
12	-28.500399	-7.740104	-6.927542	42.930398	9.704406	17.072913	-17.687064	2.648189	-4.542408
13	-27.841661	-7.898686	-6.898256	43.408389	9.672207	16.965911	-18.763396	2.614791	-4.158867
14	-27.105022	-7.958018	-6.934424	43.712858	9.61838	17.022386	-19.749386	2.553595	-3.838439
15	-26.267666	-7.940667	-7.006962	43.853001	9.553783	17.18858	-20.636651	2.473776	-3.61199
16	-25.298843	-7.874723	-7.077095	43.824233	9.44908	17.374693	-21.416872	2.390708	-3.448341
17	-24.182066	-7.779511	-7.129552	43.618259	9.262093	17.510246	-22.083694	2.31106	-3.270493
18	-22.925362	-7.667811	-7.174196	43.228229	8.985447	17.574911	-22.628594	2.238195	-3.047076
19	-21.55635	-7.552843	-7.218229	42.655154	8.670752	17.591703	-23.02902	2.174179	-2.830245
20	-20.108194	-7.438433	-7.260261	41.915264	8.379392	17.599615	-23.248416	2.111776	-2.678562
21	-18.606633	-7.311764	-7.306649	41.035216	8.124588	17.624199	-23.258546	2.031898	-2.600277
22	-17.066923	-7.152665	-7.370883	40.040908	7.883998	17.676575	-23.077507	1.900633	-2.576097
23	-15.49665	-6.945683	-7.453753	38.954357	7.642879	17.768916	-22.747373	1.687848	-2.606612
24	-13.897145	-6.685923	-7.533566	37.793948	7.399915	17.905082	-22.265043	1.40131	-2.711199
25	-12.265635	-6.377398	-7.581943	36.574954	7.139525	18.06079	-21.591592	1.077498	-2.868179
26	-10.599589	-6.028029	-7.58532	35.310136	6.833928	18.203823	-20.706708	0.744734	-3.013346
27	-8.900526	-5.648852	-7.533304	34.010546	6.480237	18.318519	-19.610928	0.412789	-3.106033
28	-7.177347	-5.253677	-7.390416	32.690799	6.109399	18.385425	-18.301014	0.091315	-3.146419
29	-5.446785	-4.852804	-7.108722	31.372663	5.757826	18.370998	-16.769574	-0.193838	-3.146001
30	-3.729927	-4.448075	-6.666322	30.082063	5.447473	18.255571	-15.025988	-0.405704	-3.119596
31	-2.050336	-4.035125	-6.079396	28.846185	5.190305	18.052476	-13.104761	-0.514395	-3.097631
32	-0.434498	-3.610212	-5.394574	27.689713	4.995455	17.804269	-11.042469	-0.514806	-3.131307
33	1.087558	-3.181139	-4.67616	26.633409	4.869608	17.559657	-8.857894	-0.42376	-3.267498
34	2.482687	-2.774518	-3.981778	25.70212	4.818788	17.336471	-6.577292	-0.259464	-3.484732
35	3.718575	-2.43068	-3.349851	24.92557	4.85437	17.122828	-4.26098	-0.05146	-3.674423
36	4.76986	-2.192176	-2.810746	24.32581	4.992063	16.91614	-1.973893	0.139052	-3.729107
37	5.62183	-2.090148	-2.38711	23.915892	5.236777	16.725537	0.254857	0.250395	-3.615092
38	6.269795	-2.131916	-2.078177	23.712184	5.575035	16.547847	2.420925	0.2577	-3.337722
39	6.714312	-2.30061	-1.860777	23.742524	5.988058	16.371584	4.503349	0.166705	-2.90428
40	6.954365	-2.568026	-1.713894	24.045833	6.469206	16.2043	6.450324	-0.000651	-2.356126
41	6.987101	-2.905144	-1.639929	24.660581	7.026838	16.091801	8.213335	-0.200446	-1.792798
42	6.816257	-3.280861	-1.660258	25.610063	7.668429	16.099507	9.778812	-0.366635	-1.346091
43	6.456799	-3.663268	-1.796254	26.902588	8.387789	16.265257	11.138816	-0.450435	-1.129429
44	5.932651	-4.026501	-2.052668	28.541537	9.171017	16.568576	12.257922	-0.458038	-1.190451
45	5.276064	-4.349707	-2.413439	30.529869	10.003317	16.935529	13.087585	-0.444018	-1.504519
46	4.526536	-4.61566	-2.85662	32.871807	10.854309	17.256075	13.572881	-0.483361	-1.986003
47	3.727502	-4.808556	-3.352419	35.567221	11.64946	17.40242	13.667927	-0.625232	-2.505404
48	2.925964	-4.905947	-3.826283	38.584627	12.280555	17.267172	13.391078	-0.854961	-2.956565
49	2.166752	-4.888736	-4.166909	41.844549	12.669812	16.805707	12.835303	-1.129083	-3.307388
50	1.479462	-4.760836	-4.297856	45.246359	12.808452	16.044764	12.109746	-1.441914	-3.567139
51	0.87152	-4.5456	-4.206435	48.701865	12.744955	15.061956	11.29298	-1.824117	-3.755847
52	0.327501	-4.270163	-3.912538	52.14469	12.559096	13.952188	10.438685	-2.282593	-3.905732
53	-0.184463	-3.956945	-3.445975	55.524444	12.322063	12.795397	9.610562	-2.764206	-4.046316
54	-0.701078	-3.620196	-2.84281	58.798314	12.074241	11.645652	8.89782	-3.172234	-4.186985
55	-1.265853	-3.262111	-2.150229	61.934986	11.835039	10.539816	8.347955	-3.425785	-4.29958
56	-1.93744	-2.870237	-1.432482	64.922134	11.600299	9.509622	7.872146	-3.526253	-4.326217
57	-2.779061	-2.427987	-0.76082	67.758406	11.34086	8.587074	7.328177	-3.52542	-4.243678
58	-3.836888	-1.930185	-0.194449	70.442414	11.049243	7.80416	6.689244	-3.429425	-4.099709
59	-5.128517	-1.377574	0.225785	72.974657	10.769647	7.186161	6.004014	-3.209283	-3.964822
60	-6.644523	-0.763629	0.47294	75.358659	10.535007	6.743941	5.274928	-2.86782	-3.850917
61	-8.355774	-0.083558	0.534658	77.588372	10.31869	6.480108	4.46083	-2.437354	-3.695465
62	-10.219582	0.649916	0.417117	79.64021	10.084388	6.395479	3.50919	-1.95881	-3.447891
63	-12.186406	1.40566	0.149058	81.482595	9.827178	6.472817	2.388506	-1.473144	-3.115717
