Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Thigh.Top.LateralX	R.Thigh.Top.LateralY	R.Thigh.Top.LateralZ	R.Thigh.Bottom.LateralX	R.Thigh.Bottom.LateralY	R.Thigh.Bottom.LateralZ	R.Thigh.Top.MedialX	R.Thigh.Top.MedialY	R.Thigh.Top.MedialZ	R.Thigh.Bottom.MedialX	R.Thigh.Bottom.MedialY	R.Thigh.Bottom.MedialZ	R.Shank.Top.LateralX	R.Shank.Top.LateralY	R.Shank.Top.LateralZ	R.Shank.Bottom.LateralX	R.Shank.Bottom.LateralY	R.Shank.Bottom.LateralZ	R.Shank.Top.MedialX	R.Shank.Top.MedialY	R.Shank.Top.MedialZ	R.Shank.Bottom.MedialX	R.Shank.Bottom.MedialY	R.Shank.Bottom.MedialZ	R.Heel.TopX	R.Heel.TopY	R.Heel.TopZ	R.Heel.BottomX	R.Heel.BottomY	R.Heel.BottomZ	R.Heel.LateralX	R.Heel.LateralY	R.Heel.LateralZ	L.Thigh.Top.LateralX	L.Thigh.Top.LateralY	L.Thigh.Top.LateralZ	L.Thigh.Bottom.LateralX	L.Thigh.Bottom.LateralY	L.Thigh.Bottom.LateralZ	L.Thigh.Top.MedialX	L.Thigh.Top.MedialY	L.Thigh.Top.MedialZ	L.Thigh.Bottom.MedialX	L.Thigh.Bottom.MedialY	L.Thigh.Bottom.MedialZ	L.Shank.Top.LateralX	L.Shank.Top.LateralY	L.Shank.Top.LateralZ	L.Shank.Bottom.LateralX	L.Shank.Bottom.LateralY	L.Shank.Bottom.LateralZ	L.Shank.Top.MedialX	L.Shank.Top.MedialY	L.Shank.Top.MedialZ	L.Shank.Bottom.MedialX	L.Shank.Bottom.MedialY	L.Shank.Bottom.MedialZ	L.Heel.TopX	L.Heel.TopY	L.Heel.TopZ	L.Heel.BottomX	L.Heel.BottomY	L.Heel.BottomZ	L.Heel.LateralX	L.Heel.LateralY	L.Heel.LateralZ	R.GTRX	R.GTRY	R.GTRZ	R.KneeX	R.KneeY	R.KneeZ	R.Knee.MedialX	R.Knee.MedialY	R.Knee.MedialZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.Ankle.MedialX	R.Ankle.MedialY	R.Ankle.MedialZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	R.MT2X	R.MT2Y	R.MT2Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.Knee.MedialX	L.Knee.MedialY	L.Knee.MedialZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.Ankle.MedialX	L.Ankle.MedialY	L.Ankle.MedialZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z	L.MT2X	L.MT2Y	L.MT2Z
0.0	880.288	1049.056	1347.078	898.569	1040.576	1075.0	701.127	1063.991	1247.391	707.587	1060.502	1158.445	800.682	1112.046	1377.646	802.883	1109.81	1030.406	759.116	770.735	1415.136	758.879	660.423	1414.42	709.937	770.91	1367.73	710.623	661.14	1361.57	705.123	293.985	1429.463	710.648	213.189	1421.591	673.448	296.014	1386.085	675.805	216.351	1378.418	651.453	95.709	1370.27	640.414	49.22	1372.017	674.132	66.581	1415.346	791.981	775.635	1002.786	792.24	665.209	1009.841	731.75	777.858	1034.955	725.465	669.065	1039.377	705.303	258.361	1018.884	713.877	178.626	1029.537	671.818	262.073	1060.253	678.132	177.796	1066.417	658.08	89.923	1080.342	647.928	45.844	1079.168	680.877	57.249	1036.772	791.148	941.417	1404.753	775.554	555.41	1412.876	767.861	537.545	1269.389	772.22	499.023	1419.11	825.312	463.682	1368.433	717.252	110.507	1411.083	740.162	124.049	1328.066	866.833	65.936	1330.487	834.815	61.973	1436.248	874.119	70.045	1378.454	808.416	946.637	1021.634	768.902	542.959	1025.277	759.073	532.819	1165.246	754.828	484.129	1021.854	810.751	454.306	1073.123	724.981	108.052	1034.117	744.267	121.011	1118.624	873.945	60.221	1124.404	842.697	50.639	1010.406	889.22	65.131	1075.68
0.007	880.265	1049.058	1347.079	898.521	1040.584	1074.999	701.106	1063.984	1247.403	707.555	1060.501	1158.463	800.665	1112.038	1377.656	802.836	1109.828	1030.426	759.119	770.743	1415.16	758.878	660.419	1414.424	709.934	770.904	1367.741	710.623	661.144	1361.578	705.123	293.985	1429.465	710.646	213.199	1421.599	673.449	296.013	1386.078	675.809	216.35	1378.427	651.447	95.71	1370.262	640.414	49.216	1372.02	674.129	66.577	1415.346	791.944	775.639	1002.782	792.219	665.21	1009.841	731.727	777.873	1034.942	725.438	669.06	1039.383	705.281	258.363	1018.883	713.871	178.624	1029.537	671.817	262.075	1060.26	678.127	177.799	1066.433	658.075	89.926	1080.333	647.919	45.848	1079.146	680.876	57.256	1036.77	791.141	941.416	1404.759	775.562	555.405	1412.881	767.852	537.542	1269.39	772.235	499.026	1419.119	825.316	463.686	1368.434	717.242	110.502	1411.082	740.156	124.059	1328.065	866.84	65.935	1330.488	834.818	61.986	1436.237	874.107	70.055	1378.465	808.377	946.65	1021.633	768.891	542.967	1025.266	759.055	532.813	1165.245	754.784	484.214	1021.896	810.733	454.314	1073.11	724.964	108.074	1034.118	744.264	121.024	1118.636	873.939	60.211	1124.391	842.647	50.755	1010.367	888.949	64.875	1075.685
0.013	880.243	1049.052	1347.095	898.476	1040.597	1074.987	701.069	1063.976	1247.422	707.517	1060.498	1158.48	800.634	1112.034	1377.663	802.774	1109.839	1030.437	759.121	770.729	1415.162	758.882	660.411	1414.442	709.929	770.898	1367.756	710.614	661.139	1361.597	705.121	293.982	1429.464	710.649	213.188	1421.589	673.454	296.01	1386.083	675.804	216.348	1378.417	651.442	95.704	1370.266	640.419	49.214	1372.02	674.129	66.572	1415.35	791.905	775.633	1002.785	792.184	665.212	1009.841	731.683	777.872	1034.966	725.406	669.062	1039.369	705.285	258.37	1018.874	713.868	178.616	1029.53	671.802	262.074	1060.247	678.133	177.787	1066.425	658.072	89.935	1080.344	647.93	45.844	1079.149	680.882	57.268	1036.753	791.131	941.42	1404.775	775.568	555.403	1412.881	767.822	537.536	1269.384	772.239	499.016	1419.113	825.318	463.677	1368.429	717.245	110.497	1411.07	740.146	124.049	1328.05	866.838	65.931	1330.489	834.819	61.985	1436.253	874.113	70.053	1378.478	808.331	946.641	1021.646	768.87	542.962	1025.268	759.046	532.812	1165.242	754.787	484.216	1021.894	810.698	454.312	1073.107	724.975	108.067	1034.109	744.265	121.027	1118.626	873.928	60.214	1124.399	842.653	50.751	1010.365	888.971	64.886	1075.68
0.02	880.219	1049.049	1347.1	898.445	1040.612	1074.998	701.04	1063.975	1247.444	707.474	1060.491	1158.503	800.613	1112.032	1377.684	802.724	1109.866	1030.452	759.114	770.725	1415.173	758.882	660.411	1414.453	709.918	770.885	1367.781	710.614	661.125	1361.621	705.123	293.974	1429.47	710.651	213.19	1421.606	673.458	296.005	1386.094	675.807	216.34	1378.43	651.458	95.698	1370.267	640.411	49.212	1372.017	674.134	66.572	1415.348	791.871	775.639	1002.786	792.162	665.221	1009.829	731.653	777.866	1034.962	725.375	669.064	1039.376	705.26	258.371	1018.879	713.861	178.626	1029.535	671.789	262.068	1060.254	678.128	177.79	1066.418	658.075	89.929	1080.332	647.926	45.845	1079.144	680.881	57.251	1036.765	791.118	941.401	1404.781	775.569	555.401	1412.885	767.811	537.536	1269.381	772.234	499.026	1419.125	825.319	463.667	1368.425	717.213	110.522	1411.074	740.14	124.037	1328.056	866.836	65.928	1330.495	834.816	61.977	1436.247	874.106	70.054	1378.478	808.292	946.652	1021.658	768.827	542.967	1025.26	759.026	532.817	1165.245	754.751	484.131	1021.851	810.672	454.322	1073.12	724.965	108.07	1034.1	744.26	121.022	1118.628	873.936	60.213	1124.392	842.656	50.781	1010.404	889.217	65.131	1075.687
0.027	880.19	1049.05	1347.119	898.392	1040.627	1074.984	701.007	1063.967	1247.464	707.435	1060.498	1158.521	800.593	1112.03	1377.698	802.672	1109.876	1030.476	759.109	770.706	1415.191	758.888	660.402	1414.456	709.914	770.882	1367.8	710.611	661.124	1361.623	705.126	293.976	1429.483	710.651	213.183	1421.609	673.449	296.011	1386.106	675.799	216.34	1378.437	651.448	95.693	1370.266	640.413	49.205	1372.019	674.126	66.569	1415.365	791.818	775.66	1002.784	792.122	665.234	1009.836	731.605	777.899	1034.973	725.332	669.066	1039.374	705.247	258.369	1018.877	713.848	178.623	1029.538	671.778	262.064	1060.257	678.119	177.788	1066.423	658.074	89.924	1080.339	647.926	45.849	1079.147	680.874	57.259	1036.765	791.107	941.4	1404.794	775.564	555.395	1412.894	767.81	537.542	1269.401	772.233	499.012	1419.121	825.31	463.669	1368.427	717.214	110.517	1411.082	740.143	124.059	1328.056	866.835	65.929	1330.493	834.82	61.985	1436.248	874.116	70.052	1378.463	808.241	946.658	1021.666	768.801	542.973	1025.261	758.995	532.816	1165.239	754.707	484.219	1021.895	810.65	454.319	1073.105	724.977	108.068	1034.115	744.262	121.011	1118.62	873.917	60.219	1124.396	842.656	50.776	1010.398	888.95	64.886	1075.679
0.033	880.158	1049.054	1347.124	898.358	1040.641	1074.991	700.99	1063.962	1247.487	707.393	1060.493	1158.541	800.574	1112.028	1377.717	802.615	1109.893	1030.488	759.091	770.713	1415.208	758.886	660.401	1414.472	709.896	770.872	1367.814	710.604	661.113	1361.649	705.134	293.971	1429.485	710.65	213.179	1421.617	673.454	295.994	1386.129	675.803	216.332	1378.455	651.445	95.696	1370.269	640.412	49.202	1372.021	674.132	66.561	1415.35	791.778	775.661	1002.798	792.086	665.236	1009.829	731.563	777.9	1034.986	725.292	669.078	1039.374	705.232	258.357	1018.877	713.837	178.616	1029.532	671.767	262.051	1060.239	678.11	177.78	1066.425	658.068	89.927	1080.335	647.915	45.85	1079.147	680.885	57.252	1036.764	791.088	941.395	1404.799	775.568	555.379	1412.894	767.785	537.532	1269.392	772.231	498.998	1419.114	825.311	463.663	1368.427	717.242	110.49	1411.081	740.132	124.037	1328.048	866.829	65.935	1330.481	834.816	61.979	1436.243	874.097	70.05	1378.47	808.193	946.666	1021.675	768.765	542.975	1025.256	758.977	532.816	1165.242	754.688	484.216	1021.881	810.615	454.322	1073.107	724.972	108.073	1034.099	744.26	121.019	1118.62	873.929	60.214	1124.4	842.689	50.635	1010.398	888.953	64.883	1075.671
0.04	880.128	1049.044	1347.135	898.309	1040.649	1074.978	700.954	1063.957	1247.516	707.346	1060.494	1158.565	800.547	1112.012	1377.736	802.564	1109.899	1030.511	759.084	770.708	1415.214	758.88	660.388	1414.475	709.883	770.862	1367.843	710.6	661.101	1361.652	705.129	293.965	1429.495	710.649	213.177	1421.613	673.448	296.004	1386.123	675.799	216.334	1378.46	651.439	95.693	1370.278	640.421	49.202	1372.018	674.127	66.565	1415.36	791.72	775.675	1002.778	792.032	665.253	1009.817	731.507	777.911	1035.012	725.239	669.085	1039.373	705.214	258.359	1018.875	713.822	178.617	1029.534	671.746	262.053	1060.254	678.105	177.782	1066.428	658.074	89.923	1080.332	647.922	45.848	1079.151	680.867	57.254	1036.772	791.067	941.393	1404.811	775.567	555.384	1412.902	767.758	537.53	1269.405	772.246	499.009	1419.141	825.291	463.66	1368.425	717.212	110.515	1411.092	740.142	124.046	1328.056	866.837	65.942	1330.492	834.811	61.978	1436.248	874.098	70.058	1378.466	808.152	946.674	1021.697	768.728	542.983	1025.271	758.951	532.81	1165.243	754.656	484.214	1021.889	810.587	454.313	1073.099	724.968	108.069	1034.108	744.252	121.032	1118.626	873.927	60.222	1124.398	842.647	50.76	1010.36	888.95	64.879	1075.674
0.047	880.099	1049.037	1347.149	898.267	1040.667	1074.999	700.92	1063.951	1247.527	707.304	1060.502	1158.593	800.526	1112.01	1377.746	802.512	1109.911	1030.529	759.073	770.69	1415.221	758.88	660.385	1414.49	709.87	770.854	1367.852	710.585	661.1	1361.666	705.121	293.967	1429.5	710.65	213.175	1421.631	673.447	295.992	1386.129	675.8	216.324	1378.473	651.439	95.697	1370.268	640.416	49.207	1372.028	674.129	66.559	1415.359	791.657	775.683	1002.778	791.985	665.267	1009.818	731.463	777.925	1035.01	725.184	669.094	1039.365	705.205	258.351	1018.869	713.846	178.574	1029.509	671.737	262.05	1060.252	678.098	177.774	1066.422	658.067	89.929	1080.341	647.919	45.841	1079.14	680.876	57.244	1036.76	791.041	941.381	1404.815	775.564	555.379	1412.901	767.764	537.521	1269.413	772.237	499.002	1419.133	825.297	463.65	1368.416	717.243	110.49	1411.086	740.146	124.043	1328.06	866.842	65.935	1330.481	834.821	61.983	1436.249	874.106	70.045	1378.471	808.091	946.674	1021.715	768.699	542.983	1025.263	758.927	532.821	1165.234	754.615	484.211	1021.887	810.555	454.329	1073.086	724.962	108.062	1034.1	744.252	121.02	1118.611	873.916	60.22	1124.406	842.686	50.632	1010.403	889.22	65.133	1075.68
0.053	880.071	1049.037	1347.161	898.226	1040.673	1074.99	700.872	1063.951	1247.551	707.247	1060.507	1158.608	800.49	1111.998	1377.771	802.447	1109.912	1030.548	759.059	770.673	1415.24	758.859	660.382	1414.49	709.858	770.852	1367.864	710.572	661.101	1361.69	705.125	293.957	1429.499	710.648	213.171	1421.635	673.444	295.993	1386.151	675.791	216.325	1378.48	651.437	95.691	1370.275	640.408	49.198	1372.023	674.122	66.565	1415.358	791.603	775.696	1002.785	791.919	665.271	1009.811	731.402	777.928	1035.002	725.133	669.101	1039.354	705.185	258.347	1018.885	713.803	178.621	1029.527	671.72	262.04	1060.249	678.084	177.769	1066.432	658.06	89.924	1080.343	647.916	45.844	1079.149	680.867	57.253	1036.761	791.014	941.38	1404.821	775.562	555.369	1412.902	767.744	537.531	1269.428	772.231	499.003	1419.147	825.285	463.646	1368.41	717.237	110.496	1411.092	740.124	124.042	1328.051	866.829	65.95	1330.488	834.805	61.984	1436.243	874.096	70.055	1378.464	808.044	946.682	1021.732	768.657	542.987	1025.27	758.894	532.81	1165.235	754.58	484.22	1021.892	810.52	454.329	1073.084	724.96	108.061	1034.104	744.26	121.031	1118.617	873.911	60.221	1124.399	842.642	50.757	1010.362	888.95	64.889	1075.675
0.06	880.035	1049.036	1347.173	898.173	1040.69	1074.991	700.842	1063.943	1247.568	707.201	1060.501	1158.63	800.468	1111.994	1377.775	802.409	1109.918	1030.567	759.038	770.688	1415.249	758.856	660.38	1414.495	709.835	770.845	1367.87	710.556	661.091	1361.689	705.111	293.953	1429.509	710.648	213.164	1421.645	673.441	295.987	1386.165	675.793	216.319	1378.486	651.441	95.687	1370.286	640.418	49.193	1372.03	674.126	66.556	1415.366	791.536	775.71	1002.77	791.877	665.273	1009.797	731.349	777.923	1035.009	725.076	669.098	1039.351	705.159	258.355	1018.872	713.822	178.569	1029.521	671.71	262.044	1060.256	678.079	177.768	1066.429	658.06	89.928	1080.339	647.916	45.841	1079.135	680.863	57.258	1036.768	790.99	941.377	1404.829	775.56	555.37	1412.917	767.709	537.521	1269.422	772.227	499.001	1419.143	825.276	463.65	1368.419	717.213	110.509	1411.086	740.138	124.036	1328.069	866.822	65.946	1330.482	834.803	61.984	1436.248	874.082	70.05	1378.468	807.971	946.672	1021.73	768.616	542.983	1025.265	758.857	532.82	1165.239	754.547	484.222	1021.892	810.493	454.324	1073.087	724.957	108.055	1034.094	744.253	121.027	1118.624	873.917	60.224	1124.395	842.662	50.781	1010.395	888.946	64.881	1075.676
