Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Thigh.Top.LateralX	R.Thigh.Top.LateralY	R.Thigh.Top.LateralZ	R.Thigh.Bottom.LateralX	R.Thigh.Bottom.LateralY	R.Thigh.Bottom.LateralZ	R.Thigh.Top.MedialX	R.Thigh.Top.MedialY	R.Thigh.Top.MedialZ	R.Thigh.Bottom.MedialX	R.Thigh.Bottom.MedialY	R.Thigh.Bottom.MedialZ	R.Shank.Top.LateralX	R.Shank.Top.LateralY	R.Shank.Top.LateralZ	R.Shank.Bottom.LateralX	R.Shank.Bottom.LateralY	R.Shank.Bottom.LateralZ	R.Shank.Top.MedialX	R.Shank.Top.MedialY	R.Shank.Top.MedialZ	R.Shank.Bottom.MedialX	R.Shank.Bottom.MedialY	R.Shank.Bottom.MedialZ	R.Heel.TopX	R.Heel.TopY	R.Heel.TopZ	R.Heel.BottomX	R.Heel.BottomY	R.Heel.BottomZ	R.Heel.LateralX	R.Heel.LateralY	R.Heel.LateralZ	L.Thigh.Top.LateralX	L.Thigh.Top.LateralY	L.Thigh.Top.LateralZ	L.Thigh.Bottom.LateralX	L.Thigh.Bottom.LateralY	L.Thigh.Bottom.LateralZ	L.Thigh.Top.MedialX	L.Thigh.Top.MedialY	L.Thigh.Top.MedialZ	L.Thigh.Bottom.MedialX	L.Thigh.Bottom.MedialY	L.Thigh.Bottom.MedialZ	L.Shank.Top.LateralX	L.Shank.Top.LateralY	L.Shank.Top.LateralZ	L.Shank.Bottom.LateralX	L.Shank.Bottom.LateralY	L.Shank.Bottom.LateralZ	L.Shank.Top.MedialX	L.Shank.Top.MedialY	L.Shank.Top.MedialZ	L.Shank.Bottom.MedialX	L.Shank.Bottom.MedialY	L.Shank.Bottom.MedialZ	L.Heel.TopX	L.Heel.TopY	L.Heel.TopZ	L.Heel.BottomX	L.Heel.BottomY	L.Heel.BottomZ	L.Heel.LateralX	L.Heel.LateralY	L.Heel.LateralZ	R.KneeX	R.KneeY	R.KneeZ	R.Knee.MedialX	R.Knee.MedialY	R.Knee.MedialZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.Ankle.MedialX	R.Ankle.MedialY	R.Ankle.MedialZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	R.MT2X	R.MT2Y	R.MT2Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.Knee.MedialX	L.Knee.MedialY	L.Knee.MedialZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.Ankle.MedialX	L.Ankle.MedialY	L.Ankle.MedialZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z	L.MT2X	L.MT2Y	L.MT2Z	R.ASYX	R.ASYY	R.ASYZ
0.0	2109.102	1032.284	1612.375	2128.292	1012.943	1385.07	1932.112	1053.332	1530.298	1944.726	1052.97	1435.875	2027.275	1087.313	1654.239	2074.536	1083.224	1334.599	2105.62	738.051	1662.217	2153.706	641.599	1647.493	2051.131	718.681	1626.275	2096.294	619.986	1607.856	2087.193	259.017	1611.556	2065.971	182.556	1592.997	2046.798	277.693	1581.083	2024.149	202.821	1562.995	1968.448	83.16	1527.468	1957.581	38.991	1526.567	1986.698	53.414	1577.121	2035.733	751.188	1309.8	2054.878	642.804	1304.859	1991.801	742.575	1361.354	2005.27	633.008	1354.588	1805.494	449.776	1330.019	1731.407	419.198	1339.868	1805.329	472.132	1377.894	1726.564	442.801	1384.79	1634.376	432.525	1419.967	1591.138	440.744	1433.792	1597.55	427.473	1379.237																			2186.962	54.322	1505.565	2145.458	48.624	1612.81																									1595.319	216.24	1399.628	1570.261	282.741	1315.888				2143.029	88.86	1548.38
0.007	2107.481	1030.621	1613.696	2126.671	1011.294	1385.368	1930.995	1051.703	1530.626	1943.174	1051.37	1436.694	2024.3	1084.577	1654.253	2070.024	1082.149	1334.338	2100.948	735.491	1661.853	2147.003	638.609	1646.957	2046.506	717.324	1625.461	2089.855	618.131	1606.615	2075.494	256.763	1610.848	2051.977	181.141	1593.045	2034.638	276.608	1581.683	2010.208	202.262	1563.618	1951.542	83.436	1527.413	1940.653	39.088	1525.87	1969.737	53.392	1577.105	2040.195	748.967	1309.272	2061.911	641.518	1303.333	1996.411	739.076	1360.553	2013.227	629.426	1353.031	1818.115	449.566	1329.213	1743.921	419.308	1339.137	1818.144	471.852	1377.214	1739.254	442.801	1384.083	1646.429	432.737	1419.156	1603.126	440.864	1432.618	1609.952	427.617	1378.146																			2170.069	54.145	1505.485	2128.34	48.635	1612.974																									1608.206	216.239	1398.593	1583.514	282.714	1314.372				2126.14	88.4	1548.235
0.013	2106.258	1029.439	1614.278	2125.115	1010.414	1385.54	1929.803	1051.164	1531.506	1941.847	1050.681	1437.417	2022.377	1082.902	1654.588	2065.904	1081.699	1334.065	2096.343	733.558	1661.833	2141.079	635.31	1646.125	2041.677	716.368	1625.409	2083.085	616.407	1606.529	2064.134	254.421	1610.404	2038.275	179.834	1592.445	2022.281	275.781	1582.785	1996.033	202.098	1564.49	1934.506	83.56	1527.484	1923.491	39.365	1525.937	1952.566	53.896	1577.2	2045.029	747.592	1308.406	2069.497	641.093	1301.647	2000.873	736.116	1359.203	2020.606	627.191	1350.902	1830.615	449.416	1328.379	1756.67	418.913	1338.54	1830.889	471.352	1376.503	1752.032	442.236	1383.41	1658.386	432.097	1418.294	1614.862	439.874	1431.351	1622.333	426.527	1376.9																			2152.99	53.857	1505.689	2111.226	48.581	1613.05																									1622.234	215.267	1398.054	1597.777	281.294	1313.471				2109.211	88.014	1547.943
0.02	2105.214	1028.631	1614.207	2123.633	1010.109	1385.722	1928.65	1051.512	1532.614	1940.493	1050.8	1438.107	2021.62	1082.365	1655.218	2062.805	1081.275	1334.744	2091.698	731.985	1661.802	2134.279	633.55	1646.68	2036.448	715.83	1625.933	2075.633	614.947	1607.533	2052.98	252.735	1608.389	2025.859	178.797	1590.053	2009.608	275.263	1583.825	1981.755	202.286	1565.393	1917.365	84.063	1527.327	1906.406	39.727	1525.93	1935.497	54.22	1577.172	2049.809	747.351	1307.405	2077.027	641.292	1299.87	2005.306	734.017	1357.476	2027.972	625.782	1348.437	1844.271	448.009	1328.433	1769.356	418.048	1337.882	1843.552	470.565	1375.933	1764.769	441.197	1382.817	1670.25	430.535	1417.332	1626.546	437.751	1430.026	1634.611	424.303	1375.665																			2135.966	53.705	1505.786	2094.081	48.323	1612.869																									1637.29	213.153	1397.937	1613.112	278.182	1312.717				2092.222	87.889	1548.056
0.027	2104.346	1028.047	1613.889	2122.25	1010.525	1385.832	1927.87	1052.509	1533.953	1939.324	1051.42	1438.668	2021.898	1082.687	1656.001	2060.558	1081.698	1334.815	2086.72	731.32	1662.18	2127.406	631.935	1647.112	2030.821	715.688	1626.949	2067.892	613.896	1609.091	2039.7	251.991	1608.244	2011.339	178.529	1589.788	1996.396	275.163	1584.084	1967.226	202.649	1565.681	1900.595	84.417	1527.151	1889.371	40.176	1525.764	1918.592	54.73	1577.017	2054.581	747.534	1306.479	2085.302	641.905	1298.475	2009.579	732.734	1355.444	2034.566	625.602	1345.563	1856.944	446.999	1327.816	1782.431	416.272	1337.322	1855.983	469.566	1375.327	1777.445	439.495	1382.109	1681.926	428.019	1416.351	1637.976	434.512	1428.448	1646.872	420.989	1374.305																			2119.041	53.572	1505.901	2077.035	48.54	1612.91																									1653.533	209.91	1398.149	1628.518	274.259	1312.372				2075.427	87.704	1547.973
0.033	2103.581	1027.181	1613.573	2121.123	1011.511	1385.858	1926.799	1054.042	1534.851	1938.143	1052.595	1439.195	2023.514	1083.781	1656.291	2059.068	1082.049	1334.839	2081.848	730.801	1662.12	2121.121	630.312	1647.352	2025.003	715.919	1628.223	2059.83	613.344	1611.163	2025.468	251.847	1607.897	1996.043	178.728	1589.347	1982.626	275.423	1583.733	1952.312	203.429	1565.261	1883.81	84.764	1526.674	1872.681	40.685	1525.577	1901.769	55.268	1576.739	2059.394	748.975	1305.38	2092.587	644.024	1296.863	2013.712	732.462	1353.204	2041.399	626.014	1342.728	1869.314	445.78	1327.306	1795.266	414.003	1336.942	1868.058	468.513	1374.772	1790.019	437.341	1381.491	1693.385	424.546	1415.328	1649.033	430.019	1426.922	1658.956	416.276	1372.949																			2102.232	53.415	1505.992	2060.084	48.285	1612.738																									1670.584	205.707	1398.934	1644.944	268.456	1312.0				2058.856	87.851	1547.599
0.04	2103.278	1027.769	1612.526	2120.058	1012.965	1385.811	1926.131	1055.895	1535.611	1937.156	1054.117	1439.594	2024.835	1085.641	1656.692	2058.21	1082.997	1334.805	2076.523	731.135	1662.315	2113.518	629.761	1648.281	2018.189	717.48	1629.548	2051.29	613.379	1613.427	2010.807	252.075	1607.505	1980.583	179.224	1589.095	1968.557	275.904	1583.153	1937.117	204.388	1564.724	1867.097	85.25	1526.438	1855.864	41.084	1525.322	1884.919	55.825	1576.57	2064.132	750.884	1304.275	2099.766	646.907	1295.328	2018.269	732.895	1350.931	2047.932	627.372	1339.863	1881.533	444.13	1326.854	1808.027	411.157	1336.431	1879.813	467.18	1374.102	1802.239	434.663	1380.884	1704.46	420.09	1414.333	1660.017	424.262	1425.252	1671.22	410.389	1371.142																			2085.361	53.22	1505.838	2043.253	48.399	1612.526																									1688.54	200.397	1399.991	1662.162	261.565	1312.304				2042.164	87.713	1547.581
0.047	2102.601	1028.19	1612.249	2119.191	1014.758	1385.718	1925.306	1058.161	1535.923	1935.923	1056.345	1439.737	2026.267	1087.914	1656.886	2057.493	1084.536	1334.713	2071.044	731.855	1662.285	2105.866	629.313	1648.229	2011.888	719.03	1630.752	2042.29	614.02	1615.681	1995.981	252.53	1607.357	1963.404	179.911	1590.981	1954.046	276.633	1582.907	1921.714	205.459	1564.993	1850.366	85.908	1526.631	1839.012	41.719	1525.296	1868.058	56.34	1576.699	2068.621	753.88	1302.917	2106.698	650.714	1293.939	2022.289	734.427	1348.659	2054.423	629.486	1337.017	1893.448	442.129	1326.359	1820.706	407.568	1335.972	1891.036	465.663	1373.408	1814.375	431.182	1380.668	1715.524	414.51	1413.295	1670.691	417.225	1423.75	1682.833	402.859	1370.563																			2068.576	53.267	1505.965	2026.31	48.26	1612.447																									1707.586	194.19	1401.298	1679.938	253.511	1312.649				2025.447	87.784	1547.693
0.053	2102.081	1029.316	1611.975	2118.508	1016.868	1385.576	1925.059	1060.594	1536.027	1935.619	1058.883	1439.849	2027.679	1090.527	1656.869	2057.018	1086.593	1334.626	2065.122	733.087	1662.15	2097.487	629.691	1648.381	2005.089	721.498	1631.621	2032.784	615.549	1617.365	1980.82	253.222	1607.485	1947.549	180.78	1591.22	1939.067	277.625	1582.937	1906.299	206.649	1565.01	1833.247	86.623	1527.17	1822.231	42.477	1525.362	1851.297	56.959	1576.777	2073.31	757.303	1301.719	2113.37	655.069	1292.603	2026.396	736.572	1346.372	2060.982	632.414	1334.503	1905.091	439.858	1325.845	1833.224	403.319	1335.7	1901.933	463.672	1372.767	1826.192	427.209	1380.096	1726.373	407.879	1412.389	1681.32	408.949	1422.408	1694.783	394.38	1369.446																			2051.69	53.241	1506.184	2009.434	48.316	1612.628																									1727.481	187.462	1402.956	1698.447	244.491	1313.243				2008.759	88.137	1548.162
0.06	2101.631	1030.952	1611.691	2118.015	1019.469	1385.405	1924.815	1063.357	1535.832	1935.298	1061.988	1439.736	2028.532	1093.841	1656.473	2056.756	1089.368	1334.589	2058.753	734.826	1661.952	2088.054	630.746	1648.838	1998.135	724.571	1632.106	2022.711	617.797	1618.465	1965.172	254.264	1607.602	1931.552	181.941	1591.245	1923.9	278.78	1582.826	1890.57	208.051	1564.76	1816.805	87.626	1527.054	1805.362	43.299	1525.49	1834.518	57.745	1576.836	2077.807	761.416	1300.572	2120.236	660.041	1291.287	2030.569	739.433	1344.222	2067.013	636.041	1331.648	1916.241	437.213	1325.399	1845.569	398.511	1335.403	1912.193	461.526	1371.942	1837.714	422.666	1379.52	1737.22	400.216	1411.67	1692.291	399.264	1421.229	1706.567	384.931	1368.525																			2034.681	53.149	1506.688	1992.437	48.269	1612.623																									1748.454	180.064	1404.704	1717.602	234.636	1314.114				1992.075	88.269	1548.174
