ankle_X	ankle_Y	ankle_Z
	0.238377	-27.799604	38.826335
	6.304179	-25.548173	50.358175
	12.222684	-23.262896	60.597537
	16.891843	-21.481990	66.726946
	20.695451	-20.071508	67.858728
	24.206058	-18.704993	64.057536
	27.014112	-16.715403	55.736317
	27.998221	-13.658785	44.173808
	26.737950	-10.134715	31.986842
	24.086894	-7.111562	21.642197
	21.133048	-4.983356	13.986786
	18.445146	-3.704288	8.721201
	16.147944	-3.128870	5.260850
	14.167497	-3.134314	3.095359
	12.373092	-3.633086	1.846824
	10.633235	-4.561684	1.243784
	8.836278	-5.868073	1.088994
	6.900819	-7.501193	1.238033
	4.781021	-9.404865	1.587102
	2.465236	-11.517834	2.064235
	-0.030240	-13.778696	2.621287
	-2.669721	-16.132386	3.226541
	-5.408789	-18.535691	3.857101
	-8.206036	-20.960798	4.490705
	-11.031053	-23.397554	5.098737
	-13.864820	-25.855900	5.642733
	-16.695909	-28.366939	6.074031
	-19.516563	-30.979550	6.334338
	-22.318239	-33.752950	6.356997
	-25.086899	-36.749109	6.069685
	-27.799669	-40.028269	5.397755
	-30.422170	-43.645757	4.268205
	-32.905318	-47.647490	2.615325
	-35.183300	-52.065433	0.388907
	-37.175951	-56.912822	-2.434574
	-38.796785	-62.176692	-5.839392
	-39.964242	-67.807773	-9.760080
	-40.613430	-73.711540	-14.077407
	-40.707684	-79.747791	-18.625495
	-40.248335	-85.744782	-23.212268
	-39.278793	-91.526669	-27.651213
	-37.878828	-96.945825	-31.795618
	-36.149247	-101.905974	-35.559806
	-34.194021	-106.365519	-38.918951
	-32.106837	-110.324876	-41.894071
	-29.963862	-113.808886	-44.532403
	-27.822268	-116.852356	-46.889915
	-25.722590	-119.492611	-49.020155
	-23.692402	-121.767342	-50.969865
	-21.750165	-123.713215	-52.778669
	-19.908482	-125.363162	-54.479269
	-18.176470	-126.743765	-56.096810
	-16.560982	-127.875357	-57.649291
	-15.066327	-128.774269	-59.149309
	-13.693591	-129.454403	-60.605261
	-12.440277	-129.927803	-62.021971
	-11.300304	-130.205232	-63.401727
	-10.264663	-130.297039	-64.745822
	-9.321971	-130.214721	-66.056287
	-8.458707	-129.972870	-67.337004
	-7.660166	-129.590008	-68.593980
	-6.912483	-129.088148	-69.835635
	-6.204675	-128.492294	-71.073234
	-5.529526	-127.830107	-72.320650
	-4.883676	-127.130942	-73.593074
	-4.267898	-126.423956	-74.905135
	-3.687442	-125.735497	-76.269301
	-3.152067	-125.087022	-77.694629
	-2.676003	-124.494934	-79.185932
	-2.277599	-123.971896	-80.743781
	-1.978026	-123.528209	-82.364866
	-1.799295	-123.172324	-84.041784
	-1.761985	-122.910276	-85.762660
	-1.882907	-122.744710	-87.511890
	-2.173067	-122.674347	-89.271845
	-2.635929	-122.693653	-91.024482
	-3.266051	-122.792524	-92.752720
	-4.048661	-122.956416	-94.441579
	-36.075636	17.510240	174.959580
	-35.923505	18.317180	176.015964
	-35.667470	19.099686	177.037815
	-35.324608	19.863433	177.989864
	-34.909228	20.611095	178.843658
	-34.431091	21.338029	179.578697
	-33.896102	22.029792	-179.817459
	-33.307987	22.662562	-179.350080
	-32.669944	23.205293	-179.018656
	-31.986190	23.622701	-178.818208
	-31.263314	23.879095	-178.740224
	-30.511245	23.942490	-178.773683
	-29.743303	23.788069	-178.907105
	-28.975047	23.400568	-179.131476
	-28.222355	22.775250	-179.442519
	-27.499633	21.917254	-179.841208
	-26.818580	20.839883	179.667126
	-26.187254	19.562098	179.074131
	-25.609476	18.104823	178.369557
	-27.211115	-128.517474	-111.309127
	-28.360584	-129.171922	-111.120830
	-29.493820	-129.749711	-110.794763
	-30.615814	-130.230632	-110.323885
	-31.731826	-130.599981	-109.703434
	-32.848137	-130.846678	-108.929190
	-33.973092	-130.960512	-107.995550
	-35.117689	-130.930483	-106.894738
	-36.295719	-130.744559	-105.616713
	-37.523687	-130.388269	-104.147908
	-38.821266	-129.840918	-102.467777
	-40.212334	-129.070181	-100.543766
	-41.724504	-128.026621	-98.326168
	-43.385740	-126.638578	-95.742764
	-45.218875	-124.804211	-92.690256
	-47.233906	-122.378296	-89.020565
	-49.416119	-119.155231	-84.522699
	-51.706511	-114.849850	-78.902122
	-53.967556	-109.088469	-71.773337
	-55.932741	-101.460739	-62.718923
	-57.164937	-91.734699	-51.516124
	-57.098319	-80.284675	-38.578314
	-55.250799	-68.372249	-25.248103
	-51.515500	-57.605145	-13.259492
	-46.234787	-48.937568	-3.723598
	-39.991792	-42.395094	3.179214
	-33.364605	-37.506111	7.803447
	-26.799903	-33.725384	10.635774
	-20.590422	-30.614048	12.117213
	-14.901307	-27.869490	12.602847
	-9.808859	-25.305072	12.368979
	-5.333566	-22.821979	11.630187
	-1.462729	-20.382369	10.554273
	1.835056	-17.986728	9.272422
	4.600766	-15.658603	7.886391
	6.880332	-13.435370	6.475454
	8.723306	-11.360550	5.102830
	10.181706	-9.476298	3.819791
	11.308158	-7.817956	2.667707
	12.153600	-6.411635	1.678485
	12.763337	-5.274799	0.873716
	13.172839	-4.418620	0.264405
	13.406145	-3.850314	-0.147801
	13.475890	-3.574619	-0.369205
	13.382765	-3.594357	-0.413589
	13.115298	-3.910381	-0.302398
	12.651193	-4.520853	-0.064210
	11.960335	-5.419439	0.267161
	11.010370	-6.592876	0.655731
	9.774547	-8.020057	1.067811
	8.239786	-9.673372	1.477468
	6.412637	-11.519794	1.870531
	4.320518	-13.521364	2.245117
	2.007323	-15.637401	2.609015
	-0.474418	-17.828129	2.975054
	-3.071911	-20.058624	3.355348
	-5.739986	-22.303226	3.754578
	-8.446117	-24.549473	4.163932
	-11.168781	-26.800435	4.559749
	-13.892098	-29.075753	4.906221
	-16.602866	-31.410410	5.157130
	-19.288814	-33.849813	5.256775
	-21.935527	-36.443275	5.143300
	-24.524064	-39.238682	4.753569
	-27.029483	-42.278423	4.027945
	-29.419179	-45.595876	2.915286
	-31.652193	-49.213574	1.377776
	-33.680823	-53.143745	-0.605775
	-35.454407	-57.387584	-3.037501
	-36.924069	-61.930867	-5.897913
	-38.046648	-66.739334	-9.144307
	-38.787286	-71.756397	-12.708699
	-39.123083	-76.902575	-16.495726
	-39.048815	-82.078436	-20.389066
	-38.580811	-87.173806	-24.268613
	-37.756576	-92.082383	-28.028716
	-36.631376	-96.718073	-31.591803
	-35.271254	-101.025077	-34.915668
	-33.743146	-104.975979	-37.990960
	-32.106852	-108.563342	-40.831552
	-30.411161	-111.792098	-43.463870
	-28.693012	-114.674970	-45.917937
	-26.979002	-117.230187	-48.221867
