Time	Hip_Z	Hip_X	Hip_Y	Knee_Z	Knee_X	Knee_Y	Ankle_Z	Ankle_X	Ankle_Y
0	-27.696341	-5.396848	-2.125686	16.925528	4.773635	20.475533	-4.646643	-1.755499	-9.641841
1	-27.592758	-5.564677	-3.226332	18.959001	5.270472	20.225982	-4.37127	0.012461	-8.712195
2	-27.511313	-5.719762	-4.454457	21.250959	5.769447	19.93244	-4.641695	1.450223	-7.646668
3	-27.462018	-5.910098	-5.675061	23.770649	6.187339	19.473403	-5.424588	2.523758	-6.411672
4	-27.457083	-6.173153	-6.792527	26.462562	6.479165	18.801318	-6.574266	3.264517	-5.006599
5	-27.509563	-6.51918	-7.772272	29.224604	6.660248	18.003075	-7.906556	3.755028	-3.525458
6	-27.619885	-6.92414	-8.615453	31.908635	6.780545	17.248085	-9.275203	4.111716	-2.128163
7	-27.754422	-7.349198	-9.326037	34.349594	6.908274	16.678745	-10.612405	4.421432	-0.958763
8	-27.836373	-7.772059	-9.899031	36.411535	7.118618	16.351804	-11.909301	4.708276	-0.094886
9	-27.777973	-8.19295	-10.318153	38.023079	7.429062	16.221612	-13.159272	4.971588	0.488365
10	-27.536191	-8.605039	-10.585134	39.181007	7.770466	16.199163	-14.335477	5.219774	0.904908
11	-27.129019	-8.981246	-10.744817	39.936908	8.062878	16.239968	-15.419762	5.454551	1.266237
12	-26.594515	-9.299804	-10.839936	40.382114	8.278708	16.329529	-16.423863	5.654237	1.612744
13	-25.946486	-9.557789	-10.872428	40.608139	8.430492	16.443404	-17.374729	5.785857	1.919846
14	-25.17002	-9.757408	-10.833464	40.660718	8.523939	16.558438	-18.288437	5.83134	2.157009
15	-24.239668	-9.897384	-10.730355	40.539961	8.544817	16.665121	-19.156143	5.812658	2.320576
16	-23.136578	-9.974873	-10.581383	40.231094	8.48729	16.769676	-19.954599	5.779763	2.416472
17	-21.862023	-9.989418	-10.410294	39.728041	8.341295	16.864682	-20.667903	5.760541	2.498064
18	-20.438745	-9.95062	-10.238839	39.037413	8.095582	16.917863	-21.285363	5.747146	2.649678
19	-18.897302	-9.880684	-10.078048	38.159303	7.795297	16.93086	-21.756709	5.734726	2.862071
20	-17.263806	-9.800575	-9.933259	37.081683	7.512727	16.949152	-21.97154	5.736028	3.06065
21	-15.560355	-9.715297	-9.80918	35.807695	7.276836	17.007339	-21.86087	5.735609	3.196785
