Time	Hip_Z	Hip_X	Hip_Y	Knee_Z	Knee_X	Knee_Y	Ankle_Z	Ankle_X	Ankle_Y
0	-24.985565	0.247203	-6.710149	12.281144	7.565682	22.446497	-6.543812	-3.712647	-14.009056
1	-24.764787	0.020999	-7.27968	14.713029	7.730047	21.5473	-5.62511	-2.411781	-12.887667
2	-24.703073	-0.151661	-7.800097	17.467249	7.547004	20.365772	-4.876396	-0.744243	-11.504248
3	-24.768978	-0.319733	-8.172831	20.427049	6.945713	18.884376	-4.715838	1.131529	-9.786385
4	-24.944685	-0.558374	-8.371826	23.484653	6.085184	17.273652	-5.333383	3.014568	-7.875008
5	-25.206157	-0.923949	-8.48734	26.537249	5.32321	15.875156	-6.59251	4.636883	-6.100576
6	-25.484854	-1.429997	-8.633987	29.489937	4.926044	14.886684	-8.222896	5.782759	-4.705269
7	-25.663479	-2.063821	-8.865274	32.239702	4.851629	14.167767	-10.034602	6.403356	-3.613692
8	-25.639827	-2.80171	-9.178515	34.660792	4.89084	13.467173	-11.921292	6.579766	-2.596211
9	-25.404114	-3.588907	-9.551958	36.642373	4.918632	12.723826	-13.783104	6.454102	-1.578528
10	-25.034032	-4.319737	-9.980043	38.137647	4.931298	12.095018	-15.51957	6.198909	-0.677474
11	-24.588254	-4.844672	-10.46721	39.11312	4.93278	11.822077	-17.03196	5.98535	-0.03572
12	-24.022203	-5.101357	-10.978243	39.633424	4.879554	11.944651	-18.302811	5.888064	0.370999
13	-23.208549	-5.106548	-11.475052	39.713653	4.727674	12.389838	-19.344946	5.88828	0.600701
14	-22.043001	-4.943261	-11.924542	39.363919	4.476254	13.030283	-20.185162	5.927808	0.699974
15	-20.515604	-4.713337	-12.270612	38.630539	4.170893	13.695258	-20.834117	5.938035	0.702158
16	-18.700266	-4.496439	-12.434403	37.598938	3.884173	14.214574	-21.276523	5.856082	0.606045
17	-16.695648	-4.344122	-12.358764	36.348996	3.6787	14.475592	-21.480941	5.62988	0.383776
18	-14.584076	-4.286116	-12.040807	34.929946	3.57027	14.42695	-21.411254	5.221516	0.048604
19	-12.425019	-4.319921	-11.523438	33.372132	3.53539	14.083806	-21.034712	4.633268	-0.339014
20	-10.268909	-4.411536	-10.856133	31.710752	3.558144	13.525153	-20.326248	3.920614	-0.747009
21	-8.165022	-4.514791	-10.062286	29.978552	3.664241	12.867526	-19.242973	3.155699	-1.225937
22	-6.124118	-4.583647	-9.175723	28.192824	3.871428	12.260163	-17.826141	2.385911	-1.870934
